	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_DWA	Levenshtein_item	phontype_maurer	phontype_DWA	Levenshtein_phontype	lextype_maurer	lextype_DWA	Levenshtein_lextype
1330	TÜB w4	na	Ibach	8.16274, 48.45618	gugummer	na	999	gugummer	na	999	Gugummer	na	999
1331	TUTT q1	na	Waldau	8.16331, 47.98172	gugummere	na	999	gugummere	na	999	Gugummer	na	999
1332	TÜB b5	na	Eisental	8.16417, 48.71189	gugummer	na	999	gugummer	na	999	Gugummer	na	999
1333	TÜB x2	na	Oppenau	8.16423, 48.47333	gugummer	na	999	gugummer	na	999	Gugummer	na	999
1334	TUTT M2	III_15_0113, III_15_0129	Höchenschwand, Höchenschwand	8.16491, 47.73427	gugummere	gugumerä, gugummere	0	gugummere	gugummere	0	Gugummer	Gugummer	0
1335	KST T12	na	Kartung bei Sinzheim	8.16546, 48.771	gugumer	na	999	gugummer	na	999	Gugummer	na	999
1336	TUTT M1	III_15_0120	Attlisberg, Attlisberg	8.16607, 47.72173	gugummere	gugummere	0	gugummere	gugummere	0	Gugummer	Gugummer	0
1337	TUTT L14, TUTT L13	III_15_0123	Remetschwiel und Bannholz, Bannholz, Bannholz	8.167, 47.67614	gugummerä , gugumerä	guggumere	2	gugummere	gugummere	0	Gugummer	Gugummer	0
1338	TÜB M5	III_11_0146, III_11_0144	Hausach und Einbach, Einbach, Einbach-Hauserbach	8.16759, 48.2974	gugummere	gugummer, gugumer	1	gugummere	gugummer, gügümmer	1	Gugummer	Gugummer	0
1339	TUTT M16	na	Häusern	8.16959, 47.75398	gugumere	na	999	gugummere	na	999	Gugummer	na	999
1340	TUTT T4	III_16_0147	Waldkirch, Waldkirch	8.17132, 47.65851	gugummere	gugummerə	1	gugummere	gugummere	0	Gugummer	Gugummer	0
1341	TUTT T6	III_16_0157	Dogern, Dogern	8.17239, 47.60884	guggummere	guggummere	0	gugummere	gugummere	0	Gugummer	Gugummer	0
1342	TUTT i5	III_13_0093	Neukirch, Neukirch	8.17383, 48.02447	gugummere	gugumera	2	gugummere	gugummere	0	Gugummer	Gugummer	0
1343	TÜB x8	III_10_0148	Löcherberg, Löcherberg	8.17462, 48.43425	gugumr	gugumer	1	gugummer	gugummer	0	Gugummer	Gugummer	0
1344	TUTT x3	na	Saig	8.17667, 47.89199	gugumere	na	999	gugummere	na	999	Gugummer	na	999
1345	TUTT D3	III_14_0175	Blasiwald (Am Schluchsee), Blasiwald	8.17706, 47.7987	gugumere	gugummere	1	gugummere	gugummere	0	Gugummer	Gugummer	0
1346	TUTT E2	III_14_0177	Schluchsee, Schluchsee	8.17828, 47.81706	gugummera	gugummere	1	gugummere	gugummere	0	Gugummer	Gugummer	0
1347	TÜB b3	na	Varnhalt	8.17941, 48.73522	gegumer	na	999	gegummer	na	999	Gugummer	na	999
1348	KST E1	III_5_0127	Lauterburg (Weissenburg) (Lauterbourg), Lauterburg	8.18046, 48.97495	gugummerä	gagůmmer, gagummer	2	gugummere	gagummer	2	Gugummer	Gugummer	0
1349	TUTT T5	III_16_0158	Eschbach, Eschbach	8.18086, 47.6336	guggummere	gᵏuggûm̄e̍re̍	5	gugummere	gugummere	0	Gugummer	Gugummer	0
1350	TÜB b10	na	Neusatzeck	8.18311, 48.66621	gugummer	na	999	gugummer	na	999	Gugummer	na	999
1351	TÜB b4	III_8_0111, III_8_0110	Neuweier, Neuweier	8.18377, 48.72012	gugummer	gugummer	0	gugummer	gugummer	0	Gugummer	Gugummer	0
1352	TUTT M3	III_15_0121	Amrigschwand, Amrigschwand	8.1855, 47.71974	gugummere	gugummere	0	gugummere	gugummere	0	Gugummer	Gugummer	0
1353	TUTT M15	III_15_0114	Bierbronnen, Bierbronnen	8.18848, 47.6749	gugumere	gugumere	0	gugummere	gugummere	0	Gugummer	Gugummer	0
1354	TÜB T5	III_12_0069	Rensberg, Rensberg	8.1889, 48.17741	gugummere	gugumere	1	gugummere	gugummere	0	Gugummer	Gugummer	0
1355	TÜB b8, TÜB b7, TÜB b9	III_8_0113	Bühlertal-Obertal, Bühlertal-Hof, Bühlertal-Untertal, Bühlertal-Hof	8.19194, 48.68215	gugummer	gugummer	0	gugummer	gugummer	0	Gugummer	Gugummer	0
1356	TÜB x1	III_10_0082	Lierbach, Lierbach	8.19298, 48.52477	gugumer	gugumer	0	gugummer	gugummer	0	Gugummer	Gugummer	0
1357	TUTT T3	III_16_0159	Schmitzingen, Schmitzingen	8.19315, 47.65491	guggummere	guggummerə	1	gugummere	gugummere	0	Gugummer	Gugummer	0
1358	KST T10	III_7_0125	Sandweier, Sandweier	8.19586, 48.80855	gugummer	gugummer	0	gugummer	gugummer	0	Gugummer	Gugummer	0
1359	TÜB x3	III_10_0141	Maisach, Maisach	8.20067, 48.47223	gugummer	gugummer	0	gugummer	gugummer	0	Gugummer	Gugummer	0
