	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_DWA	Levenshtein_item	phontype_maurer	phontype_DWA	Levenshtein_phontype	lextype_maurer	lextype_DWA	Levenshtein_lextype
356	TUTT z5	na	Fürstenberg	8.55367, 47.89124	elschder	na	999	elschter	na	999	Elster	na	999
357	KST G2	na	Kleinsteinbach	8.55383, 48.96613	elschder	na	999	elschter	na	999	Elster	na	999
358	TUTT s8	na	Heidenhofen	8.5657, 47.98295	elster	na	999	elschter	na	999	Elster	na	999
359	TUTT V3	III_38_0018, III_38_0019	Lottstetten, Lottstetten	8.56963, 47.62576	elstere	elstere	0	elschtere	elschtere	0	Elster	Elster	0
360	TUTT l1	na	Hochemmingen	8.56986, 48.02587	elschder	na	999	elschter	na	999	Elster	na	999
361	MH Q2	II_60_0035, II_60_0034	Schwetzingen, Schwetzingen	8.57064, 49.38567	elschda	elschda	0	elschter	elschter	0	Elster	Elster	0
362	TUTT V2	III_38_0021, III_38_0022, III_38_0020	Jestetten, Jestetten	8.57572, 47.65297	elschter	elschter	0	elschter	elschter	0	Elster	Elster	0
363	TUTT V1	III_38_0023	Altenburg, Altenburg	8.59899, 47.65513	elster	elster	0	elschter	elschter	0	Elster	Elster	0
364	KST O5	III_23_0015	Dietlingen, Dietlingen	8.60093, 48.89654	elschdr	elschder	1	elschter	elschter	0	Elster	Elster	0
365	MH H5	II_59_0072	Neckarhausen, Neckarhausen	8.60233, 49.46433	elschter	elster	2	elschter	elschter	0	Elster	Elster	0
366	KST d7	na	Sankt Leon	8.6025, 49.26526	elster	na	999	elschter	na	999	Elster	na	999
367	TUTT s2	III_34_0025	Oberbaldingen, Oberbaldingen	8.60629, 47.97542	elschter	elschter	0	elschter	elschter	0	Elster	Elster	0
368	TUTT G4	na	Nordhalden	8.60654, 47.8069	elster	na	999	elschter	na	999	Elster	na	999
369	TUTT z9	III_35_0021	Riedöschingen, Riedöschingen	8.6077, 47.84306	elster	elschter	2	elschter	elschter	0	Elster	Elster	0
370	TUTT s3	III_34_0026	Unterbaldingen, Unterbaldingen	8.61256, 47.96992	elschter	elschter	0	elschter	elschter	0	Elster	Elster	0
371	TUTT G3	na	Kommingen	8.61478, 47.81599	elster	na	999	elschter	na	999	Elster	na	999
372	KST G10	III_22_0022	Bilfingen, Bilfingen	8.61996, 48.95027	elschter	elster	2	elschter	elschter	0	Elster	Elster	0
373	KST d6	na	Rot	8.63137, 49.26348	elschder	na	999	elschter	na	999	Elster	na	999
374	TUTT G5	III_36_0026	Uttenhofen, Uttenhofen	8.63235, 47.80782	elster	elster	0	elschter	elschter	0	Elster	Elster	0
375	KST G11	III_22_0023	Ersingen, Ersingen	8.63492, 48.93324	elschdr	elschder	1	elschter	elschter	0	Elster	Elster	0
376	TUTT s1	III_34_0024	Öfingen, Öfingen	8.63525, 47.99144	elschdĕr	elschder	1	elschter	elschter	0	Elster	Elster	0
377	KST s9	na	Helmsheim	8.64229, 49.08509	elschter	na	999	elschter	na	999	Elster	na	999
378	MH R1/2	na	Heidelberg-Pfaffengrund	8.64698, 49.40282	elster	na	999	elschter	na	999	Elster	na	999
379	MH r2	na	Hemsbach	8.64707, 49.59198	elschta	na	999	elschter	na	999	Elster	na	999
380	KST z3	na	Dürrenbüchig	8.64747, 49.0227	elster	na	999	elschter	na	999	Elster	na	999
381	TUTT s4	na	Geisingen	8.65129, 47.93283	elster	na	999	elschter	na	999	Elster	na	999
382	MH r1	na	Laudenbach	8.65434, 49.6119	elster	na	999	elschter	na	999	Elster	na	999
383	TUTT G6	III_36_0020	Tengen, Tengen	8.66036, 47.81721	elschder	elster	3	elschter	elschter	0	Elster	Elster	0
384	KST O9	III_23_0028	Büchenbronn, Büchenbronn	8.66335, 48.85558	elster	elster	0	elschter	elschter	0	Elster	Elster	0
385	KST P1	III_22_0027, III_22_0026	Ispringen , Ispringen	8.66764, 48.91655	elster	elster	0	elschter	elschter	0	Elster	Elster	0
386	TUTT A2	na	Leipferdingen	8.66787, 47.86461	elster	na	999	elschter	na	999	Elster	na	999
387	KST P2	III_23_0029, III_23_0032, III_23_0030, III_23_0031	Brötzingen, Pforzheim-Brötzingen	8.66799, 48.889	elschda	elschter, elschder	2	elschter	elschter	0	Elster	Elster	0
388	KST e10	na	Malschenberg	8.67996, 49.25599	elschda	na	999	elschter	na	999	Elster	na	999
389	KST m1	na	Malsch	8.68153, 49.24579	elschder	na	999	elschter	na	999	Elster	na	999
390	KST A8	na	Sprantal	8.6823, 49.00345	elschder	na	999	elschter	na	999	Elster	na	999
391	KST P7	III_23_0057	Huchenfeld, Huchenfeld	8.69574, 48.85613	elschder	elschter	1	elschter	elschter	0	Elster	Elster	0
