	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_maurer_align	item_DWA	item_DWA_align	Levenshtein_item
982	KST s5	III_20_0012	Spöck, Spöck	8.51033, 49.11179	gugummer	g u g u mm e r	gegumer	g e g u m e r	2
983	KST s7	III_20_0015, III_20_0013	Staffort, Staffort	8.51034, 49.09079	guguma	g u g u m a	gugummer	g u g u mm e r	3
984	TUTT V4,5	III_38_0017	Baltersweil, Baltersweil	8.51054, 47.63723	gugumäre̊	g u g u m ä r e ̊	gugumere	g u g u m e r e	2
985	TUTT z4	III_35_0012	Behla, Behla	8.51475, 47.89489	gugumere	g u g u m e r e	gugummere	g u g u mm e r e	1
986	KST s4	III_20_0011	Neuthard, Neuthard	8.52086, 49.1278	gugu̍mmerä	g u g u ̍ mm e r ä	gugummerä	g u g u mm e r ä	1
987	KST d3	III_18_0017	Neulußheim, Neulußheim	8.522, 49.29291	gegummere	g e g u mm e r e	gegumma	g e g u mm a	3
988	KST z6	III_21_0014, III_21_0015	Berghausen, Berghausen	8.52712, 49.00389	gugummer	g u g u mm e r	gugumma	g u g u mm a	2
989	KST s6	III_20_0162	Büchenau, Büchenau	8.52764, 49.10075	guugummär	g uu g u m m ä r	gugummar	g u g u mm a r	2
990	KST O2	III_23_0014	Auerbach, Auerbach	8.53163, 48.91379	gugummer	g u g u mm e r	gugomer	g u g o m e r	2
991	TUTT z8	III_35_0020, III_35_0019	Blumberg, Blumberg	8.53265, 47.83981	gugummere	g u g u mm e r e	guggummere	g u gg u m m e r e	1
992	MH H2	II_59_0067	Feudenheim, Feudenheim	8.53299, 49.4864	gagummer	g a g u mm e r	gagummere	g a g u mm e r e	1
993	KST G6	III_22_0015	Mutschelbach, Mutschelbach	8.53428, 48.94409	gugomer	g u g o m e r	gugummer	g u g u mm e r	2
994	TUTT z3	III_35_0015, III_35_0013, III_35_0014	Sumpfohren, Sumpfohren	8.53796, 47.90851	gugumere	g u g u m e r e	guggummĕrĕ	g u gg u m m ĕ r ĕ	4
995	TUTT z6	III_35_0017	Riedböhringen, Riedböhringen	8.53811, 47.87011	gugummäre	g u g u mm ä r e	gukummere	g u k u mm e r e	2
996	KST s3	III_20_0016	Karlsdorf, Karlsdorf	8.54164, 49.1363	gugumer	g u g u m e r	gugumere	g u g u m e r e	1
997	KST G1	III_22_0010, III_22_0013, III_22_0012	Söllingen, Söllingen	8.5425, 48.98622	gukumer	g u k u m e r	gugumma	g u g u mm a	3
998	TUTT s7	III_34_0023	Aasen, Aasen	8.5512, 47.98	gugummerä	g u g u mm e r ä	gukummerä	g u k u mm e r ä	1
999	TUTT z5	III_35_0016	Fürstenberg, Fürstenberg	8.55367, 47.89124	gugummerä	g u g u mm e r ä	gugummere	g u g u mm e r e	1
1000	TUTT G2/2, TUTT G2/1	III_36_0019	Epfenhofen, Epfenhofen	8.55432, 47.81867	gugummärä	g u g u mm ä r ä	gugummare	g u g u mm a r e	2
1001	TUTT s5	III_34_0018	Pfohren, Pfohren	8.55997, 47.9474	gugummere	g u g u mm e r e	guggum̄er	g u gg u m ̄ e r	3
1002	MH H6	II_59_0068	Seckenheim, Seckenheim	8.56313, 49.46724	gagummer	g a g u mm e r	kagummer	k a g u mm e r	1
1003	MH H3	II_59_0069	Ilvesheim, Ilvesheim	8.56668, 49.47129	gagumma	g a g u mm a	gagummer	g a g u mm e r	2
1004	KST G3	III_22_0016	Singen bei Pforzheim, Singen	8.56804, 48.95764	gugo̊mmå	g u g o ̊ mm å	gugommer	g u g o mm e r	3
1005	TUTT V3	III_38_0019, III_38_0018	Lottstetten, Lottstetten	8.56963, 47.62576	gugummeré	g u g u mm e r é	gugummere	g u g u mm e r e	1
1006	KST O4	III_23_0021	Ellmendingen, Ellmendingen	8.5761, 48.90131	gugomor	g u g o m o r	gugommer	g u g o mm e r	2
1007	TUTT V1	III_38_0023	Altenburg, Altenburg	8.59899, 47.65513	gugummere	g u g u mm e r e	guckumere	g u ck u m e r e	3
1008	KST s2, KST s11	III_20_0019, III_20_0020, III_20_0018	Bruchsal , Bruchsal (Forstamt), Bruchsal	8.60102, 49.12377	gegummer	g e g u mm e r	gugumma	g u g u mm a	3
1009	TUTT z9	III_35_0021	Riedöschingen, Riedöschingen	8.6077, 47.84306	gugummere	g u g u mm e r e	gugummara	g u g u mm a r a	2
1010	KST z4	III_21_0018	Wössingen, Wössingen	8.61142, 49.01017	gugumer	g u g u m e r	gugummer	g u g u mm e r	1
1011	KST G8	III_22_0021, III_22_0024, III_22_0018, III_22_0020	Königsbach, Stein, Königsbach	8.61207, 48.96515	gugomå	g u g o m å	gugumer	g u g u m e r	3
1012	TUTT G3	III_36_0025	Kommingen, Kommingen	8.61478, 47.81599	gugummere	g u g u mm e r e	guggummere	g u gg u m m e r e	1
1013	TUTT z1	III_35_0023	Gutmadingen, Gutmadingen	8.61605, 47.91149	gugu̍mmere	g u g u ̍ mm e r e	gugummere	g u g u mm e r e	1
1014	KST G10	III_22_0022	Bilfingen, Bilfingen	8.61996, 48.95027	gugommer	g u g o mm e r	gugummer	g u g u mm e r	1
1015	KST d6	III_18_0021	Rot, Rot	8.63137, 49.26348	gugummer	g u g u mm e r	gugumma	g u g u mm a	2
1016	TUTT G5	III_36_0026	Uttenhofen, Uttenhofen	8.63235, 47.80782	gugumere	g u g u m e r e	gugummere	g u g u mm e r e	1
1017	TUTT s1	III_34_0024	Öfingen, Öfingen	8.63525, 47.99144	gugumérä	g u g u m é r ä	gugumere	g u g u m e r e	2
1018	TUTT G7	III_36_0024	Wiechs a. R., Wiechs a. R.	8.64153, 47.78137	gugumere	g u g u m e r e	gugummere	g u g u mm e r e	1
1019	KST l4	III_19_0018, III_19_0017, III_19_0019	Mingolsheim, Mingolsheim	8.65316, 49.21986	gugummer	g u g u mm e r	gugúmmer	g u g ú mm e r	1
1020	MH r1	II_57_0082, II_57_0081	Laudenbach, Laudenbach	8.65434, 49.6119	gagummer	g a g u mm e r	gagummern	g a g u mm e r n	1
1021	KST z2	III_21_0020	Gondelsheim, Gondelsheim	8.65584, 49.0596	gugummer	g u g u mm e r	gugumma	g u g u mm a	2
1022	MH H11	II_58_0068	Leutershausen, Leutershausen	8.65616, 49.49821	gagummer	g a g u mm e r	gaggummern	g a gg u m m e r n	2
