	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_maurer_align	item_DWA	item_DWA_align	Levenshtein_item
78	TUTT L4/2, Co K12, TUTT L4/1, Co R15, TUTT D5	III_15_0073, III_14_0176	Todtmoos, Todtmoos (-Rütte), Todtmoos , Todtmoos	8.00438, 47.74133	gurge	g u r g e	gurka	g u r k a	2
79	TUTT i3	III_13_0089	Urach, Urach	8.25368, 48.00477	gurke	g u r k e	gurge	g u r g e	1
80	KST E4	III_5_0136, III_5_0137, III_5_0138	Mörsch, Mörsch	8.28883, 48.96003	gurk	g u r k	gürk	g ü r k	1
81	TUTT i2	III_13_0087, III_13_0084, III_13_0086	Vöhrenbach, Vöhrenbach	8.30495, 48.04519	gurk	g u r k	gurg	g u r g	1
82	TUTT i2	III_13_0087, III_13_0084, III_13_0086	Vöhrenbach, Vöhrenbach	8.30495, 48.04519	gurk	g u r k	gurke	g u r k e	1
83	KST z6	III_21_0014, III_21_0015	Berghausen, Berghausen	8.52712, 49.00389	gurig	g u r i g	gurg	g u r g	1
84	MH H2	II_59_0067	Feudenheim, Feudenheim	8.53299, 49.4864	guairg 	g u a i r g 	gurge	g u r g e	3
85	MH H2	II_59_0067	Feudenheim, Feudenheim	8.53299, 49.4864	guarg	g u a r g	gurge	g u r g e	2
86	KST z4	III_21_0018	Wössingen, Wössingen	8.61142, 49.01017	gurke	g u r k e	gurg	g u r g	2
87	KST z4	III_21_0018	Wössingen, Wössingen	8.61142, 49.01017	gurke	g u r k e	gurig	g u r i g	2
88	KST l4	III_19_0018, III_19_0020, III_19_0019	Mingolsheim, Mingolsheim	8.65316, 49.21986	gurk	g u r k	gurik	g u r i k	1
89	KST l4	III_19_0018, III_19_0020, III_19_0019	Mingolsheim, Mingolsheim	8.65316, 49.21986	gurk	g u r k	gurick	g u r i ck	2
90	KST P3/4, KST P3/3, KST P3/1	III_23_0043, III_23_0050, III_23_0037, III_23_0052, III_23_0045, III_23_0041, III_23_0054, III_23_0036	Pforzheim, Pforzheim	8.70025, 48.89013	gurig 	g u r i g 	gurg	g u r g	2
91	KST P3/4, KST P3/3, KST P3/1	III_23_0043, III_23_0050, III_23_0037, III_23_0052, III_23_0045, III_23_0041, III_23_0054, III_23_0036	Pforzheim, Pforzheim	8.70025, 48.89013	gurig 	g u r i g 	gurig	g u r i g	1
92	KST P3/4, KST P3/3, KST P3/1	III_23_0043, III_23_0050, III_23_0037, III_23_0052, III_23_0045, III_23_0041, III_23_0054, III_23_0036	Pforzheim, Pforzheim	8.70025, 48.89013	gurig 	g u r i g 	gurk	g u r k	3
93	KST P3/4, KST P3/3, KST P3/1	III_23_0043, III_23_0050, III_23_0037, III_23_0052, III_23_0045, III_23_0041, III_23_0054, III_23_0036	Pforzheim, Pforzheim	8.70025, 48.89013	gurge	g u r g e	gurg	g u r g	1
94	KST P3/4, KST P3/3, KST P3/1	III_23_0043, III_23_0050, III_23_0037, III_23_0052, III_23_0045, III_23_0041, III_23_0054, III_23_0036	Pforzheim, Pforzheim	8.70025, 48.89013	gurge	g u r g e	gurig	g u r i g	2
95	KST P3/4, KST P3/3, KST P3/1	III_23_0043, III_23_0050, III_23_0037, III_23_0052, III_23_0045, III_23_0041, III_23_0054, III_23_0036	Pforzheim, Pforzheim	8.70025, 48.89013	gurge	g u r g e	gurk	g u r k	2
96	KST P3/4, KST P3/3, KST P3/1	III_23_0043, III_23_0050, III_23_0037, III_23_0052, III_23_0045, III_23_0041, III_23_0054, III_23_0036	Pforzheim, Pforzheim	8.70025, 48.89013	gurk	g u r k	gurg	g u r g	1
97	KST P3/4, KST P3/3, KST P3/1	III_23_0043, III_23_0050, III_23_0037, III_23_0052, III_23_0045, III_23_0041, III_23_0054, III_23_0036	Pforzheim, Pforzheim	8.70025, 48.89013	gurk	g u r k	gurig	g u r i g	2
98	MH S4	II_60_0055	Lobenfeld, Lobenfeld	8.8718, 49.35884	gurg	g u r g	gurje	g u r j e	2
99	MH K8	II_59_0097	Neckarhäuserhof, Neckarhäuserhof	8.88191, 49.41513	guik	g u i k	gurke	g u r k e	2
100	MH K8	II_59_0097	Neckarhäuserhof, Neckarhäuserhof	8.88191, 49.41513	guik	g u i k	gurk	g u r k	1
101	MH T11	II_60_0079	Diedesheim, Diedesheim	9.11367, 49.34933	gurge	g u r g e	gurke	g u r k e	1
