	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_maurer_align	item_DWA	item_DWA_align	Levenshtein_item
752	TUTT D4	III_14_0173, III_14_0171, III_14_0174, III_14_0172	St. Blasien, St. Blasien	8.12792, 47.76144	gaiß	g a i ß	geiß	g ei ß	1
753	TÜB a9	III_8_0099	Weitenung, Weitenung	8.12886, 48.73998	gais	g a i s	geiß	g ei ß	2
754	TUTT S14	III_16_0143	Birndorf, Birndorf	8.13384, 47.62519	gaiß	g a i ß	geiß	g ei ß	1
755	KST D4	III_5_0120, III_5_0119	Scheibenhard, Scheibenhardt, Scheibenhard	8.13481, 48.97663	gǟß	g ǟ ß	gäß	g ä ß	1
756	TUTT S12	III_16_0135	Unteralpfen, Unteralpfen	8.13573, 47.64543	gaiss	g a i ss	gaiß	g a i ß	2
757	TÜB a11	III_8_0107	Bühl, Bühl	8.13592, 48.69536	geiß	g ei ß	geiss	g ei ss	2
758	TUTT h6	III_13_0076	Gütenbach, Gütenbach	8.13807, 48.04398	gaiß	g a i ß	gaiss	g a i ss	2
759	KST S15	III_7_0112	Iffezheim, Iffezheim	8.14011, 48.82287	gäis	g ä i s	geiss	g ei ss	2
760	TÜB w3	III_10_0078	Ramsbach, Ramsbach	8.14144, 48.49573	geis	g ei s	geiß	g ei ß	1
761	KST S11	III_7_0122	Halberstung, Halberstung	8.14298, 48.76025	gäis	g ä i s	geiß	g ei ß	2
762	TUTT L15	III_15_0108	Tiefenhäusern, Tiefenhäusern	8.14547, 47.70277	geiß	g ei ß	gaiß	g a i ß	1
763	TUTT L12	III_15_0107, III_15_0106, III_15_0104, III_15_0105	Remetschwiel/Brun dern, Remetschwiel, Brun dern	8.14553, 47.68929	geiß	g ei ß	gaiß	g a i ß	1
764	KST D7	III_5_0116, III_5_0115	Münchhausen (Munchhausen), Münchhausen	8.14635, 48.92142	gāas	g ā a s	geis	g ei s	2
765	TUTT w5	III_14_0073	Raitenbuch, Raitenbuch	8.14698, 47.86647	geis	g ei s	geiß	g ei ß	1
766	TUTT S13	III_16_0169	Birkingen, Birkingen	8.1477, 47.62511	gaiß	g a i ß	geiß	g ei ß	1
767	TÜB h13	III_9_0096, III_9_0095	Neusatz , Neusatz	8.14904, 48.65879	geeiß	g eei ß	geis	g ei s	2
768	KST D6	III_5_0117	Motern (Mothern), Motern	8.15128, 48.93354	goiß	g o i ß	gåiß	g å i ß	1
769	TUTT S11	III_16_0136	Oberalpfen, Oberalpfen	8.15262, 47.65791	gaiss	g a i ss	gaiß	g a i ß	2
770	KST L5	III_6_0090	Plittersdorf bei Rastatt, Plittersdorf	8.15649, 48.88249	gāis	g ā i s	geiß	g ei ß	2
771	TÜB a10	III_8_0100	Steinbach, Steinbach	8.16038, 48.72843	gäiß	g ä i ß	geiß	g ei ß	1
772	TÜB w4	III_10_0138	Ibach, Ibach	8.16274, 48.45618	gais	g a i s	geiß	g ei ß	2
773	TÜB b5	III_8_0102, III_8_0101	Eisental, Eisental	8.16417, 48.71189	geiß	g ei ß	gaiß	g a i ß	1
774	TÜB x2	III_10_0137	Oppe u, Oppe u	8.16423, 48.47333	geis	g ei s	gais	g a i s	1
775	KST S12	III_7_0123, III_7_0136	Sinzheim bei Winden, Sinzheim	8.16564, 48.76405	gääs	g ää s	gäis	g ä i s	1
776	TUTT M1	III_15_0120	Attlisberg, Attlisberg	8.16607, 47.72173	gaiß	g a i ß	geiß	g ei ß	1
777	TUTT L14, TUTT L13	III_15_0123	Bannholz, Remetschwiel und Bannholz, Bannholz	8.167, 47.67614	gaiß	g a i ß	gais	g a i s	1
778	TÜB M6	III_11_0142, III_11_0141	Hausach, Hausach	8.17189, 48.28424	gais	g a i s	gaiß	g a i ß	1
779	TUTT i5	III_13_0093	Neukirch, Neukirch	8.17383, 48.02447	gaiß	g a i ß	gaiss	g a i ss	2
780	TÜB x8	III_10_0148	Löcherberg, Löcherberg	8.17462, 48.43425	gaiß	g a i ß	geiß	g ei ß	1
781	TUTT D3	III_14_0175	Blasiwald (Am Schluchsee), Blasiwald	8.17706, 47.7987	gais	g a i s	geiß	g ei ß	2
782	TUTT E2	III_14_0177	Schluchsee, Schluchsee	8.17828, 47.81706	geiß	g ei ß	gais	g a i s	2
783	KST E1	III_5_0127	Lauterburg (Weissenburg) (Lauterbourg), Lauterburg	8.18046, 48.97495	gǟß	g ǟ ß	gäß	g ä ß	1
784	TUTT T5	III_16_0158	Eschbach, Eschbach	8.18086, 47.6336	gais	g a i s	gaiß	g a i ß	1
785	TÜB b4	III_8_0110, III_8_0111	Neuweier, Neuweier	8.18377, 48.72012	geiß	g ei ß	gais	g a i s	2
786	TUTT M3	III_15_0121	Amrigschwand, Amrigschwand	8.1855, 47.71974	gaiß	g a i ß	geiß	g ei ß	1
787	TUTT M15	III_15_0114	Bierbronnen, Bierbronnen	8.18848, 47.6749	gaiß	g a i ß	geiß	g ei ß	1
788	TÜB T5	III_12_0069	Rensberg, Rensberg	8.1889, 48.17741	gaiß	g a i ß	geiß	g ei ß	1
789	TÜB b9, TÜB b8, TÜB b7	III_8_0112, III_8_0113	Bühlertal-Untertal, Bühlertal-Obertal, Bühlertal-Hof, Bühlertal, Bühlertal-Hof	8.19194, 48.68215	geiß	g ei ß	geiss	g ei ss	2
790	TÜB x1	III_10_0082	Lierbach, Lierbach	8.19298, 48.52477	geis	g ei s	gais	g a i s	1
791	KST M1	III_6_0097	Steinmauern, Steinmauern	8.19956, 48.90045	gaiss	g a i ss	geiß	g ei ß	3
792	KST M10/1, KST M10/2	III_6_0109	Rastatt, Rastatt	8.20142, 48.8573	gaiß	g a i ß	geiß	g ei ß	1
793	TUTT x4	III_14_0079	Lenzkirch und Kappel, Lenzkirch	8.20144, 47.8687	gais	g a i s	gaiß	g a i ß	1
794	TUTT b3	III_12_0161	Scho ch, Scho ch	8.20179, 48.14296	geiss	g ei ss	gaiß	g a i ß	3
795	TÜB E2, TÜB q1	III_11_0080, ungeodnet	Seebach, Seebach	8.20278, 48.57466	gaiß	g a i ß	geiß	g ei ß	1
796	KST E8	III_5_0129	Illingen, Illingen	8.20923, 48.9349	gāis	g ā i s	geiß	g ei ß	2
797	TÜB M7	III_12_0174	Gutach, Gutach	8.21021, 48.25051	gaiß	g a i ß	geiß	g ei ß	1
798	TUTT E5	III_14_0178	Staufen, Staufen	8.21221, 47.75633	gaiß	g a i ß	geiß	g ei ß	1
799	KST E7	III_5_0130	Elchesheim, Elchesheim	8.2136, 48.93047	gais	g a i s	geise	g ei s e	2
800	TÜB E4, TÜB M4	III_11_0147, III_11_0079	Oberwolfach, Oberwolfach, Oberwolfach-Walke	8.21698, 48.3174	geis	g ei s	geisen	g ei s e n	2
801	TÜB M3/2, TÜB M3/1	III_11_0150	Wolfach, Wolfach	8.22076, 48.30289	gāis	g ā i s	geiß	g ei ß	2
802	TUTT T2	III_16_0160	Indlekofen, Indlekofen	8.22113, 47.65889	gaiß	g a i ß	gais	g a i s	1
803	KST T9	III_7_0126, III_7_0127	Haueneberstein, Haueneberstein	8.22194, 48.80626	gais	g a i s	geiß	g ei ß	2
804	TÜB T4	III_12_0068, III_12_0067	Niederwasser, Niederwasser	8.22818, 48.18982	gais	g a i s	geiß	g ei ß	2
805	TÜB T2	III_12_0072, III_12_0073	Reichenbach, Reichenbach	8.22958, 48.21343	gaiß	g a i ß	geis	g ei s	2
806	TUTT b4	III_12_0165, III_12_0163, III_12_0164	Triberg, Triberg	8.2316, 48.13032	geiß	g ei ß	geis	g ei s	1
807	KST M3	III_6_0098, III_6_0099	Ötigheim, Oetigheim	8.23212, 48.89333	gaiß	g a i ß	geiß	g ei ß	1
808	TUTT i7	III_13_0090	Schönenbach, Schönenbach	8.23618, 48.04705	geis	g ei s	gaiß	g a i ß	2
809	TUTT q8	III_13_0161	Rudenberg, Rudenberg	8.23807, 47.9196	gaiß	g a i ß	geiße	g ei ß e	2
810	KST E9	III_5_0131	Au am Rhein, Au am Rhein	8.23933, 48.95136	gais	g a i s	gaiß	g a i ß	1
811	TÜB x9	III_10_0142	Bad Griesbach, Bad Griesbach	8.23935, 48.45251	gais	g a i s	geiß	g ei ß	2
812	TUTT T1	III_16_0161	Weilheim, Weilheim	8.24051, 47.65862	gaiß	g a i ß	geiss	g ei ss	3
813	KST T14/3, KST T14/2, KST T14/4, KST T14/1	III_7_0131	Baden-Baden-West, Baden-Baden , Baden-Baden, Baden-Baden Weststadt	8.24094, 48.76273	gaiß	g a i ß	geiß	g ei ß	1
814	TUTT M13	III_15_0128	Dietlingen, Dietlingen	8.24371, 47.67342	gaiß	g a i ß	geiss	g ei ss	3
815	TÜB M8	III_11_0154	Kirnbach, Kirnbach	8.24598, 48.26194	gaiß	g a i ß	geiß	g ei ß	1
816	KST M8	III_6_0107	Rauental, Rauental	8.24794, 48.8572	gāiß	g ā i ß	geiss	g ei ss	3
817	TÜB M2	III_11_0148	Langenbach, Langenbach	8.25164, 48.3205	geiß	g ei ß	gais	g a i s	2
818	KST T1	III_7_0128	Kuppenheim, Kuppenheim	8.25452, 48.82818	ga̠iß	g a ̠ i ß	geiß	g ei ß	2
819	KST E6	III_5_0139	Würmersheim, Würmersheim	8.25452, 48.94056	gaiß	g a i ß	gois	g o i s	2
820	TUTT b2	III_12_0162	Gremmelsbach, Gremmelsbach	8.25756, 48.15793	gaiß	g a i ß	geiß	g ei ß	1
821	TUTT b5	III_12_0154, III_12_0152, III_12_0153	Nussbach, Nussbach	8.25836, 48.13097	gaiß	g a i ß	geiß	g ei ß	1
822	TÜB T3	III_12_0070, III_12_0071	Schwanenbach (Reichenbach), Schwanenbach	8.26562, 48.1922	gaiß	g a i ß	geiß	g ei ß	1
823	TÜB i1	III_9_0104	Herrenwies, Herrenwies	8.26593, 48.65907	geis	g ei s	geiß	g ei ß	1
824	KST E5	III_5_0133, III_5_0132	Durmersheim, Durmersheim	8.2685, 48.93129	gois	g o i s	goais	g o a i s	1
825	KST T7	III_7_0132	Ebersteinburg, Ebersteinburg	8.26889, 48.77997	gaiß	g a i ß	geiss	g ei ss	3
826	TÜB M9	III_11_0151	Halbmeil, Halbmeil	8.27063, 48.29042	geis	g ei s	gaiß	g a i ß	2
827	TÜB i2	III_9_0105	Forbach-Hundsbach, Forbach-Hundsbach	8.27064, 48.62026	geis	g ei s	geiß	g ei ß	1
828	KST M4	III_6_0105, III_6_0104	Muggensturm, Muggenturm	8.2763, 48.87021	gais	g a i s	gaiß	g a i ß	1
829	TUTT T9	III_16_0155	Tiengen, Thiengen	8.28181, 47.63443	geiß	g ei ß	gaiss	g a i ss	3
830	TUTT M7	III_15_0115	Hürrlingen, Hürrlingen	8.28505, 47.72465	geiß	g ei ß	geiss	g ei ss	2
831	KST E4	III_5_0136, III_5_0137, III_5_0138	Mörsch, Mörsch	8.28883, 48.96003	geiß	g ei ß	gaiß	g a i ß	1
832	TUTT M8	III_15_0116	Riedern im Wald, Riedern	8.29113, 47.71786	gaiß	g a i ß	geiss	g ei ss	3
833	TÜB M1	III_11_0149	Sankt Roman, St. Roman	8.2924, 48.33187	gais	g a i s	geiß	g ei ß	2
834	TUTT T14	III_16_0154	Kadelburg, Kadelburg	8.29552, 47.60851	geiß	g ei ß	gaiß	g a i ß	1
835	TUTT T12	III_16_0164	Unterlauchringen, Unterlauchringen	8.30394, 47.63095	gaiß	g a i ß	geis	g ei s	2
836	TUTT M10	III_15_0119	Krenkingen, Krenkingen	8.30454, 47.68312	gaiß	g a i ß	gaiss	g a i ss	2
837	TUTT T10	III_16_0163	Breitenfeld, Breitenfeld	8.30617, 47.65178	gais	g a i s	gaiß	g a i ß	1
838	TÜB M10	III_11_0153, III_11_0152	Lehengericht, Vorderlehengericht, Hinterlehengericht	8.30807, 48.2924	goaß	g o a ß	goas	g o a s	1
839	KST T6	III_7_0133	Staufenberg, Staufenberg	8.3082, 48.76673	gais	g a i s	geise	g ei s e	2
840	TÜB x4	III_10_0144, III_10_0143	Kniebis, Kniebis	8.3101, 48.47233	gāiß	g ā i ß	gaiß	g a i ß	1
841	TUTT M6	III_14_0183, III_14_0182, III_14_0180, III_14_0181	Birkendorf, Birkendorf	8.3126, 47.74971	gais	g a i s	gaiß	g a i ß	1
842	TUTT b1	III_12_0159, III_12_0158, III_12_0160	Langenschiltach, Langenschiltach	8.3168, 48.16202	goaß	g o a ß	goas	g o a s	1
843	KST E3	III_5_0135	Forchheim, Forchheim	8.31683, 48.97425	gais	g a i s	gaiß	g a i ß	1
844	TUTT M9	III_15_0127	Uhlingen, Uhlingen Ühlingen	8.31845, 47.7201	gais	g a i s	geiss	g ei ss	2
845	TUTT b7	III_12_0170	Oberkir ch, Oberkir ch	8.31901, 48.09369	go̠ăß	g o ̠ ă ß	goaß	g o a ß	2
846	TUTT T11	III_15_0118	Detzeln, Detzeln	8.32062, 47.66643	gaiß	g a i ß	geiß	g ei ß	1
847	TUTT T13	III_16_0165	Oberlauchringen, Oberlauchringen	8.32685, 47.62036	geiß	g ei ß	geißen	g ei ß e n	2
848	TUTT Ta1	III_16_0156	Reckingen, Reckingen	8.33116, 47.57477	geiß	g ei ß	gaiß	g a i ß	1
849	KST M5	III_6_0103	Waldprechtsweier, Waldprechtsweier	8.33173, 48.8612	gais	g a i s	geiß	g ei ß	2
850	TUTT c3	III_12_0156, III_12_0155, III_12_0157	St. Georgen, St. Georgen	8.33183, 48.12564	goaäß	g o a ä ß	gaäß	g a ä ß	1
851	KST N1	III_6_0101, III_6_0100, III_6_0102	Malsch, Malsch	8.3345, 48.88047	gais	g a i s	geiß	g ei ß	2
852	KST U4	III_7_0134	Gernsbach, Gernsbach	8.33578, 48.76294	gaiß	g a i ß	geiß	g ei ß	1
853	KST x 1	III_4_0114	Daxlanden, Daxlanden	8.33737, 49.0022	gais	g a i s	geiß	g ei ß	2
854	TÜB c6	III_25_0009, III_25_0008	Bermersbach, Bermersbach	8.34126, 48.69401	gāis	g ā i s	geiß	g ei ß	2
855	TUTT N5	III_37_0003	Untermettingen, Untermettingen	8.34615, 47.70245	gais	g a i s	gaiß	g a i ß	1
856	TUTT F4	III_36_0005	Wittlekoffen, Wittlekoffen	8.34635, 47.78326	gaiß	g a i ß	geiß	g ei ß	1
857	TUTT y3	III_35_0003	Seppenhofen, Seppenhofen	8.34864, 47.8748	gås	g å s	goas	g o a s	2
858	TÜB k1	III_26_0001	Raumünzach, Raumänzach	8.34869, 48.63918	gāiß	g ā i ß	gaiß	g a i ß	1
859	KST U1	III_24_0001	Michelbach, Michelbach	8.35062, 48.8186	gais	g a i s	geis	g ei s	1
860	TUTT y4	III_35_0002	Reiselfingen, Reiselfingen	8.35108, 47.85467	gåas	g å a s	goaß	g o a ß	2
861	TUTT F3	III_36_0006	Wellendingen, Wellendingen	8.35185, 47.79705	gaiß	g a i ß	geisse	g ei ss e	4
862	TUTT r4	III_34_0017	Unterbränd, Unterbränd	8.35693, 47.93373	goas	g o a s	goaß	g o a ß	1
863	KST N2, KST U6	III_24_0002	Sulzbach, Sulzbach	8.35791, 48.80596	gaiß	g a i ß	gais	g a i s	1
864	TÜB c8	III_25_0003, III_25_0004	Forbach, Forbach	8.3589, 48.67857	gais	g a i s	gaiß	g a i ß	1
865	TUTT N4	III_37_0001	Obermettingen, Obermettingen	8.35956, 47.7213	gais	g a i s	geis	g ei s	1
866	TUTT F6	III_36_0014	Bettmaringen, Bettmaringen	8.36102, 47.75368	gaiß	g a i ß	geiß	g ei ß	1
867	TUTT U14	III_38_0009, III_38_0008	Küß ch, Küss ch	8.36574, 47.59396	geiß	g ei ß	gaiß	g a i ß	1
868	TUTT U5	III_38_0007	Wutöschingen, Wutöschingen	8.36613, 47.65918	gais	g a i s	gaiss	g a i ss	1
869	TUTT k10	III_33_0001	Unterkir ch, Unterkir ch	8.36628, 48.07845	goas	g o a s	goaß	g o a ß	1
870	KST F13	III_22_0002	Bruchhausen bei Ettlingen, Bruchhausen	8.371, 48.92716	gaiß	g a i ß	gais	g a i s	1
871	TUTT k9	III_33_0002	Herzogenweiler, Herzogenweiler	8.37157, 48.0254	gais	g a i s	geis	g ei s	1
872	TÜB N1	III_30_0007	Schenkenzell, Schenkenzell	8.37253, 48.31105	gaiß	g a i ß	geis	g ei s	2
873	TUTT c2	III_32_0002	Peterzell, Peterzell	8.37425, 48.13255	goaß	g o a ß	geiß	g ei ß	2
