Koordinaten	Fragebogen-Nr. Maurer	Fragebogen-Nr. DWA	Longitude	Latitude	Levenshtein Item Min	z_score_item	Levenshtein Phontype Min	z_score_phontype	Levenshtein Lextype Min	z_score_lextype
7.1752, 48.95249	Hag F 4	III_5_0039	7.1752	48.95249	24	1.7553047300973943	16	0.14666054742269374	11	-0.9341173862810486
7.17622, 47.53614	Co Ua 14	III_17_0014	7.17622	47.53614	5	-8.296578694038075	0	-8.338330423653442	0	-6.7652694507715
7.17654, 48.90012	Hag N 17	III_6_0017	7.17654	48.90012	44	12.336234650239994	38	11.81352313265238	29	8.60776781015787
7.17716, 47.93851	Co r 6	III_13_0107	7.17716	47.93851	17	-1.9480207419525162	1	-7.808018487961184	0	-6.7652694507715
7.17766, 47.83549	Co F5	III_14_0016	7.17766	47.83549	16	-2.4770672379596457	3	-6.747394616576667	0	-6.7652694507715
7.17804, 47.81981	Co F1	III_14_0101	7.17804	47.81981	21	0.1681652420760043	13	-1.444275259654083	9	-1.99432685255204
7.17837, 47.80918	Co F2	III_14_0097	7.17837	47.80918	18	-1.4189742459453867	4	-6.217082680884408	0	-6.7652694507715
7.17972, 48.24483	Stra U 1/1, Stra U 1/2, Stra V 1	III_12_0002	7.17972	48.24483	6	-7.7675321980309455	4	-6.217082680884408	0	-6.7652694507715
7.17993, 48.88617	Hag N 11	III_6_0025	7.17993	48.88617	20	-0.3608812539311259	12	-1.9745871953463405	5	-4.114745785094022
7.17995, 47.8995	Co y 1/1, Co y 1/2	III_14_0017	7.17995	47.8995	13	-4.064206725981036	3	-6.747394616576667	0	-6.7652694507715
7.18638, 47.92816	Co r 9	III_13_0103	7.18638	47.92816	22	1.4787696790884	8	-3.500239907854414	0	-6.282035918573536
7.18685, 48.94061	Hag F 5	III_5_0040	7.18685	48.94061	20	-0.3608812539311258	10	-3.035211066730857	0	-6.7652694507715
7.1873, 47.56163	Co Ua 5	III_17_0030	7.1873	47.56163	37	8.632909178190085	27	5.980091840037537	23	5.427139411344897
7.18979, 48.8662	Hag N 13	III_6_0026	7.18979	48.8662	12	-4.593253221988165	3	-6.747394616576667	0	-6.7652694507715
7.19095, 48.98016	Hag F 1	III_5_0037	7.19095	48.98016	20	-0.3608812539311256	13	-1.444275259654082	12	-0.40401265314555423
7.1923, 47.88825	Co y 2	na	7.1923	47.88825	0	0.0	0	0.0	0	0.0
7.19258, 48.11083	Co c 11	na	7.19258	48.11083	0	0.0	0	0.0	0	0.0
7.19368, 47.69085	Co N14	III_15_0027	7.19368	47.69085	14	-3.535160229973906	0	-8.338330423653442	0	-6.7652694507715
7.19745, 48.89156	Hag N 10	III_6_0024	7.19745	48.89156	18	-1.4189742459453862	7	-4.626146873807633	5	-4.114745785094022
7.19806, 47.97442	Co r 4	III_13_0109	7.19806	47.97442	35	7.574816186175824	33	9.161963454191087	33	10.728186742699853
7.20293, 47.67101	Co N13	III_15_0029	7.20293	47.67101	34	7.827327631173961	20	2.8635033204526876	11	-0.4508838540830844
7.20324, 48.03797	Co k 11	III_13_0027	7.20324	48.03797	28	4.65304865513118	19	2.333191384760429	9	-1.5110933203540755
7.20348, 48.90463	Hag N 9	III_6_0018	7.20348	48.90463	36	8.103862682182953	16	0.14666054742269352	10	-1.4642221194165446
7.20558, 48.05217	Co k 9	III_13_0014	7.20558	48.05217	8	-6.709439206016685	5	-5.68677074519215	0	-6.7652694507715
7.20676, 48.84318	Hag N 16	III_6_0028	7.20676	48.84318	31	5.458630202147303	19	1.737596354499468	9	-1.99432685255204
7.20969, 47.87406	Co y 4	III_14_0019	7.20969	47.87406	5	-8.296578694038075	1	-7.808018487961184	0	-6.7652694507715
7.21078, 47.9095	Co y 13, Co y 13, 14, Co y 14, Co y 5	III_14_0027	7.21078	47.9095	4	-8.825625190045205	0	-8.338330423653442	0	-6.7652694507715
7.21307, 47.61448	Co U 6	III_16_0028	7.21307	47.61448	26	2.813397722111654	8	-4.095834938115374	2	-5.705059984500509
7.21529, 48.92578	Hag F 7	III_5_0050	7.21529	48.92578	25	2.284351226104524	12	-1.9745871953463412	9	-1.99432685255204
7.21533, 47.8484	Co y 6	III_14_0021	7.21533	47.8484	13	-4.064206725981036	7	-4.626146873807633	0	-6.7652694507715
7.2159, 47.68086	Co N9	na	7.2159	47.68086	0	0.0	0	0.0	0	0.0
7.21833, 47.50939	Co Ua 12	III_17_0012	7.21833	47.50939	14	-3.535160229973906	0	-8.338330423653442	0	-6.7652694507715
7.21903, 47.98623	Co r 2	III_13_0104	7.21903	47.98623	15	-3.006113733966776	8	-4.095834938115374	0	-6.7652694507715
7.2198, 48.88035	Hag N 12	III_6_0023	7.2198	48.88035	17	-1.948020741952516	3	-6.747394616576667	0	-6.7652694507715
