Koordinaten	Fragebogen-Nr. Maurer	Fragebogen-Nr. DWA	Longitude	Latitude	Levenshtein Item Min	z_score_item	Levenshtein Phontype Min	z_score_phontype	Levenshtein Lextype Min	z_score_lextype
7.47311, 48.66189	Stra m 7	III_9_0017	7.47311	48.66189	21	0.1681652420760043	14	-0.9139633239618237	9	-1.99432685255204
7.47318, 48.10199	Co d 2 , Co k 3	III_12_0096	7.47318	48.10199	4	-8.825625190045205	0	-8.338330423653442	0	-6.7652694507715
7.47691, 47.52383	Co Va 7	III_17_0017	7.47691	47.52383	19	-0.8899277499382559	10	-3.0352110667308567	6	-3.584641051958527
7.47707, 47.63392	Co V 9	III_16_0056	7.47707	47.63392	41	10.749095162218604	16	0.14666054742269297	13	0.12609207998994187
7.47751, 48.58828	Stra t 13	III_9_0020	7.47751	48.58828	32	5.987676698154434	3	-6.747394616576667	0	-6.7652694507715
7.47771, 48.12279	Co d 7	III_12_0091	7.47771	48.12279	14	-3.535160229973906	5	-5.68677074519215	0	-6.7652694507715
7.47851, 48.82528	Hag V 1/1, Hag V 1/2	III_7_0041	7.47851	48.82528	9	-6.1803927100095555	1	-7.808018487961184	0	-6.7652694507715
7.47865, 48.66636	Stra m 6	III_9_0016	7.47865	48.66636	25	2.284351226104524	7	-4.626146873807633	0	-6.7652694507715
7.47921, 48.79113	Hag V 15	III_7_0054	7.47921	48.79113	26	2.813397722111653	13	-1.444275259654082	7	-3.054536318823031
7.47938, 48.77591	Hag V 14	III_7_0056	7.47938	48.77591	27	3.3424442181187843	14	-0.9139633239618233	7	-3.054536318823031
7.47956, 48.81064	Hag V 2	III_7_0052	7.47956	48.81064	43	11.807188154232865	27	5.980091840037536	21	4.366929945073906
7.47996, 48.06278	Co l 5	III_13_0028	7.47996	48.06278	15	-3.006113733966776	4	-6.217082680884408	0	-6.7652694507715
7.48031, 48.87322	Hag O 7	III_6_0045	7.48031	48.87322	32	5.987676698154433	15	-0.3836513882695649	0	-6.7652694507715
7.48036, 47.55042	Co Va 5	III_17_0034	7.48036	47.55042	18	-1.418974245945386	5	-5.68677074519215	0	-6.7652694507715
7.48181, 48.9216	Hag O 1	III_5_0059	7.48181	48.9216	20	-0.36088125393112613	4	-6.217082680884408	0	-6.7652694507715
7.48218, 47.4954	Co Vd 4	III_17_0073	7.48218	47.4954	30	4.929583706140173	18	1.2072844188072107	10	-1.4642221194165437
7.48432, 48.43288	Stra A 10	III_10_0097	7.48432	48.43288	17	-1.948020741952516	9	-3.565523002423116	10	-1.464222119416545
7.48491, 48.73763	Stra e 7/1, Stra e 7/2	III_8_0033	7.48491	48.73763	38	9.161955674197214	30	7.571027647114311	26	7.017453610751383
7.48507, 48.4622	Stra A 4	III_10_0092, III_10_0093	7.48507	48.4622	11	-5.122299717995295	2	-7.277706552268925	0	-6.7652694507715
7.48538, 48.52471	Stra t 8	III_10_0020	7.48538	48.52471	28	3.8714907141259136	17	0.6769724831149515	10	-1.4642221194165448
7.48538, 48.70717	Stra e 8	III_8_0055	7.48538	48.70717	19	-0.8899277499382563	1	-7.808018487961184	0	-6.7652694507715
7.48632, 48.08696	Co l 12	III_12_0098	7.48632	48.08696	30	4.929583706140174	7	-4.626146873807633	0	-6.7652694507715
7.48667, 48.84591	Hag O 9	III_6_0043	7.48667	48.84591	11	-5.122299717995295	2	-7.277706552268925	0	-6.7652694507715
7.48699, 48.572	Stra t 15/2	III_10_0010	7.48699	48.572	24	1.7553047300973943	21	2.7982202258839854	9	-1.9943268525520403
7.48778, 48.60108	Stra m 13	III_9_0018	7.48778	48.60108	10	-5.651346214002426	4	-6.217082680884408	0	-6.7652694507715
7.48794, 48.1443	Co d 11	III_12_0090	7.48794	48.1443	14	-3.5351602299739056	3	-6.747394616576667	0	-6.7652694507715
7.48828, 47.97561	Co s 1	III_13_0123	7.48828	47.97561	11	-5.122299717995296	2	-7.277706552268925	0	-6.7652694507715
7.48841, 48.37831	Stra H 9	III_11_0014	7.48841	48.37831	4	-8.825625190045205	1	-7.808018487961184	0	-6.7652694507715
7.49054, 48.62101	Stra m 11	III_9_0015	7.49054	48.62101	16	-2.4770672379596457	4	-6.217082680884408	0	-6.7652694507715
7.49064, 48.41936	Stra A 9	III_11_0011	7.49064	48.41936	21	0.16816524207600392	9	-3.5655230024231157	5	-4.114745785094022
7.49067, 48.54038	Stra t 7	III_10_0019	7.49067	48.54038	4	-8.825625190045205	1	-7.808018487961184	0	-6.7652694507715
7.49498, 48.85955	Hag O 8	III_6_0044	7.49498	48.85955	14	-3.535160229973906	1	-7.808018487961184	0	-6.7652694507715
7.49581, 48.593	Stra m 14	III_9_0021	7.49581	48.593	17	-1.948020741952516	7	-4.626146873807633	0	-6.7652694507715
7.49611, 47.60128	Co W 15, 14, Co W 15/1, Co W 15/2	III_16_0039, III_16_0040, III_16_0062	7.49611	47.60128	3	-9.354671686052335	0	-8.338330423653442	0	-6.7652694507715
7.49624, 48.60963	Stra m 12	III_9_0014	7.49624	48.60963	3	-9.354671686052335	1	-7.808018487961184	0	-6.7652694507715
7.49655, 48.69022	Stra e 15	III_8_0038	7.49655	48.69022	19	-0.1083698089329902	6	-4.560863779238931	0	-6.282035918573536
7.49675, 48.48669	Stra A 2	III_10_0088	7.49675	48.48669	7	-7.238485702023816	1	-7.808018487961184	0	-6.7652694507715
7.49786, 48.39782	Stra H 8	III_11_0027	7.49786	48.39782	2	-8.320602300048932	2	-6.086516491747005	0	-5.798802386375572
7.50043, 48.56159	Stra u 7	III_10_0011	7.50043	48.56159	22	0.6972117380831342	15	-0.383651388269566	9	-1.99432685255204
7.50131, 48.16133	Co d 9	III_12_0089	7.50131	48.16133	18	-1.418974245945386	14	-0.9139633239618236	7	-3.0545363188230312
7.50132, 48.30759	Stra P 11	III_11_0098	7.50132	48.30759	11	-5.122299717995295	4	-6.217082680884408	0	-6.7652694507715
7.5016, 48.02747	Co m 11	III_13_0047	7.5016	48.02747	15	-3.006113733966776	2	-7.277706552268925	0	-6.7652694507715
7.50399, 47.6877	Co P10/1, Co P10/2, Co P10/3	III_15_0042, III_16_0059, III_16_0060	7.50399	47.6877	3	-9.354671686052335	0	-8.338330423653442	0	-6.7652694507715
7.50406, 48.09192	Co e 8	III_12_0097	7.50406	48.09192	39	9.691002170204344	30	7.5710276471143105	28	8.077663077022374
7.50503, 47.75908	Co H15	III_14_0130	7.50503	47.75908	18	-1.4189742459453862	4	-6.217082680884408	0	-6.7652694507715
7.50646, 47.78661	Co H16	III_14_0131	7.50646	47.78661	22	0.6972117380831343	4	-6.217082680884408	2	-5.705059984500509
7.50654, 48.58628	Stra u 1	III_9_0026	7.50654	48.58628	12	-4.593253221988166	7	-4.626146873807633	6	-3.584641051958527
7.50726, 48.18379	Stra X 11	III_12_0027	7.50726	48.18379	12	-4.593253221988165	1	-7.808018487961184	0	-6.7652694507715
7.5074, 48.74799	Stra f 20	III_8_0056	7.5074	48.74799	6	-7.7675321980309455	2	-7.277706552268925	0	-6.7652694507715
7.50884, 48.80522	Hag W 13	III_7_0057	7.50884	48.80522	16	-2.477067237959646	0	-8.338330423653442	0	-6.7652694507715
7.50904, 47.71353	Co P11	III_15_0044	7.50904	47.71353	14	-3.5351602299739056	5	-5.68677074519215	0	-6.7652694507715
7.50989, 47.55993	Co Wa 2	III_17_0027	7.50989	47.55993	36	8.885420623188221	28	7.1059988059907555	20	4.320058744136375
7.51005, 48.63544	Stra n 11	III_9_0038	7.51005	48.63544	12	-4.593253221988165	1	-7.808018487961184	0	-6.7652694507715
7.51077, 48.56903	Stra u 18	III_10_0024	7.51077	48.56903	12	-4.593253221988165	6	-5.156458809499891	3	-5.174955251365013
7.51166, 48.67082	Stra f 19	III_8_0061	7.51166	48.67082	17	-1.9480207419525162	12	-1.97458719534634	3	-5.174955251365013
7.51347, 48.00264	Co m 13	III_13_0046	7.51347	48.00264	6	-7.7675321980309455	0	-8.338330423653442	0	-6.7652694507715
7.51396, 47.82468	Co H17	III_14_0133	7.51396	47.82468	31	5.4586302021473045	25	4.919467968653018	17	2.246511012531924
7.51469, 48.65916	Stra n 1	III_9_0037	7.51469	48.65916	14	-3.5351602299739064	4	-6.217082680884409	8	-2.524431585687536
7.51503, 48.70869	Stra f 15	III_8_0058, III_8_0059	7.51503	48.70869	13	-4.064206725981036	3	-6.747394616576667	0	-6.7652694507715
7.51526, 47.52439	Co Wa 5	III_17_0028	7.51526	47.52439	21	0.16816524207600358	9	-3.5655230024231157	4	-4.644850518229518
7.51527, 48.20131	Stra X 10	III_12_0026	7.51527	48.20131	12	-4.593253221988165	11	-2.5048991310386004	8	-2.5244315856875357
7.51712, 47.85248	Co A3	III_14_0040	7.51712	47.85248	30	4.929583706140173	6	-5.156458809499891	0	-6.7652694507715
7.51765, 48.45309	Stra B 6	III_10_0100	7.51765	48.45309	3	-9.354671686052335	0	-8.338330423653442	0	-6.7652694507715
7.51974, 48.75911	Hag W 16/1, Hag W 16/2	III_7_0077	7.51974	48.75911	9	-6.1803927100095555	2	-7.277706552268925	0	-6.7652694507715
7.52018, 48.23003	Stra X 1	III_12_0018	7.52018	48.23003	25	2.284351226104524	13	-1.4442752596540813	14	0.6561968131254374
7.52068, 48.42151	Stra B 7	III_10_0102, III_10_0103	7.52068	48.42151	7	-6.456927761018549	3	-6.151799586315707	0	-6.282035918573536
7.52082, 47.73028	Co P1	III_15_0043	7.52082	47.73028	16	-2.477067237959646	10	-3.0352110667308576	11	-0.9341173862810483
7.52092, 48.7349	Stra f 21	III_8_0057	7.52092	48.7349	11	-5.122299717995295	4	-6.217082680884408	0	-6.7652694507715
7.5211, 47.57633	Co Wa 1	III_17_0026	7.5211	47.57633	35	7.574816186175823	19	1.7375963544994688	16	1.7164062793964294
7.52112, 48.31139	Stra Q 1	III_11_0097	7.52112	48.31139	21	0.16816524207600403	9	-3.5655230024231153	0	-6.7652694507715
7.52279, 47.691	Co P19	III_15_0050	7.52279	47.691	18	-1.4189742459453865	5	-5.68677074519215	5	-4.114745785094022
7.52344, 47.56115	Co Wa 3	III_17_0035	7.52344	47.56115	30	4.929583706140173	21	2.798220225883985	14	0.6561968131254379
7.52526, 48.87312	Hag P 17	III_6_0052	7.52526	48.87312	9	-1.491045063977959	5	-2.1132005636263886	0	-3.865868257583714
7.52538, 48.79381	Hag W 12/1, Hag W 12/2	III_7_0135	7.52538	48.79381	8	-6.709439206016685	4	-6.217082680884408	0	-6.7652694507715
7.52543, 48.64343	Stra n 10	III_9_0024	7.52543	48.64343	29	4.400537210133044	16	0.14666054742269344	9	-1.99432685255204
7.52793, 48.52186	Stra u 13	III_10_0040	7.52793	48.52186	9	-6.180392710009556	5	-5.68677074519215	0	-6.7652694507715
7.52806, 48.56941	Stra u 6/1, Stra u 6/2	III_10_0025	7.52806	48.56941	8	-6.709439206016686	1	-7.808018487961184	0	-6.7652694507715
7.52868, 47.62399	Co W 14	III_16_0057	7.52868	47.62399	33	6.516723194161564	15	-0.383651388269566	9	-1.99432685255204
7.52883, 48.90568	Hag P 3	III_6_0048	7.52883	48.90568	23	1.2262582340902641	15	-0.3836513882695656	14	0.6561968131254374
7.52909, 48.01843	Co m 6	III_13_0045	7.52909	48.01843	4	-5.699393426024141	2	-4.895326431225085	0	-4.8323353219796426
7.53026, 48.81331	Hag W 6	III_7_0058	7.53026	48.81331	3	-9.354671686052335	2	-7.277706552268925	0	-6.7652694507715
7.53159, 48.78313	Hag W 14	III_7_0066	7.53159	48.78313	21	0.16816524207600403	13	-1.444275259654083	9	-1.99432685255204
7.53227, 48.50237	Stra B 1	III_10_0038, III_10_0039	7.53227	48.50237	7	-7.238485702023816	1	-7.808018487961184	0	-6.7652694507715
7.53229, 48.56055	Stra u 8	III_10_0026	7.53229	48.56055	7	-7.238485702023816	1	-7.808018487961184	0	-6.7652694507715
7.53321, 48.2674	Stra Q 6	III_11_0103	7.53321	48.2674	3	-9.354671686052335	0	-8.338330423653442	0	-6.7652694507715
7.53324, 47.71013	Co P9	na	7.53324	47.71013	0	0.0	0	0.0	0	0.0
7.53396, 47.88426	Co A2	III_14_0185	7.53396	47.88426	21	0.16816524207600325	9	-3.5655230024231157	0	-6.7652694507715
7.53422, 48.07788	Co m 7	III_13_0036	7.53422	48.07788	10	-5.651346214002426	3	-6.747394616576667	0	-6.7652694507715
7.53493, 47.63685	Co W 13	III_16_0058	7.53493	47.63685	14	-3.535160229973906	4	-6.217082680884408	0	-6.7652694507715
7.53538, 48.71278	Stra f 14	III_8_0060	7.53538	48.71278	17	-1.9480207419525153	13	-1.4442752596540822	8	-2.5244315856875357
7.53541, 47.66186	Co W 1	III_16_0067	7.53541	47.66186	17	-1.948020741952516	2	-7.277706552268925	0	-6.7652694507715
7.53712, 47.91578	Co A1/1, Co A1/2	III_14_0041	7.53712	47.91578	29	4.400537210133043	28	6.510403775729794	22	4.897034678209403
7.53766, 48.6623	na	III_9_0039	7.53766	48.6623	0	0.0	0	0.0	0	0.0
7.53776, 47.96942	Co t 1	III_13_0124	7.53776	47.96942	9	-6.1803927100095555	4	-6.217082680884408	0	-6.7652694507715
7.5391, 48.63315	Stra n 12	na	7.5391	48.63315	0	0.0	0	0.0	0	0.0
7.53917, 47.9288	Co t 8	na	7.53917	47.9288	0	0.0	0	0.0	0	0.0
7.53925, 48.23746	Stra X 2	III_12_0017	7.53925	48.23746	20	-0.3608812539311257	14	-0.9139633239618246	9	-1.99432685255204
7.53932, 48.84466	Hag P 18	III_6_0060	7.53932	48.84466	5	-2.825673107001213	0	-4.169165211826721	0	-3.38263472538575
7.53969, 47.81643	Co H1	III_14_0132	7.53969	47.81643	25	2.284351226104524	5	-5.68677074519215	0	-6.7652694507715
7.53995, 48.89301	Hag P 4	III_6_0049	7.53995	48.89301	14	-3.535160229973906	4	-6.217082680884408	0	-6.7652694507715
7.54141, 47.69158	Co P12	III_15_0051	7.54141	47.69158	16	-2.477067237959646	5	-5.68677074519215	5	-4.114745785094022
7.5423, 48.33798	Stra J 12	III_11_0037	7.5423	48.33798	20	-0.3608812539311266	7	-4.626146873807633	0	-6.7652694507715
7.5426, 48.11609	Co e 10	III_12_0110	7.5426	48.11609	10	-5.651346214002426	1	-7.808018487961184	0	-6.7652694507715
7.54296, 48.91021	Hag P 2	III_6_0059	7.54296	48.91021	18	-1.4189742459453858	3	-6.747394616576667	0	-6.7652694507715
7.54397, 48.44858	Stra B 5	III_10_0101	7.54397	48.44858	13	-4.064206725981036	6	-5.156458809499891	0	-6.7652694507715
7.54467, 48.04048	Co m 10	III_13_0044	7.54467	48.04048	12	-4.593253221988165	4	-6.217082680884408	0	-6.7652694507715
7.54562, 48.6548	Stra n 4	na	7.54562	48.6548	0	0.0	0	0.0	0	0.0
7.54562, 48.65481	Stra n 2	na	7.54562	48.65481	0	0.0	0	0.0	0	0.0
7.54583, 48.1675	Co e 1	III_12_0102	7.54583	48.1675	13	-4.064206725981036	4	-6.217082680884408	0	-6.7652694507715
7.54705, 47.57853	Co Wa 7	III_17_0036	7.54705	47.57853	18	-0.6374163049401196	13	-0.848680229393122	11	-0.45088385408308473
7.5473, 48.79426	Hag W 11	III_7_0064, III_7_0065	7.5473	48.79426	7	-7.238485702023816	0	-8.338330423653442	0	-6.7652694507715
7.54735, 48.69609	Stra f 17	III_8_0062	7.54735	48.69609	7	-7.238485702023816	1	-7.808018487961184	0	-6.7652694507715
7.54942, 47.71753	Co P8	III_15_0045	7.54942	47.71753	19	-0.8899277499382561	6	-5.156458809499892	4	-4.644850518229518
7.5497, 47.67294	Co P18	III_15_0052	7.5497	47.67294	20	-0.36088125393112597	6	-5.156458809499892	5	-4.114745785094022
7.54972, 48.85428	Hag P 16	III_6_0061, III_6_0062	7.54972	48.85428	10	-5.651346214002426	2	-7.277706552268925	0	-6.7652694507715
7.55134, 48.21037	Stra X 9	III_12_0025	7.55134	48.21037	18	-1.4189742459453858	11	-2.5048991310385986	7	-3.054536318823031
7.55199, 48.34632	Stra J 11	III_11_0036	7.55199	48.34632	14	-3.535160229973906	4	-6.217082680884408	0	-6.7652694507715
7.5527, 48.88226	Hag P 5	III_6_0053	7.5527	48.88226	24	1.7553047300973936	14	-0.9139633239618246	12	-0.4040126531455537
7.55292, 48.01693	Co m 8	III_13_0043	7.55292	48.01693	26	3.5949556631169197	6	-4.560863779238931	0	-6.282035918573536
7.55314, 47.76918	Co H14	na	7.55314	47.76918	0	0.0	0	0.0	0	0.0
7.55409, 48.80777	Hag W 7	III_7_0063	7.55409	48.80777	20	-0.36088125393112613	16	0.14666054742269297	16	1.7164062793964285
7.55624, 48.09319	Co e 9	III_12_0109	7.55624	48.09319	37	8.632909178190083	10	-3.035211066730857	7	-3.054536318823031
7.55672, 48.58641	Stra u 2/1	III_9_0025	7.55672	48.58641	14	-3.5351602299739056	2	-7.277706552268925	0	-6.7652694507715
7.55708, 48.00563	Co m 12	III_13_0042	7.55708	48.00563	13	-4.064206725981036	4	-6.217082680884408	0	-6.7652694507715
7.55728, 47.7319	Co P2	III_15_0047	7.55728	47.7319	20	-0.36088125393112674	15	-0.38365138826956446	10	-1.4642221194165446
7.55885, 47.98979	Co t 5	III_13_0125	7.55885	47.98979	9	-2.2726030049832255	6	-2.1784836581950904	0	-4.349101789781678
7.55923, 48.82025	Hag W 4	III_7_0059	7.55923	48.82025	12	-4.593253221988165	0	-8.338330423653442	0	-6.7652694507715
7.55965, 48.83213	Hag W 5	III_6_0065	7.55965	48.83213	5	-8.296578694038075	1	-7.808018487961184	0	-6.7652694507715
7.55983, 48.78146	Hag W 15	III_7_0068	7.55983	48.78146	8	-6.709439206016686	2	-7.277706552268925	0	-6.7652694507715
7.56012, 47.81393	Co H2	III_14_0134	7.56012	47.81393	26	2.8133977221116546	23	3.858844097268503	16	1.716406279396429
7.56211, 48.7324	Stra f 2	III_8_0078	7.56211	48.7324	22	0.697211738083134	8	-4.095834938115374	0	-6.7652694507715
7.5622, 47.9336	Co t 7	na	7.5622	47.9336	0	0.0	0	0.0	0	0.0
7.56233, 47.68899	Co P13	na	7.56233	47.68899	0	0.0	0	0.0	0	0.0
7.56351, 47.58575	Co Wa 4	III_16_0063, III_16_0064, III_16_0065	7.56351	47.58575	6	-7.7675321980309455	1	-7.808018487961184	0	-6.7652694507715
7.56377, 48.22957	Stra X 3	III_12_0019	7.56377	48.22957	26	2.8133977221116537	6	-5.156458809499891	0	-6.7652694507715
7.56378, 48.61325	Stra n 16, Stra u 2/2	III_9_0042	7.56378	48.61325	10	-5.651346214002426	6	-5.156458809499891	0	-6.7652694507715
7.56471, 47.64989	Co W 2, Co W 3	III_16_0068, III_16_0069	7.56471	47.64989	1	-10.412764678066596	0	-8.338330423653442	0	-6.7652694507715
7.56478, 48.56483	Stra u 9	III_10_0027	7.56478	48.56483	25	3.0659091671097904	15	0.21194364199139515	11	-0.45088385408308507
7.56557, 48.47613	Stra B 4	III_10_0099	7.56557	48.47613	7	-7.238485702023816	3	-6.747394616576667	1	-6.235164717636004
7.56591, 48.70185	Stra f 16	III_8_0065	7.56591	48.70185	3	-9.354671686052335	1	-7.808018487961184	0	-6.7652694507715
7.56596, 48.52454	Stra u 12	III_10_0037	7.56596	48.52454	6	-7.7675321980309455	2	-7.277706552268925	0	-6.7652694507715
7.56598, 48.18437	Stra X 13	III_12_0028	7.56598	48.18437	28	3.8714907141259136	14	-0.9139633239618232	10	-1.4642221194165446
7.56756, 47.67374	Co P17	III_15_0053	7.56756	47.67374	26	2.8133977221116537	8	-4.095834938115375	9	-1.9943268525520397
7.56768, 48.29055	Stra Q 5	III_11_0100	7.56768	48.29055	10	-5.651346214002426	2	-7.277706552268925	0	-6.7652694507715
7.568, 48.65809	Stra f 22	III_9_0041	7.568	48.65809	34	7.045769690168693	16	0.14666054742269385	9	-1.9943268525520403
7.57004, 48.75735	Hag W 17	III_7_0079	7.57004	48.75735	45	12.865281146247124	33	9.161963454191087	24	5.957244144480393
7.57052, 48.18862	Stra X 12	III_12_0029	7.57052	48.18862	7	-7.238485702023816	0	-8.338330423653442	0	-6.7652694507715
7.57149, 47.60532	Co W 16	III_16_0061	7.57149	47.60532	30	4.929583706140174	18	1.2072844188072105	9	-1.99432685255204
7.57243, 48.0111	Co m 9	III_13_0041	7.57243	48.0111	23	1.2262582340902635	7	-4.626146873807633	5	-4.114745785094022
7.57276, 48.37779	Stra J 3	III_11_0034	7.57276	48.37779	10	-5.651346214002426	2	-7.277706552268925	0	-6.7652694507715
7.57335, 48.63816	Stra n 13	na	7.57335	48.63816	0	0.0	0	0.0	0	0.0
7.57348, 48.49644	Stra B 2	III_10_0098	7.57348	48.49644	14	-3.5351602299739056	11	-2.504899131038599	8	-2.5244315856875357
7.57372, 48.62636	Stra n 14	III_9_0035, III_9_0036	7.57372	48.62636	7	-7.238485702023816	1	-7.808018487961184	0	-6.7652694507715
7.57377, 48.20951	Stra X 8	III_12_0024	7.57377	48.20951	17	-1.9480207419525166	11	-2.504899131038599	8	-2.5244315856875357
7.57481, 48.2329	Stra X 4	III_12_0020	7.57481	48.2329	34	7.045769690168693	15	-0.3836513882695647	13	0.12609207998994232
7.57624, 47.75579	Co H13	III_14_0135	7.57624	47.75579	17	-1.948020741952516	1	-7.808018487961184	0	-6.7652694507715
7.57779, 47.84303	Co A10	III_14_0042	7.57779	47.84303	30	4.929583706140173	12	-1.9745871953463403	2	-5.705059984500509
7.57814, 48.35799	Stra J 10	III_11_0035	7.57814	48.35799	21	0.16816524207600347	12	-1.9745871953463405	12	-0.4040126531455538
7.57862, 48.68905	Stra f 18	III_8_0064	7.57862	48.68905	20	-0.360881253931127	11	-2.5048991310385986	5	-4.114745785094022
7.57892, 48.8784	Hag P 6	III_6_0054	7.57892	48.8784	7	-7.238485702023816	0	-8.338330423653442	0	-6.7652694507715
7.58074, 48.66169	Stra n 19	na	7.58074	48.66169	0	0.0	0	0.0	0	0.0
7.58103, 47.627	Co W 12	III_16_0070, III_16_0071	7.58103	47.627	13	-4.064206725981036	9	-3.5655230024231157	5	-4.114745785094022
7.58374, 47.5912	Co W 17	III_16_0066	7.58374	47.5912	29	5.182095151138309	14	-0.3183682937008634	12	0.07922087905241137
7.58414, 48.81374	Hag W 3	III_7_0060	7.58414	48.81374	15	-3.0061137339667763	4	-6.217082680884408	0	-6.7652694507715
7.58442, 47.7231	Co P7	III_15_0048	7.58442	47.7231	25	2.2843512261045227	14	-0.9139633239618239	9	-1.9943268525520397
7.58822, 48.7411	Stra f 3	III_8_0079	7.58822	48.7411	32	5.987676698154433	18	1.2072844188072096	9	-1.99432685255204
7.58834, 48.56138	Stra u 17	III_10_0028	7.58834	48.56138	26	2.8133977221116533	13	-1.444275259654083	9	-1.99432685255204
7.58855, 48.39622	Stra J 2	III_11_0029	7.58855	48.39622	25	2.2843512261045236	14	-0.9139633239618238	9	-1.9943268525520406
7.58895, 48.71645	Stra f 1	III_8_0077	7.58895	48.71645	14	-3.5351602299739056	3	-6.747394616576667	0	-6.7652694507715
7.58962, 48.26345	Stra Q 7	III_11_0104	7.58962	48.26345	16	-2.477067237959646	8	-4.095834938115374	5	-4.114745785094022
7.58968, 48.52813	Stra u 11	III_10_0036	7.58968	48.52813	10	-5.651346214002426	4	-6.217082680884408	1	-6.235164717636004
7.59018, 48.9196	Hag P 1	III_5_0068	7.59018	48.9196	19	-0.8899277499382564	11	-2.504899131038598	8	-2.524431585687536
7.59221, 47.78776	Co H8	III_14_0136	7.59221	47.78776	10	-5.651346214002426	2	-7.277706552268925	0	-6.7652694507715
7.59238, 47.87313	Co A9	III_14_0043	7.59238	47.87313	32	5.987676698154434	13	-1.4442752596540822	9	-1.99432685255204
7.59332, 48.04535	Co m 1	III_13_0040	7.59332	48.04535	14	-3.535160229973906	3	-6.747394616576667	0	-6.7652694507715
7.59369, 48.6152	Stra n 15	III_9_0040	7.59369	48.6152	39	9.691002170204344	29	7.040715711422052	12	-0.40401265314555324
7.59385, 48.37263	Stra J 4/1, Stra J 4/2, Stra J 4/3	III_11_0033	7.59385	48.37263	6	-5.422858375015148	0	-6.551545332870562	0	-5.315568854177607
7.59411, 47.76239	Co H10	na	7.59411	47.76239	0	0.0	0	0.0	0	0.0
7.59484, 48.79272	Hag W 10	III_7_0069	7.59484	48.79272	3	-7.009997863036537	1	-6.021233397178303	0	-5.315568854177607
7.59489, 48.2251	Stra X 5	III_12_0021	7.59489	48.2251	3	-8.573113745047069	2	-6.682111522007965	0	-6.282035918573536
7.59518, 47.63113	Co W 11, 18	III_16_0074	7.59518	47.63113	26	2.8133977221116537	16	0.14666054742269363	15	1.1863015462609339
7.59542, 48.60404	Stra n 17, Stra n 18	III_9_0031	7.59542	48.60404	4	-8.825625190045205	2	-7.277706552268925	0	-6.7652694507715
7.59628, 47.66366	Co W 4, 5	III_16_0087, III_16_0088	7.59628	47.66366	13	-4.064206725981036	2	-7.277706552268925	0	-6.7652694507715
7.5965, 48.41075	Stra J 1	III_11_0028	7.5965	48.41075	20	-0.3608812539311254	17	0.6769724831149515	9	-1.99432685255204
7.59731, 48.86227	Hag P 15	III_6_0057	7.59731	48.86227	25	2.2843512261045236	9	-3.5655230024231157	0	-6.7652694507715
7.59794, 47.68033	Co P14	III_15_0054	7.59794	47.68033	33	6.516723194161563	9	-3.5655230024231157	0	-6.7652694507715
7.59943, 48.10194	Co e 4	III_12_0108	7.59943	48.10194	16	-1.6955092969543801	6	-4.560863779238931	2	-5.221826452302545
7.59981, 48.7561	Hag W 18	III_7_0078	7.59981	48.7561	3	-9.354671686052335	1	-7.808018487961184	0	-6.7652694507715
7.60042, 47.97883	Co t 6	III_13_0126	7.60042	47.97883	13	-4.064206725981036	2	-7.277706552268925	0	-6.7652694507715
7.60198, 48.5795	Stra u 3	III_10_0029	7.60198	48.5795	10	-5.651346214002426	2	-7.277706552268925	0	-6.7652694507715
7.60327, 48.25126	Stra Q 8/1, Stra Q 8/2	III_11_0105	7.60327	48.25126	10	-5.651346214002426	4	-6.217082680884408	0	-6.7652694507715
7.604, 47.73928	Co P3	III_15_0049	7.604	47.73928	30	4.929583706140174	18	1.20728441880721	15	1.186301546260933
7.60713, 48.28366	Stra Q 4	III_11_0101	7.60713	48.28366	7	-7.238485702023816	6	-5.156458809499892	5	-4.114745785094022
7.60723, 48.66319	Stra n 5	III_9_0029	7.60723	48.66319	3	-9.354671686052335	0	-8.338330423653442	0	-6.7652694507715
7.60738, 48.63994	Stra n 7	III_9_0034	7.60738	48.63994	24	1.755304730097394	18	1.2072844188072103	15	1.1863015462609332
7.60781, 48.69592	Stra f 11	III_8_0066	7.60781	48.69592	17	-1.16646280094725	3	-6.151799586315707	0	-6.282035918573536
7.60783, 48.50535	Stra u 14	III_10_0035	7.60783	48.50535	28	3.8714907141259136	8	-4.095834938115374	4	-4.644850518229518
7.6082, 48.94109	Hag H 1	III_5_0062	7.6082	48.94109	13	-4.064206725981036	3	-6.747394616576667	0	-6.7652694507715
7.60881, 48.84422	Hag P 14, Hag P 19	III_6_0066	7.60881	48.84422	16	-2.477067237959646	0	-8.338330423653442	0	-6.7652694507715
7.60965, 48.11815	Co e 14	na	7.60965	48.11815	0	0.0	0	0.0	0	0.0
7.60966, 48.84793	Hag X 5	na	7.60966	48.84793	0	0.0	0	0.0	0	0.0
7.6099, 48.42013	Stra B 8	III_10_0104	7.6099	48.42013	10	-4.86978827299716	6	-4.560863779238931	0	-6.282035918573536
7.6103, 47.71116	Co P6	III_15_0057	7.6103	47.71116	17	-1.948020741952516	10	-3.0352110667308576	15	1.1863015462609328
7.61297, 48.31375	Stra Q 2	III_11_0099	7.61297	48.31375	18	-1.4189742459453862	14	-0.9139633239618234	8	-2.524431585687536
