	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_maurer_align	item_DWA	item_DWA_align	Levenshtein_item
624	KST r2	III_20_0003, III_20_0004	Hochstetten, Hochstetten	8.41566, 49.13702	grumbier	g r u m b ie r	grumbire	g r u m b i r e	2
625	KST r2	III_20_0003, III_20_0004	Hochstetten, Hochstetten	8.41566, 49.13702	grumbier	g r u m b ie r	grumbiere	g r u m b ie r e	1
626	KST k2	III_19_0007, III_19_0004, III_19_0005	Philippsburg, Philippsburg	8.45298, 49.235	grumbier	g r u m b ie r	grummbiere  	g r u mm b ie r e  	4
627	KST N7	III_23_0004, III_23_0003	Etzenrot, Etzenrot	8.46465, 48.90968	grumbier	g r u m b ie r	grumbire	g r u m b i r e	2
628	KST N7	III_23_0004, III_23_0003	Etzenrot, Etzenrot	8.46465, 48.90968	grumbier	g r u m b ie r	grumbiere	g r u m b ie r e	1
629	Ma h1/2	II_59_0053, II_59_0054, II_59_0040, II_59_0048, II_59_0050, II_59_0049, II_59_0052, II_59_0047, II_59_0051, II_59_0056, II_59_0060, II_59_0042, II_59_0039	Mannheim, Mannheim	8.46678, 49.4865	grumbeere	g r u m b ee r e	grumbire	g r u m b i r e	2
630	Ma h1/2	II_59_0053, II_59_0054, II_59_0040, II_59_0048, II_59_0050, II_59_0049, II_59_0052, II_59_0047, II_59_0051, II_59_0056, II_59_0060, II_59_0042, II_59_0039	Mannheim, Mannheim	8.46678, 49.4865	grumbeere	g r u m b ee r e	grumbiere	g r u m b ie r e	1
631	Ma h1/2	II_59_0053, II_59_0054, II_59_0040, II_59_0048, II_59_0050, II_59_0049, II_59_0052, II_59_0047, II_59_0051, II_59_0056, II_59_0060, II_59_0042, II_59_0039	Mannheim, Mannheim	8.46678, 49.4865	grumbeere	g r u m b ee r e	grummbeer	g r u mm b e e r	2
632	Ma h1/2	II_59_0053, II_59_0054, II_59_0040, II_59_0048, II_59_0050, II_59_0049, II_59_0052, II_59_0047, II_59_0051, II_59_0056, II_59_0060, II_59_0042, II_59_0039	Mannheim, Mannheim	8.46678, 49.4865	grumbeere	g r u m b ee r e	grumbäre	g r u m b ä r e	2
633	Ma h1/2	II_59_0053, II_59_0054, II_59_0040, II_59_0048, II_59_0050, II_59_0049, II_59_0052, II_59_0047, II_59_0051, II_59_0056, II_59_0060, II_59_0042, II_59_0039	Mannheim, Mannheim	8.46678, 49.4865	grumbeere	g r u m b ee r e	grundbirne	g r u n d b i r n e	5
634	Ma h1/2	II_59_0053, II_59_0054, II_59_0040, II_59_0048, II_59_0050, II_59_0049, II_59_0052, II_59_0047, II_59_0051, II_59_0056, II_59_0060, II_59_0042, II_59_0039	Mannheim, Mannheim	8.46678, 49.4865	grumbeere	g r u m b ee r e	grumbiern	g r u m b ie r n	2
635	Ma h1/2	II_59_0053, II_59_0054, II_59_0040, II_59_0048, II_59_0050, II_59_0049, II_59_0052, II_59_0047, II_59_0051, II_59_0056, II_59_0060, II_59_0042, II_59_0039	Mannheim, Mannheim	8.46678, 49.4865	grumbeere	g r u m b ee r e	grumbier	g r u m b ie r	2
636	Ma h1/2	II_59_0053, II_59_0054, II_59_0040, II_59_0048, II_59_0050, II_59_0049, II_59_0052, II_59_0047, II_59_0051, II_59_0056, II_59_0060, II_59_0042, II_59_0039	Mannheim, Mannheim	8.46678, 49.4865	grumbeere	g r u m b ee r e	grumbeer	g r u m b ee r	1
637	Ma h1/2	II_59_0053, II_59_0054, II_59_0040, II_59_0048, II_59_0050, II_59_0049, II_59_0052, II_59_0047, II_59_0051, II_59_0056, II_59_0060, II_59_0042, II_59_0039	Mannheim, Mannheim	8.46678, 49.4865	grumbeere	g r u m b ee r e	krummbiere	k r u mm b ie r e	3
638	KST c2	III_18_0014, III_18_0013, III_18_0011, III_18_0012	Oberhausen, Oberhausen	8.48324, 49.26035	grumbire	g r u m b i r e	grumbiera	g r u m b ie r a	2
639	KST c2	III_18_0014, III_18_0013, III_18_0011, III_18_0012	Oberhausen, Oberhausen	8.48324, 49.26035	grumbire	g r u m b i r e	grummbiara	g r u mm b i a r a	3
640	KST c2	III_18_0014, III_18_0013, III_18_0011, III_18_0012	Oberhausen, Oberhausen	8.48324, 49.26035	grumbire	g r u m b i r e	grumbira	g r u m b i r a	1
641	KST l9	III_19_0011, III_19_0012, III_19_0009, III_19_0010	Neudorf, Neudorf	8.49692, 49.17524	grumbiere	g r u m b ie r e	krumbiire	k r u m b ii r e	2
642	KST l9	III_19_0011, III_19_0012, III_19_0009, III_19_0010	Neudorf, Neudorf	8.49692, 49.17524	grumbiere	g r u m b ie r e	grumbir	g r u m b i r	2
643	KST O8	III_23_0008, III_23_0009, III_23_0010	Langenalb, Langenalb	8.50104, 48.84402	grumbier	g r u m b ie r	krumbierer	k r u m b ie r e r	3
644	KST O8	III_23_0008, III_23_0009, III_23_0010	Langenalb, Langenalb	8.50104, 48.84402	grumbier	g r u m b ie r	grombira	g r o m b i r a	3
