	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_maurer_align	item_DWA	item_DWA_align	Levenshtein_item
416	Co R7	III_15_0075	Häg-Rohrberg, Rohrberg	7.90412, 47.7181	hördöpfel	h ö r d ö p f e l	härdöpfel	h ä r d ö p f e l	1
417	Co Y 14	III_16_0117	Wehr, Wehr	7.9045, 47.62927	härdöpfl	h ä r d ö p f l	härdöpfel	h ä r d ö p f e l	1
418	Co R2	III_15_0070	Ehrsberg, Ehrsberg	7.90629, 47.74318	herdäpfel	h e r d ä p f e l	hardöpfel	h a r d ö p f e l	2
419	co g 7	III_12_0137	Sexau, Sexau	7.90788, 48.10424	herdepfl	h e r d e p f l	herdäpfel	h e r d ä p f e l	2
420	Stra D 15	III_10_0119	Hofweier, Hofweier	7.90797, 48.42392	erdäpfel	e r d ä p f e l	ardäpfel	a r d ä p f e l	1
421	Co o 11	III_13_0066	Buchholz i.Br., Buchholz	7.91201, 48.08253	herdapfl	h e r d a p f l	herdapfel	h e r d a p f e l	1
422	Co Ya 1	III_17_0047	Wallbach, Wallbach	7.91336, 47.56871	herdöpfel	h e r d ö p f e l	härdöpfel	h ä r d ö p f e l	1
423	Co Y 11	III_16_0118	Öfflingen (Öflingen), Öflingen	7.91396, 47.59228	herdöpfel	h e r d ö p f e l	härdöpfel	h ä r d ö p f e l	1
424	Co R3	III_15_0071	Häg (bei Mambach), Häg	7.91432, 47.73207	härdöpfl	h ä r d ö p f l	herdepfel	h e r d e p f e l	3
425	Co g 15	III_12_0129	Keppenbach, Frei Keppenbach	7.92037, 48.14437	härdepfl	h ä r d e p f l	herdäpfel	h e r d ä p f e l	3
426	Co K9	III_14_0162	Tunau, Tunau	7.92311, 47.78574	härdepfel	h ä r d e p f e l	herdöpfel	h e r d ö p f e l	2
427	Co o 10	III_13_0067	Suggental, Suggental	7.92471, 48.07551	herdäpfel	h e r d ä p f e l	herdöpfel	h e r d ö p f e l	1
428	Stra D 4	III_10_0129	Bühl, Bühl	7.93242, 48.4947	ärdepfel	ä r d e p f e l	erdepfel	e r d e p f e l	1
429	Co R11	III_15_0083	Gersbach, Gersbach	7.93271, 47.69725	herdöpfel	h e r d ö p f e l	härdöpfel	h ä r d ö p f e l	1
430	Stra L 3	III_11_0063	Diersburg, Diersburg	7.93733, 48.40041	erdepfl	e r d e p f l	ardepfel	a r d e p f e l	2
431	Co K2	III_14_0166	Schlechtnau, Schlechtnau	7.93888, 47.8175	herdöpfel	h e r d ö p f e l	härdebfel	h ä r d e b f e l	3
432	Co K3	III_14_0165	Geschwend, Geschwend	7.93964, 47.80434	herdäpfel	h e r d ä p f e l	härdöpfel	h ä r d ö p f e l	2
433	Co v 3	III_13_0069	Wittental, Wittental	7.94267, 48.00437	herdepfel	h e r d e p f e l	härtöpfel	h ä r t ö p f e l	3
434	Stra D 8	III_10_0128, III_10_0127	Offenburg, Offenburg	7.9447, 48.47195	erdepfl	e r d e p f l	erdäpfel	e r d ä p f e l	2
435	Co v 8	III_13_0150	Oberried, Oberried	7.94506, 47.93146	härdepfl	h ä r d e p f l	herdepfel	h e r d e p f e l	2
436	Stra D 14	III_10_0120	Zunsweier, Zunsweier	7.94627, 48.42199	erdepfel	e r d e p f e l	erdäpfel	e r d ä p f e l	1
437	Co K1	III_14_0167	Todtnau, Todtnau	7.94634, 47.82887	herdöpfel	h e r d ö p f e l	härdepfel	h ä r d e p f e l	2
438	Stra D 5	III_10_0060	Bohlsbach, Bohlsbach	7.94796, 48.49264	erdäpfel	e r d ä p f e l	erdepfel	e r d e p f e l	1
439	Co Y 7	III_16_0119	Hütten, Hütten	7.94873, 47.62902	herdöpfel	h e r d ö p f e l	hördöpfl	h ö r d ö p f l	2
440	Co C6	III_14_0069	Sankt Wilhelm, St. Wilhelm	7.94887, 47.89511	herdepfel	h e r d e p f e l	härdepfäl	h ä r d e p f ä l	2
441	Co R4	III_15_0072	Happach, Happach	7.95137, 47.7412	härdöpfel	h ä r d ö p f e l	herdöpfel	h e r d ö p f e l	1
442	Stra w 7	III_10_0061	Windschläg, Windschläg	7.95693, 48.5148	ärd͜äpfel	ä r d ͜ ä p f e l	ährdepfel	ä h r d e p f e l	3
443	Co Y 9	III_16_0120	Bergalingen, Bergalingen	7.95943, 47.61266	härdöpfel	h ä r d ö p f e l	herdöpfel	h e r d ö p f e l	1
444	Co g 2	III_12_0138	Waldkirch, Waldkirch	7.96049, 48.09361	herdepfl	h e r d e p f l	härdepfel	h ä r d e p f e l	2
445	Co v 4	III_13_0151	Stegen, Stegen	7.96093, 47.98418	härdepfel	h ä r d e p f e l	herdepfel	h e r d e p f e l	1
446	Co Ya 2	III_17_0051, III_17_0048, III_17_0053, III_17_0052, III_17_0049, III_17_0054, III_17_0055, III_17_0050	Obersäckingen, Säckingen	7.96171, 47.57476	härdöpfel	h ä r d ö p f e l	herdöpfel	h e r d ö p f e l	1
447	Stra Z 3	III_12_0050	Schweighausen, Schweighausen	7.96799, 48.22021	herdepfl	h e r d e p f l	herdäpfel	h e r d ä p f e l	2
448	Stra w 4	III_10_0054, III_10_0053	Urloffen, Urloffen	7.96889, 48.557	ardapfl	a r d a p f l	erdäpfel	e r d ä p f e l	3
449	Stra D 11	III_10_0123	Ortenberg, Ortenberg	7.97048, 48.45192	ardepfel	a r d e p f e l	erdepfel	e r d e p f e l	1
450	Co g 11	III_12_0140	Kollnau, Kollnau	7.9721, 48.10586	härdepfel	h ä r d e p f e l	herdäpfel	h e r d ä p f e l	2
451	Co Y 10	III_16_0125	Willaringen, Willaringen	7.97281, 47.60577	härdöpfel	h ä r d ö p f e l	herdöpfel	h e r d ö p f e l	1
452	Co Y 6	III_16_0123	Altenschwand, Altenschwand	7.976, 47.63697	hǟrdöpfl	h ǟ r d ö p f l	härdöpfel	h ä r d ö p f e l	2
453	Co g 6	III_12_0128	Siegelau, Siegelau	7.97753, 48.14612	härdepfel	h ä r d e p f e l	herdäͤpfel	h e r d ä ͤ p f e l	3
454	Stra D 10	III_10_0124	Fessenbach, Fessenbach	7.97963, 48.46469	ärdepfel	ä r d e p f e l	erdäpfel	e r d ä p f e l	2
455	Stra w 5	III_10_0063	Appenweier, Appenweier	7.98009, 48.53996	erdäpfl	e r d ä p f l	erdapfel	e r d a p f e l	2
456	Stra D 9	III_10_0125	Zell-Weierbach (Weierbach), Zell-Weierbach	7.98174, 48.47408	härdäpfel	h ä r d ä p f e l	erdapfel	e r d a p f e l	3
457	Stra w 6	III_10_0062	Ebersweier, Ebersweier	7.98301, 48.50723	ǟrdepfel	ǟ r d e p f e l	erdäpfel	e r d ä p f e l	2
458	Stra L 4	III_11_0064	Berghaupten, Berhaupten	7.98716, 48.40675	erdöpfel	e r d ö p f e l	erdepfel	e r d e p f e l	1
459	Co g 16	III_12_0142	Gutach, Gutach	7.98722, 48.11814	herdepfel	h e r d e p f e l	herdepfl	h e r d e p f l	1
460	Co g 5	III_12_0141	Siensbach, Siensbach	7.98804, 48.10755	herdepfl	h e r d e p f l	herdäpfel	h e r d ä p f e l	2
461	Stra Z 6	III_12_0054	Oberspitzenbach, Oberspitzenbach	7.98858, 48.1762	härdäpfel	h ä r d ä p f e l	herdöpfel	h e r d ö p f e l	2
462	TUTT Sa1/2	III_17_0057	Rippolingen und Harpolingen, Rippolingen	7.9892, 47.57843	härdöpfel	h ä r d ö p f e l	herdöpfel	h e r d ö p f e l	1
463	Stra D 13	III_10_0121	Ohlsbach, Ohlsbach	7.99275, 48.43199	erdäpfel	e r d ä p f e l	erdäpfl	e r d ä p f l	1
464	TUTT p5	III_13_0152	Falkensteig, Falkensteig	7.99689, 47.94697	härdepfel	h ä r d e p f e l	härdebfel	h ä r d e b f e l	1
465	TUTT Sa1	III_17_0056	Rippolingen und Harpolingen, Harpolingen	8.00062, 47.57274	härdöpfel	h ä r d ö p f e l	herdöpfel	h e r d ö p f e l	1
466	TUTT S3	III_15_0087	Herrischried, Herrischried	8.00161, 47.66587	hördopfel	h ö r d o p f e l	herdöpfel	h e r d ö p f e l	2
467	TUTT a3	III_12_0151	Bleibach, Bleibach	8.00281, 48.12764	herdöpfel	h e r d ö p f e l	herdäpfel	h e r d ä p f e l	1
468	TÜB p11	III_10_0065	Nesselried, Nesselried	8.00608, 48.52212	ǟrdepfl	ǟ r d e p f l	erdäpfel	e r d ä p f e l	3
469	TUTT p3	III_13_0153	Unteribental, Unteribental	8.00642, 47.97982	herdäpfel	h e r d ä p f e l	erdäpfel	e r d ä p f e l	1
470	TUTT L6	III_15_0091, III_15_0090	Grossherrischwand, Grossherrischwand	8.01017, 47.6797	hördöpfel	h ö r d ö p f e l	herdöpfel	h e r d ö p f e l	1
471	TUTT L5	III_15_0094	Wehrhalden, Wehrhalden	8.01061, 47.70213	hördopfel	h ö r d o p f e l	erdöpfel	e r d ö p f e l	3
472	TÜB h8	III_9_0097	Renchen, Renchen	8.01285, 48.58724	ärdepfel	ä r d e p f e l	erdepfl	e r d e p f l	2
473	Co R14	III_15_0086	Rütte (bei Todtmoos; es gibt auch noch eines bei Herreschrie und eines bei Todtnauberg), Rütte	8.01336, 47.76141	härdopfel	h ä r d o p f e l	erdöpfel	e r d ö p f e l	3
474	TÜB D9	III_11_0065	Gengenbach, Gengenbach	8.01593, 48.40299	ärdepfel	ä r d e p f e l	erdepfel	e r d e p f e l	1
475	TÜB p13	III_10_0069	Zusenhofen, Zusenhofen	8.01675, 48.54725	erdäpfel	e r d ä p f e l	erdepfel	e r d e p f e l	1
476	TÜB w6	III_10_0139	Reichenbach, Reichenbach	8.01986, 48.42981	erdäpfel	e r d ä p f e l	erdepfel	e r d e p f e l	1
477	TUTT a2	III_12_0143	Niederwinden, Niederwinden	8.02152, 48.14244	herdepfel	h e r d e p f e l	erdepfel	e r d e p f e l	1
478	TÜB p15	III_10_0071	Erlach, Erlach	8.02495, 48.56914	erdäpfel	e r d ä p f e l	erdepfel	e r d e p f e l	1
479	TÜB D6	III_11_0072	Biberach, Biberach	8.0278, 48.33891	erdäpfel	e r d ä p f e l	ärdepfel	ä r d e p f e l	2
480	TUTT S20	III_16_0138	Hänner, Hänner	8.03004, 47.59489	hardöpfl	h a r d ö p f l	härdöpfl	h ä r d ö p f l	1
481	TUTT Sa5	III_16_0137	Oberhof, Oberhof	8.0324, 47.58493	hardöpfel	h a r d ö p f e l	herdöpfel	h e r d ö p f e l	1
482	TÜB D10	III_11_0066, III_11_0067	Schwaibach, Schwaibach	8.03268, 48.39239	erdepfel	e r d e p f e l	erdäpfel	e r d ä p f e l	1
483	Stra S 5	III_11_0126	Schönberg, Schönberg	8.0327, 48.36461	ärdepfel	ä r d e p f e l	ärdäpfel	ä r d ä p f e l	1
484	TÜB S3	III_12_0059	Katzenmoos, Katzenmoos	8.03332, 48.167	härdepfel	h ä r d e p f e l	herdäpfel	h e r d ä p f e l	2
485	TÜB p14	III_10_0070	Stadelhofen, Stadelhofen	8.03555, 48.55945	ärdepfel	ä r d e p f e l	erdepfel	e r d e p f e l	1
486	TUTT Sa4	III_17_0059	Niederhof, Niederhof	8.03951, 47.56938	hērdöpfel	h ē r d ö p f e l	herdöpfel	h e r d ö p f e l	1
487	TUTT S6	III_16_0129, III_16_0130	Oberwihl, Oberwihl	8.04597, 47.62098	hardöpfel	h a r d ö p f e l	herdöpfl	h e r d ö p f l	2
488	TUTT L/S7, TUTT S1	III_15_0093, III_15_0095	Strittmatt, Strittmatt und Engelschwand, Strittmatt, Engelschwand	8.04718, 47.66382	herdöpfel	h e r d ö p f e l	herdepfel	h e r d e p f e l	1
489	TUTT a4	III_12_0148, III_12_0147, III_12_0149	Simonswald, Untersimonswald	8.04838, 48.10278	hǟrdepfel	h ǟ r d e p f e l	herdepfel	h e r d e p f e l	1
490	TÜB p1	III_10_0072	Ulm Kr. Offenburg, Ulm	8.05069, 48.57993	erdapfel	e r d a p f e l	erdäpfel	e r d ä p f e l	1
491	TÜB p2	III_10_0073	Haslach, Haslach	8.05661, 48.56552	erdäpfel	e r d ä p f e l	ärdëpfl	ä r d ë p f l	3
492	TÜB L5	III_11_0135	Steinach, Steinach	8.05831, 48.30508	erdepfel	e r d e p f e l	erdäpfel	e r d ä p f e l	1
493	TÜB L2	III_11_0133	Unterentersbach, Unterentersbach	8.05965, 48.32962	erdäpfel	e r d ä p f e l	erdepfel	e r d e p f e l	1
494	TUTT Sa6	III_17_0062	Binzgen, Binzgen	8.06143, 47.57622	härdöpfel	h ä r d ö p f e l	häerdöpfel	h ä e r d ö p f e l	1
495	TUTT S19	III_16_0139	Rotzel, Rotzel	8.06151, 47.59473	herdöpfel	h e r d ö p f e l	herdäpfel	h e r d ä p f e l	1
496	TÜB w7	III_10_0136	Hesselbach, Hesselbach	8.06498, 48.49863	erdäpfel	e r d ä p f e l	erdepfel	e r d e p f e l	1
497	TUTT D1	III_14_0170	Menzenschwand, Merzenschwand	8.07059, 47.81749	härdöpfel	h ä r d ö p f e l	herdöpfel	h e r d ö p f e l	1
498	TUTT S8	III_16_0132	Rüsswihl, Rüßwihl	8.07093, 47.63063	herdöpfel	h e r d ö p f e l	härdöpfel	h ä r d ö p f e l	1
499	TUTT S7	III_16_0131	Niederwihl, Niederwihl	8.07095, 47.61851	hardöpfel	h a r d ö p f e l	herdöpfel	h e r d ö p f e l	1
500	TÜB S4	III_12_0055, III_12_0056, III_12_0057	Elzach, Elzach	8.07142, 48.17331	ärdepfel	ä r d e p f e l	herdepfel	h e r d e p f e l	2
501	TÜB L6	III_11_0136	Bollenbach, Bollenbach	8.07369, 48.29315	ärdepfel	ä r d e p f e l	erdepfel	e r d e p f e l	1
502	TUTT p6	III_13_0156	Breitnau, Breitnau	8.07603, 47.94014	herdepfel	h e r d e p f e l	erdäpfel	e r d ä p f e l	2
503	TUTT S10	III_15_0096	Rotzingen, Rotzingen	8.0762, 47.66588	herdöpfel	h e r d ö p f e l	erdöpfel	e r d ö p f e l	1
504	TUTT S9	III_16_0134	Görwihl, Görwihl	8.07817, 47.64186	herdōpfel	h e r d ō p f e l	herdöpfel	h e r d ö p f e l	1
505	TÜB p9	III_10_0075	Oberkirch, Oberkirch	8.07823, 48.5312	erdepfel	e r d e p f e l	erdäpfel	e r d ä p f e l	1
506	TÜB D1/1, TÜB D1/2	III_11_0069, III_11_0068	Nordrach, Nordrach	8.08082, 48.39898	erdäpfel	e r d ä p f e l	erdepfel	e r d e p f e l	1
507	TÜB L7	III_11_0138, III_11_0140, III_11_0139	Haslach im Kinzigtal, Haslach i. K.	8.08413, 48.28008	ärdepfel	ä r d e p f e l	erdäpfel	e r d ä p f e l	2
508	TÜB w2	III_10_0066, III_10_0067	Ödsbach, Oedsbach	8.08784, 48.49713	ä̆rdepfl	ä ̆ r d e p f l	erdépfl	e r d é p f l	3
509	TÜB p4	III_10_0074	Ringelbach, Ringelbach	8.08834, 48.55764	ardep͜fel	a r d e p ͜ f e l	erdöpfel	e r d ö p f e l	3
510	TUTT Sa7	III_17_0061	Laufenburg (Baden), Laufenburg	8.0908, 47.58055	herdäpfel	h e r d ä p f e l	herdöpfel	h e r d ö p f e l	1
511	TÜB L3	III_11_0134	Oberentersbach, Oberentersbach	8.09119, 48.32718	ärdäpfel	ä r d ä p f e l	ärdepfl	ä r d e p f l	2
512	TUTT L/8,9	III_15_0098, III_15_0099	Hierbach - Wilfingen, Hierbach, Wilfingen	8.09123, 47.686	herdöpfel	h e r d ö p f e l	härdöpfel	h ä r d ö p f e l	1
513	TUTT h3, TUTT p1	III_13_0081, III_13_0080, III_13_0078, III_13_0079	St. Märgen-Schweighöfe, St. Märgen, St. Märgen	8.09239, 48.00756	herdepfel	h e r d e p f e l	erdäpfel	e r d ä p f e l	2
