	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_DWA	Levenshtein_item	phontype_maurer	phontype_DWA	Levenshtein_phontype	lextype_maurer	lextype_DWA	Levenshtein_lextype
0	na	III_19_0030	Michelfeld	8.7808, 49.22723	na	mucke	999	na	muke	999	na	Mücke	999
1	na	II_58_0111	Steinbach	9.24327, 49.54854	na	mugg	999	na	muk	999	na	Mücke	999
