	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_maurer_align	item_DWA	item_DWA_align	Levenshtein_item
60	Co x 8	III_14_0015	Rimbach bei Gebweiler (Rimbach-près-Guebwiller), Rimbach	7.15658, 47.90483	hewåmm	h e w å mm	hewamm	h e w a mm	1
61	Hag M 6	III_6_0009	Güngweiler (Gungwiller), Gu[e]ngweiler	7.15771, 48.88171	hewamm	h e w a mm	hewang	h e w a n g	2
62	Co q 3	III_13_0011	Wasserburg Kreis Colmar (Wasserbourg), Wasserburg	7.15948, 48.00283	hebamm	h e b a mm	hebamme	h e b a mm e	1
63	Hag M 9	III_6_0010	Weyer, Weyer	7.15976, 48.85488	hewång	h e w å n g	hewang	h e w a n g	1
64	Co M5	III_15_0013	Niederburnhaupt (Burnhaupt-Le-Bas), Niederburnhaupt	7.16039, 47.71674	hewamm	h e w a mm	hewamma	h e w a mm a	1
65	Co q 6	III_13_0101	Murbach, Murbach	7.1604, 47.92318	hebām	h e b ā m	hebamme	h e b a mm e	3
66	Co T15	III_16_0010	Ballersdorf, Ballersdorf	7.1624, 47.625	hebåmma	h e b å mm a	häbaamma	h ä b aa m m a	3
67	Co N12	III_15_0028	Balschweiler bei Altkirch, Balschweiler	7.1681, 47.66772	hebamm	h e b a mm	hebamma	h e b a mm a	1
68	Hag F 6	III_5_0041	Mackweiler (Mackwiller), Mackweiler	7.17502, 48.9258	hewång	h e w å n g	hewang	h e w a n g	1
69	Co Ua 14	III_17_0014	Niedersept (Seppois-le-Bas), Niedersept	7.17622, 47.53614	hebåmme	h e b å mm e	hebamme	h e b a mm e	1
70	Hag N 17	III_6_0017	Berg, Rexingen, Rexingen	7.17654, 48.90012	hewang	h e w a n g	hebamme	h e b a mm e	4
71	Co r 6	III_13_0107	Schweighausen Kreis Gebweiler (Schweighouse bei Lautenbach), Schweighausen	7.17716, 47.93851	hewåmm	h e w å mm	hewămm	h e w ă mm	1
72	Co F5	III_14_0016	Wattweiler (Wattwiller), Wattweiler	7.17766, 47.83549	hewåmm	h e w å mm	hebåmm	h e b å mm	1
73	Co F1	III_14_0101	Uffholz, Uffholz	7.17804, 47.81981	hebåmme	h e b å mm e	hebamm	h e b a mm	2
74	Hag N 11	III_6_0025	Bettweiler (Bettwiller), Bettweiler	7.17993, 48.88617	hewång	h e w å n g	hewåmm	h e w å mm	2
75	Co y 1/2, Co y 1/1	III_14_0017	Rimbach-Zell (Rimbachzell), Rimbach-Zell	7.17995, 47.8995	hewåmm	h e w å mm	hehwom	h e h w o m	3
76	Co r 9	III_13_0103	Bühl Landkreis Gebweiler (Buhl), Bühl	7.18638, 47.92816	hewamm	h e w a mm	hewåmm	h e w å mm	1
77	Hag F 5	III_5_0040	Diemeringen, Diemeringen	7.18685, 48.94061	hewang	h e w a n g	hewamm	h e w a mm	2
78	Co Ua 5	III_17_0030	Largitzen, Largitzen	7.1873, 47.56163	hebam	h e b a m	hebamm	h e b a mm	1
79	Hag F 1	III_5_0037	Dehlingen, Dehlingen	7.19095, 48.98016	hewamm	h e w a mm	hewam	h e w a m	1
80	Co N13	III_15_0029	Enschingen (Saint-Bernard), Enschingen	7.20293, 47.67101	hewamma	h e w a mm a	hebamme	h e b a mm e	2
81	Co k 11	III_13_0027	Sulzbach (Soultzbach-Les-Bains), Sulzbach	7.20324, 48.03797	hewam	h e w a m	hewamm	h e w a mm	1
82	Hag N 9	III_6_0018	Adamsweiler (Adamswiller), Adamsweiler	7.20348, 48.90463	hewåmm	h e w å mm	hebamm	h e b a mm	2
83	Co k 9	III_13_0014	Weier (Wihr-Au-Val), Weier im Tal	7.20558, 48.05217	häwåmm	h ä w å mm	hewåmm	h e w å mm	1
84	Hag N 16	III_6_0028	Sieweiler (Siewiller), Sieweiler	7.20676, 48.84318	hebamm	h e b a mm	hebwang	h e b w a n g	3
85	Co y 13, Co y 13, 14, Co y 5, Co y 14	III_14_0027	Gebweiler (Guebwiller), Gebweiler (Guebwiller) , Gebweiler	7.21078, 47.9095	hebåmm	h e b å mm	hewâmm	h e w â mm	2
86	Co U 6	III_16_0028	Karspach (Carspach), Karspach	7.21307, 47.61448	hebåmma	h e b å mm a	hebomme	h e b o mm e	2
87	Hag F 7	III_5_0050	Waldhambach, Waldhambach	7.21529, 48.92578	häwomm	h ä w o mm	hewamm	h e w a mm	2
88	Co y 6	III_14_0021	Berrweiler (Berrwiller), Berrweiler	7.21533, 47.8484	hewamm	h e w a mm	hewam	h e w a m	1
89	Co Ua 12	III_17_0012	Mooslargue, Moos	7.21833, 47.50939	hebămm	h e b ă mm	hebamm	h e b a mm	1
90	Co r 2	III_13_0104	Osenbach, Osenbach	7.21903, 47.98623	hewamm	h e w a mm	hiwamm	h i w a mm	1
91	Hag N 12	III_6_0023	Aßweiler (Asswiller), Assweiler	7.2198, 48.88035	hewamm	h e w a mm	hewam	h e w a m	1
92	Co Ua 6	III_17_0013	Bisel, Bisel	7.22032, 47.53456	hebamm	h e b a mm	hebam	h e b a m	1
93	Hag F 2	III_5_0042	Bütten (Butten), Bütten	7.2205, 48.97095	hewamm	h e w a mm	hewang	h e w a n g	2
94	Co k 8	III_13_0013	Walbach, Walbach	7.22416, 48.06257	hewāmm	h e w ā mm	hebamme	h e b a mm e	3
95	Co N11	III_15_0017	Galfingen (Galfingue), Galfingen	7.22481, 47.70563	hewåmm	h e w å mm	hewamme	h e w a mm e	2
96	Co y 3	III_14_0022	Sulz (Soultz-Haut-Rhin), Sulz	7.22862, 47.88613	hēwāmm	h ē w ā mm	hawam	h a w a m	3
97	Co r 7/2	III_13_0106	Orschweier (Orschwihr), Orschweier	7.23248, 47.9323	hewamm	h e w a mm	hevamm	h e v a mm	1
98	Co U 5	III_16_0027	Aspach, Aspach	7.23354, 47.6401	hebāmma	h e b ā mm a	hebamma	h e b a mm a	1
99	Co r 8/2, Co r 8/1	III_13_0108	Sulzmatt (Soultzmatt), Sulzmatt	7.23437, 47.96595	hewåmm	h e w å mm	hewamm	h e w a mm	1
