	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_maurer_align	item_DWA	item_DWA_align	Levenshtein_item
364	Co K8	III_14_0159, III_14_0157, III_14_0158, III_14_0156	Schönau, Schönau	7.89443, 47.78637	diechsle	d ie ch s l e	diĕchsle	d i ĕ ch s l e	1
365	Co K5	III_14_0160	Aitern, Aitern	7.89522, 47.80317	diächsle	d i ä ch s l e	diechsle	d ie ch s l e	1
366	Stra p 5	III_9_0082	Linx, Linx	7.89706, 48.62687	dischdl	d i sch d l	dissel	d i ss e l	3
367	Co C7	III_14_0068	Hofsgrund, Hofsgrund	7.89778, 47.90096	diesle	d ie s l e	disle	d i s l e	1
368	Co Y 3	III_16_0115	Hasel, Hasel	7.89786, 47.65393	diächsle	d i ä ch s l e	diechsle	d ie ch s l e	1
369	Hag K 2	III_5_0087	Bremmelbach, Bremmelbach	7.90023, 48.986	däisel	d ä i s e l	deisel	d ei s e l	1
370	Co R7	III_15_0075	Häg-Rohrberg, Rohrberg	7.90412, 47.7181	dieksle	d ie k s l e	diechsle	d ie ch s l e	2
371	Co Y 14	III_16_0117	Wehr, Wehr	7.9045, 47.62927	diēgsle	d i ē g s l e	diechsle	d ie ch s l e	3
372	Hag Y 7	III_7_0102	Rohrwiller, Rohrweiler	7.90543, 48.75592	dischschel	d i sch sch e l	dischl	d i sch l	4
373	Co R2	III_15_0070	Ehrsberg, Ehrsberg	7.90629, 47.74318	diechsle	d ie ch s l e	dieschle	d ie sch l e	2
374	Stra L 13	III_11_0061	Kuhbach, Kuhbach	7.90787, 48.33884	dissel	d i ss e l	diessl	d ie ss l	2
375	Co v 10	III_13_0149	Kappel, Kappel	7.90831, 47.96423	dīesle	d ī e s l e	diesle	d ie s l e	1
376	Hag C 1	III_4_0100	Weißenburg-Weiler, Weissenburg-Weiler	7.91271, 49.0377	deiksl	d ei k s l	daisel	d a i s e l	3
377	Co K4	III_14_0161	Utzenfeld, Utzenfeld	7.91301, 47.80054	diachsle	d i a ch s l e	diechsle	d ie ch s l e	1
378	Hag C 4	III_4_0091	Rott, Rott	7.91304, 49.02495	deisel	d ei s e l	deissel	d ei ss e l	1
379	Co Ya 1	III_17_0047	Wallbach, Wallbach	7.91336, 47.56871	diächsel	d i ä ch s e l	dichsel	d i ch s e l	1
380	Co Y 11	III_16_0118	Öfflingen (Öflingen), Öflingen	7.91396, 47.59228	diechsle	d ie ch s l e	diegsle	d ie g s l e	2
381	Co R3	III_15_0071	Häg (bei Mambach), Häg	7.91432, 47.73207	diechslä	d ie ch s l ä	díechse	d í e ch s e	3
382	Hag Y 2	III_7_0106	Schirrhofen, Schirrhofen	7.9193, 48.8066	dissel	d i ss e l	dissell	d i ss e l l	1
383	Stra p 6	III_9_0083	Holzhausen, Holzhausen	7.92018, 48.62595	dischel	d i sch e l	dischtl	d i sch t l	1
384	Co g 15	III_12_0129	Keppenbach, Frei Keppenbach	7.92037, 48.14437	dissle	d i ss l e	dißle	d i ß l e	2
385	Co K9	III_14_0162	Tunau, Tunau	7.92311, 47.78574	diächsle	d i ä ch s l e	diegsle	d ie g s l e	3
386	Co g 13	III_12_0126, III_12_0127	Freiamt-Reichenbach, Freiamt-Reichenbach	7.92477, 48.15747	düßle	d ü ß l e	dissle	d i ss l e	3
387	Stra p 1	III_9_0085	Rheinbischofsheim, Rheinbischofsheim	7.92904, 48.65493	dichtel	d i ch t e l	dischdel	d i sch d e l	2
388	Hag C 6	III_4_0092	Steinselz (Steinseltz), Steinselz	7.93035, 49.0109	deisel	d ei s e l	daasel	d aa s e l	2
389	Co R11	III_15_0083	Gersbach, Gersbach	7.93271, 47.69725	diechsle	d ie ch s l e	dichsle	d i ch s l e	1
390	Stra L 3	III_11_0063	Diersburg, Diersburg	7.93733, 48.40041	dissl	d i ss l	dissel	d i ss e l	1
391	Co K2	III_14_0166	Schlechtnau, Schlechtnau	7.93888, 47.8175	dīagsle	d ī a g s l e	diegsle	d ie g s l e	2
392	Co K3	III_14_0165	Geschwend, Geschwend	7.93964, 47.80434	diēchsel	d i ē ch s e l	diechsle	d ie ch s l e	3
393	Hag K 10	III_5_0109	Hofen (Hoffen), Hofen	7.9412, 48.92766	deissel	d ei ss e l	daisel	d a i s e l	2
394	Co C4	III_14_0071	Todtnauberg, Todtnauberg	7.94335, 47.85074	dieḙsle	d ie ḙ s l e	díe̤chsle	d í e ̤ ch s l e	4
395	Stra D 8	III_10_0128, III_10_0127	Offenburg, Offenburg	7.9447, 48.47195	disel	d i s e l	dissel	d i ss e l	1
396	Co v 8	III_13_0150	Oberried, Oberried	7.94506, 47.93146	diesla	d ie s l a	diesle	d ie s l e	1
397	Hag K 9	III_5_0103	Leitersweiler (Leiterswiller), Leitersweiler	7.94768, 48.92407	dēisel	d ē i s e l	deisel	d ei s e l	1
