	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	Longitude	Latitude	item_maurer	item_DWA	Levenshtein_item	z_score_item	phontype_maurer	phontype_DWA	Levenshtein_phontype	z_score_phontype	lextype_maurer	lextype_DWA	Levenshtein_lextype	z_score_lextype
187	Co N8/2, Co N8/1	III_15_0015	Illfurt (Illfurth), Illfurt	7.26494, 47.67073	7.26494	47.67073	agerschta	agarsta	3	0.8055815470161238	agerschte	agerschte	0	-0.5955950302609602	Agerst	Agerst	0	-0.48323353219796433
188	Co N3	III_15_0016	Niedermorschweiler (Morschwiller-Le-Bas), Niedermorschweiler	7.26699, 47.73596	7.26699	47.73596	hageschde	agi̊rschta	6	2.3927210350375137	hageschte	agerschte	2	0.4650288411235568	Agerst	Agerst	0	-0.48323353219796433
189	Co N10	III_15_0025, III_15_0026	Frönigen, Fröningen	7.26801, 47.69023	7.26801	47.69023	āgerschteͣ	agerschte	2	0.27653505100899384	agerschte	agerschte	0	-0.5955950302609602	Agerst	Agerst	0	-0.48323353219796433
190	Hag U 3	III_6_0033	Schönburg (Schoenbourg), Schönburg	7.26823, 48.83392	7.26823	48.83392	åtzel	ātzel	1	-0.25251144499813616	atsel	atsel	0	-0.5955950302609602	Atzel	Atzel	0	-0.48323353219796433
191	Co Ua 10	III_17_0006	Rüderbach (Ruederbach), Rüderbach	7.26824, 47.56144	7.26824	47.56144	agesta	agesta	0	-0.7815579410052661	ageschte	ageschte	0	-0.5955950302609602	Agerst	Agerst	0	-0.48323353219796433
192	Hag N 7	III_6_0035	Petersbach	7.26874, 48.86912	7.26874	48.86912	ātzel	wë̈ih	0	-0.7815579410052661	atsel	weih	0	-0.5955950302609602	Atzel	Weih	0	-0.48323353219796433
193	Co Ua 13	III_17_0010	Köstlach (Kœstlach), Köstlach	7.27085, 47.5062	7.27085	47.5062	ägerschde	ägerschde	0	-0.7815579410052661	ägerschte	ägerschte	0	-0.5955950302609602	Agerst	Agerst	0	-0.48323353219796433
194	Co y 15	III_14_0026, III_14_0025, III_14_0026	Feldkirch, Feldkirch, Feldkirch	7.27197, 47.86504	7.27197	47.86504	agerscht	agerschta, agerscht, hatzel	999	527.7358915701176	agerscht	hatsel, agerschte, agerscht	999	529.1860287263053	Agerst	Atzel, Agerst	999	529.091394870162
195	Co c 6	III_12_0084	Niedermorschweiher, Niedermorschweiher	7.27596, 48.09972	7.27596	48.09972	åtzel	atzel	1	-0.25251144499813616	atsel	atsel	0	-0.5955950302609602	Atzel	Atzel	0	-0.48323353219796433
196	Co k 5	III_13_0025, III_13_0024	Geberschweiher (Gueberschwihr), Geberschweier	7.27661, 48.00444	7.27661	48.00444	agerscht	agerscht	0	-0.7815579410052661	agerscht	agerscht	0	-0.5955950302609602	Agerst	Agerst	0	-0.48323353219796433
197	Co Ua 2	III_16_0036	Bettendorf, Bettendorf	7.27676, 47.58379	7.27676	47.58379	agerste	agerschda	4	1.3346280430232536	agerschte	agerschte	0	-0.5955950302609602	Agerst	Agerst	0	-0.48323353219796433
198	Co U 8	III_16_0030	Wittersdorf, Wittersdorf	7.27817, 47.62015	7.27817	47.62015	agarschda	agerschta	2	0.27653505100899384	agerschte	agerschte	0	-0.5955950302609602	Agerst	Agerst	0	-0.48323353219796433
199	Co c 4	III_12_0085	Türkheim (Turckheim), Türkheim	7.27884, 48.0862	7.27884	48.0862	agerscht	agerscht	0	-0.7815579410052661	agerscht	agerscht	0	-0.5955950302609602	Agerst	Agerst	0	-0.48323353219796433
