	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	Longitude	Latitude	item_maurer	item_DWA	Levenshtein_item	z_score_item	phontype_maurer	phontype_DWA	Levenshtein_phontype	z_score_phontype	lextype_maurer	lextype_DWA	Levenshtein_lextype	z_score_lextype
2124	SIG n2	na	Andelshofen	9.1896, 47.78026	9.1896	47.78026	flīeg	na	999	527.7358915701176	flieg	na	999	529.1860287263053	Fliege	na	999	529.091394870162
2125	SIG o7	na	Homberg	9.19109, 47.83714	9.19109	47.83714	mugge	na	999	527.7358915701176	muke	na	999	529.1860287263053	Mücke	na	999	529.091394870162
2126	MH U2	II_60_0084	Dallau, Dallau	9.19192, 49.38655	9.19192	49.38655	mugge	muge	1	-0.25251144499813616	muke	muke	0	-0.5955950302609602	Mücke	Mücke	0	-0.48323353219796433
2127	MH D2	II_58_0107	Donebach, Donebach	9.19217, 49.56113	9.19217	49.56113	muck	mucke	1	-0.25251144499813616	muk	muke	1	-0.06528309456870167	Mücke	Mücke	0	-0.48323353219796433
2128	SIG n16	III_36_0075	Nußdorf	9.19513, 47.75277	9.19513	47.75277	stubefliëg	flieg	0	-0.7815579410052661	stubefliäg	flieg	0	-0.5955950302609602	Stubenfliege	Fliege	0	-0.48323353219796433
2129	SIG k1	III_35_0076	Aach-Linz, Aach-Linz	9.20037, 47.91152	9.20037	47.91152	fliaga	fleig	3	0.8055815470161238	fliäge	fleig	3	0.9953407768158152	Fliege	Fliege	0	-0.48323353219796433
2130	SIG d1	III_33_0055	Göggingen, Göggingen	9.20194, 48.00389	9.20194	48.00389	fluig	pfluig	1	-0.25251144499813616	fluig	pfluig	1	-0.06528309456870167	Fliege	Fliege	0	-0.48323353219796433
2131	MH M8	II_59_0113	Muckental, Muckental	9.20231, 49.42474	9.20231	49.42474	mucke	muck	1	-0.25251144499813616	muke	muk	1	-0.06528309456870167	Mücke	Mücke	0	-0.48323353219796433
2132	MH D4	II_58_0109	Mudau-Langenelz, Langenelz	9.20495, 49.51744	9.20495	49.51744	muck, mucke	mucke	0	-0.7815579410052661	muk, muke	muke	0	-0.5955950302609602	Mücke	Mücke	0	-0.48323353219796433
2133	MH D3	II_58_0108	Mudau, Mudau	9.20615, 49.53336	9.20615	49.53336	mugge	mugge	0	-0.7815579410052661	muke	muke	0	-0.5955950302609602	Mücke	Mücke	0	-0.48323353219796433
