	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	Longitude	Latitude	item_maurer	item_DWA	Levenshtein_item	z_score_item	phontype_maurer	phontype_DWA	Levenshtein_phontype	z_score_phontype	lextype_maurer	lextype_DWA	Levenshtein_lextype	z_score_lextype
0	Co D6	III_14_0081	Sewen, Sewen	6.90688, 47.80694	6.90688	47.80694	gōfe	gufe	1	-0.25251144499813616	gofe	gufe	1	-0.06528309456870167	Glufe	Glufe	0	-0.48323353219796433
1	Co D1	III_14_0082	Dollern (Dolleren), Dollern	6.93211, 47.80559	6.93211	47.80559	gūffa	guffa	1	-0.25251144499813616	gufe	gufe	0	-0.5955950302609602	Glufe	Glufe	0	-0.48323353219796433
2	Co D2	III_14_0083	Oberbruck, Oberbruck	6.94324, 47.80838	6.94324	47.80838	gūfa	gufe	2	0.27653505100899384	gufe	gufe	0	-0.5955950302609602	Glufe	Glufe	0	-0.48323353219796433
3	Co D3	III_14_0080	Rimbach-Pès-Masevaux), Rimbach	6.9473, 47.82212	6.9473	47.82212	guf, gof	gufe	1	-0.25251144499813616	guf, gof	gufe	1	-0.06528309456870167	Glufe	Glufe	0	-0.48323353219796433
4	Co w 5	III_14_0001	Urbis, St. Amarintal (Urbès), Urbis	6.95521, 47.88255	6.95521	47.88255	guf	guff	1	-0.25251144499813616	guf	guf	0	-0.5955950302609602	Glufe	Glufe	0	-0.48323353219796433
5	Co D4	III_14_0084	Kirchberg, Kirchberg-Wegscheid	6.95965, 47.79904	6.95965	47.79904	stecknodel	gufa	0	-0.7815579410052661	schteknodel	gufe	0	-0.5955950302609602	Stecknadel	Glufe	0	-0.48323353219796433
6	Co p 2	III_13_0094	Wildenstein bei Krüt, Kreis Tann, Wildenstein	6.96296, 47.98143	6.96296	47.98143	gūfe	stecknodla	0	-0.7815579410052661	gufe	schteknodla	0	-0.5955950302609602	Glufe	Stecknadel	0	-0.48323353219796433
7	Co p 1	III_13_0095	Krüt, Krüt (Kruth)	6.96629, 47.92912	6.96629	47.92912	nodel	sicherheitsguffa	0	-0.7815579410052661	nodel	scherheitsgufe	0	-0.5955950302609602	Nadel	Sicherheitsgufe	0	-0.48323353219796433
8	Co D8	III_14_0085	Niederbruck, Niederbruck	6.97173, 47.78361	6.97173	47.78361	gufa	gufa	0	-0.7815579410052661	gufe	gufe	0	-0.5955950302609602	Glufe	Glufe	0	-0.48323353219796433
9	Co w 4	III_14_0003	Mollau , Mollau	6.97488, 47.87245	6.97488	47.87245	gīfelä	giefele	3	0.8055815470161238	gifele	gifele	0	-0.5955950302609602	Glifle	Glifle	0	-0.48323353219796433
10	Co w 1	III_14_0004	Odern, Oderen	6.97525, 47.91008	6.97525	47.91008	gūfā	gifäla	0	-0.7815579410052661	gufe	gifela	0	-0.5955950302609602	Glufe	Glifle	0	-0.48323353219796433
11	Co D5	na	Sickert, Niederbruck	6.979, 47.78312	6.979	47.78312	gūfa	na	999	527.7358915701176	gufe	na	999	529.1860287263053	Glufe	na	999	529.091394870162
12	Hag D 2	III_5_0022	Altweiler (Altwiller), Altweiler	6.98122, 48.93023	6.98122	48.93023	guww	gülle	0	-0.7815579410052661	guw	gülle	0	-0.5955950302609602	Glufe	Gülle	0	-0.48323353219796433
13	Co w 2	III_14_0005	Fellerlingen (Fellering), Felleringen	6.98613, 47.89621	6.98613	47.89621	guf	heftguf, gefala	0	-0.7815579410052661	guf	heftguf, gefela	0	-0.5955950302609602	Glufe	Heftgufe, Glifle	0	-0.48323353219796433
14	Co w 3	III_14_0006	Hüsseren-Wesserling (Husseren-Wesserling), Hüssern-Wesserling	6.98836, 47.88519	6.98836	47.88519	goff	gofe	1	-0.25251144499813616	gof	gofe	1	-0.06528309456870167	Glufe	Glufe	0	-0.48323353219796433
15	Hag D 1	na	Hinsingen	6.99156, 48.9525	6.99156	48.9525	guw	na	999	527.7358915701176	guw	na	999	529.1860287263053	Glufe	na	999	529.091394870162
16	Co D7	III_14_0086	Masmünster (Masevaux), Maasmünster	6.99386, 47.7727	6.99386	47.7727	gufa	gufa	0	-0.7815579410052661	gufe	gufe	0	-0.5955950302609602	Glufe	Glufe	0	-0.48323353219796433
17	Co x 2	III_14_0007	Mitzach, Mitzach	7.00519, 47.87122	7.00519	47.87122	kūf	guf	2	0.27653505100899384	guf	guf	0	-0.5955950302609602	Glufe	Glufe	0	-0.48323353219796433
18	Co x 1	III_14_0008	Ranspach, Ranspach	7.01113, 47.88081	7.01113	47.88081	gu̠fa	guf	2	0.27653505100899384	gufe	guf	1	-0.06528309456870167	Glufe	Glufe	0	-0.48323353219796433
