	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	Longitude	Latitude	item_maurer	item_DWA	Levenshtein_item	z_score_item	phontype_maurer	phontype_DWA	Levenshtein_phontype	z_score_phontype	lextype_maurer	lextype_DWA	Levenshtein_lextype	z_score_lextype
399	Stra H 12	III_11_0021	Ittersweiler (Itterswiller), Ittersweiler	7.4322, 48.36386	7.4322	48.36386	mulwarfer	mülwalfer	2	0.27653505100899384	mulwarfer	mülwalfer	2	0.4650288411235568	Maulwerfer	Maulwerfer	0	-0.48323353219796433
400	Stra A 6/1, Stra A 6/2	III_10_0091	Ottrott, Ottrott	7.43298, 48.46056	7.43298	48.46056	mulwalfr, mülwalfer	müllwerfer	3	0.8055815470161238	mülwalfer, mulwalfer	mülwerfer	2	0.4650288411235568	Maulwerfer	Maulwerfer	0	-0.48323353219796433
401	Stra W 6	III_12_0015, III_12_0016	Illhäusern (Illhaeusern), Illhäusern, Illhäusern (Illhaeusern)	7.43355, 48.18466	7.43355	48.18466	scharneller, mülwarfer	scharrnialer, scharrneäler	2	0.27653505100899384	mülwarfer, scharneler	scharnieler, scharneäler	1	-0.06528309456870167	Schärnuler, Maulwerfer	Schärnuler	999	529.091394870162
402	Stra e 22	III_8_0032	Waldolwisheim, Waldolwisheim	7.43629, 48.73254	7.43629	48.73254	müelwelfer	mulwerfer	3	0.8055815470161238	müelwelfer	mulwerfer	3	0.9953407768158152	Maulwerfer	Maulwerfer	0	-0.48323353219796433
403	Hag V 4	na	Griesbach Le Bastberg	7.43717, 48.81355	7.43717	48.81355	mülwalfer	na	999	527.7358915701176	mülwalfer	na	999	529.1860287263053	Maulwerfer	na	999	529.091394870162
404	Co d 3	III_12_0100	Bischweier, Bischweier	7.43735, 48.09944	7.43735	48.09944	schangniëler	schalnieler	3	0.8055815470161238	schangnieler	schalnieler	2	0.4650288411235568	Schärnuler	Schärnuler	0	-0.48323353219796433
405	Stra t 1	III_10_0005	Balbronn, Balbronn	7.43736, 48.58406	7.43736	48.58406	müllwalfer	müllwalfer	0	-0.7815579410052661	mülwalfer	mülwalfer	0	-0.5955950302609602	Maulwerfer	Maulwerfer	0	-0.48323353219796433
406	Co d 6	III_12_0095	Wickerschweier, Wickerschweier	7.43868, 48.10708	7.43868	48.10708	scharrnījeller	scharnijaller	3	0.8055815470161238	scharnieler	scharnieler	0	-0.5955950302609602	Schärnuler	Schärnuler	0	-0.48323353219796433
407	Stra e 5	III_8_0036	Furchhausen, Furchhausen	7.43921, 48.71868	7.43921	48.71868	mülwelfer	müllwelfer	1	-0.25251144499813616	mülwelfer	mülwelfer	0	-0.5955950302609602	Maulwerfer	Maulwerfer	0	-0.48323353219796433
408	Co l 10	III_13_0032	Appenweier (Appenwihr), Appenweier	7.43962, 48.02594	7.43962	48.02594	scharrniller	scharrnī̄aller	3	0.8055815470161238	scharniler	scharnieler	1	-0.06528309456870167	Schärnuler	Schärnuler	0	-0.48323353219796433
409	Stra A 3/1, Stra A 3/2	III_10_0089	Börsch (Boersch), Börsch, Börsch (Boersch)	7.43994, 48.47577	7.43994	48.47577	mülwarfel, mülwarfer	müllwarfer	1	-0.25251144499813616	mülwarfel, mülwarfer	mülwarfer	999	529.1860287263053	Maulwerfel, Maulwerfer	Maulwerfer	999	529.091394870162
410	Hag O 6	III_6_0046, III_6_0047	Weinburg (Weinbourg), Weinburg, Weinburg	7.44029, 48.87157	7.44029	48.87157	mulwälfer	mülwurf, müllwelfer	3	0.8055815470161238	mulwelfer	mülwelfer, mülwurf	1	-0.06528309456870167	Maulwerfer	Maulwurf, Maulwerfer	999	529.091394870162
411	Stra t 11	III_10_0021	Rosenweiler, Rosenweiler	7.4409, 48.50587	7.4409	48.50587	müllwårfl	mülwarfel	3	0.8055815470161238	mülwarfel	mülwarfel	0	-0.5955950302609602	Maulwerfel	Maulwerfel	0	-0.48323353219796433
412	Co V 14	III_16_0054	Kappeln, Kappeln (Kappelen)	7.44156, 47.61975	7.44156	47.61975	schar	schärmus	0	-0.7815579410052661	schar	schärmus	0	-0.5955950302609602	Schär	Schärmaus	0	-0.48323353219796433
413	Stra H 3	III_11_0017	Mittelbergheim, Mittelbergheim	7.44252, 48.39603	7.44252	48.39603	mülwalfer	mülwalfer	0	-0.7815579410052661	mülwalfer	mülwalfer	0	-0.5955950302609602	Maulwerfer	Maulwerfer	0	-0.48323353219796433
414	Stra H 4	III_11_0016	Eichhofen (Eichhoffen), Eichhofen	7.44268, 48.38403	7.44268	48.38403	müllwarfer	müllwarfer	0	-0.7815579410052661	mülwarfer	mülwarfer	0	-0.5955950302609602	Maulwerfer	Maulwerfer	0	-0.48323353219796433
415	Co V 4	III_16_0049	Uffheim, Uffheim, Uffheim	7.44285, 47.65062	7.44285	47.65062	schār, schārmüs	scharmǖs	2	0.27653505100899384	scharmüs, schar	scharmüs	999	529.1860287263053	Schär, Schärmaus	Schärmaus	999	529.091394870162
416	Stra m 19	III_9_0022	Westhofen, Westhofen	7.44341, 48.60424	7.44341	48.60424	mülwalfer	mülwarfer	1	-0.25251144499813616	mülwalfer	mülwarfer	1	-0.06528309456870167	Maulwerfer	Maulwerfer	0	-0.48323353219796433
417	Stra e 12	na	Kleingöft	7.44376, 48.69162	7.44376	48.69162	mülwalfer	na	999	527.7358915701176	mülwalfer	na	999	529.1860287263053	Maulwerfer	na	999	529.091394870162
418	Co d 5	III_12_0092	Riedweier, Riedweier	7.44536, 48.12387	7.44536	48.12387	scharnierler	scharnierler	0	-0.7815579410052661	scharnieler	scharnieler	0	-0.5955950302609602	Schärnuler	Schärnuler	0	-0.48323353219796433
419	Co Va 2	III_17_0021	Obermichelbach (Michelbach-le-Haut), Obermichelbach	7.44645, 47.56623	7.44645	47.56623	schār	schār	0	-0.7815579410052661	schar	schar	0	-0.5955950302609602	Schär	Schär	0	-0.48323353219796433
420	Stra m 9/2, Stra m 9/1	III_9_0009	Wasselnheim (Wasselonne), Wasselnheim	7.44724, 48.63718	7.44724	48.63718	mülwarfer, mülwälfer	mülwarfer	0	-0.7815579410052661	mülwelfer, mülwarfer	mülwarfer	0	-0.5955950302609602	Maulwerfer	Maulwerfer	0	-0.48323353219796433
421	Co Va 15	III_16_0038	Niederranspach (Ranspach-le-Bas), Niederranspach, Niederranspach (Ranspach-le-Bas)	7.44726, 47.58851	7.44726	47.58851	scharmüs, schar	schermaus	3	0.8055815470161238	scharmüs, schar	schermaus	3	0.9953407768158152	Schär, Schärmaus	Schärmaus	999	529.091394870162
422	Co Va 4/1, Co Va 4/2	III_17_0019	Volkensberg (Folgensbourg), Volkensberg (Folgensbourg), Volkensberg	7.4473, 47.55147	7.4473	47.55147	scharmüs, schār	scharmaus	2	0.27653505100899384	scharmüs, schar	scharmaus	2	0.4650288411235568	Schär, Schärmaus	Schärmaus	999	529.091394870162
423	Co z 4	III_14_0037	Hirzfelden, Hirzfelden	7.4473, 47.90935	7.4473	47.90935	scharnierler	scharnilr	3	0.8055815470161238	scharnieler	scharniler	1	-0.06528309456870167	Schärnuler	Schärnuler	0	-0.48323353219796433
424	Co Vd 8	III_17_0071	Biedertal (Biederthal), Biedertal	7.44789, 47.46978	7.44789	47.46978	scharmus	schärmuus	2	0.27653505100899384	scharmus	schärmus	1	-0.06528309456870167	Schärmaus	Schärmaus	0	-0.48323353219796433
425	Stra e 12,13	III_8_0051	Westhausen (Westhouse-Marmoutier), Westhausen	7.44963, 48.68592	7.44963	48.68592	mülwerfer	mülwälfer	2	0.27653505100899384	mülwerfer	mülwelfer	1	-0.06528309456870167	Maulwerfer	Maulwerfer	0	-0.48323353219796433
426	Hag O 11	III_6_0041	Obersulzbach (Obersoultzbach), Obersulzbach	7.45013, 48.85174	7.45013	48.85174	müllwälfer	mülwalfer	2	0.27653505100899384	mülwelfer	mülwalfer	1	-0.06528309456870167	Maulwerfer	Maulwerfer	0	-0.48323353219796433
427	Stra t 6	III_10_0018	Mutzig	7.45043, 48.53927	7.45043	48.53927	müllwarfer	mülwarfel	0	-0.7815579410052661	mülwarfer	mülwarfel	0	-0.5955950302609602	Maulwerfer	Maulwerfel	0	-0.48323353219796433
428	Hag V 12	III_7_0053	Rosenweiler-Dettweiler, Rosenweiler-Dettweiler	7.45083, 48.76772	7.45083	48.76772	müllwerfer	mülwalfer	3	0.8055815470161238	mülwerfer	mülwalfer	2	0.4650288411235568	Maulwerfer	Maulwerfer	0	-0.48323353219796433
429	Stra e 20	III_8_0048	Zehnacker, Zehnacker	7.45086, 48.67123	7.45086	48.67123	mühlwalfer	mülwalfer	1	-0.25251144499813616	mülwalfer	mülwalfer	0	-0.5955950302609602	Maulwerfer	Maulwerfer	0	-0.48323353219796433
430	Stra e 10	III_8_0053	Wolschheim, Wolschheim	7.45106, 48.70358	7.45106	48.70358	mülwalfer	mülwalfer	0	-0.7815579410052661	mülwalfer	mülwalfer	0	-0.5955950302609602	Maulwerfer	Maulwerfer	0	-0.48323353219796433
431	Stra A 8	III_10_0096	Heiligenstein, Heiligenstein	7.45184, 48.41784	7.45184	48.41784	mülwarfer	müllwarfer	1	-0.25251144499813616	mülwarfer	mülwarfer	0	-0.5955950302609602	Maulwerfer	Maulwerfer	0	-0.48323353219796433
