	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	Longitude	Latitude	item_maurer	item_DWA	Levenshtein_item	z_score_item	phontype_maurer	phontype_DWA	Levenshtein_phontype	z_score_phontype	lextype_maurer	lextype_DWA	Levenshtein_lextype	z_score_lextype
0	Co D6	III_14_0081	Sewen, Sewen	6.90688, 47.80694	6.90688	47.80694	butte	butte	0	-0.7815579410052661	butte	butte	0	-0.5955950302609602	Butte	Butte	0	-0.48323353219796433
1	Co D1	III_14_0082	Dollern (Dolleren), Dollern	6.93211, 47.80559	6.93211	47.80559	budda	budda	0	-0.7815579410052661	butte	butte	0	-0.5955950302609602	Butte	Butte	0	-0.48323353219796433
2	Co D2	III_14_0083	Oberbruck, Oberbruck	6.94324, 47.80838	6.94324	47.80838	bodde	butte	3	0.8055815470161238	botte	butte	1	-0.06528309456870167	Butte	Butte	0	-0.48323353219796433
3	Co D3	III_14_0080	Rimbach-Pès-Masevaux), Rimbach	6.9473, 47.82212	6.9473	47.82212	butta	butte	1	-0.25251144499813616	butte	butte	0	-0.5955950302609602	Butte	Butte	0	-0.48323353219796433
4	Co w 5	III_14_0001	Urbis, St. Amarintal (Urbès), Urbis	6.95521, 47.88255	6.95521	47.88255	hagebutt	budde	0	-0.7815579410052661	hagebutt	butte	0	-0.5955950302609602	Hagebutte	Butte	0	-0.48323353219796433
5	Co D4	III_14_0084	Kirchberg-Wegscheid, Kirchberg	6.95965, 47.79904	6.95965	47.79904	butta	butte	1	-0.25251144499813616	butte	butte	0	-0.5955950302609602	Butte	Butte	0	-0.48323353219796433
6	Co p 2	III_13_0094	Wildenstein bei Krüt, Kreis Tann, Wildenstein	6.96296, 47.98143	6.96296	47.98143	budde	butta	3	0.8055815470161238	butte	butte	0	-0.5955950302609602	Butte	Butte	0	-0.48323353219796433
7	Co p 1	III_13_0095	Krüt (Kruth), Krüt	6.96629, 47.92912	6.96629	47.92912	bo̊ta	buda, butte	3	0.8055815470161238	botte	butte	1	-0.06528309456870167	Butte	Butte	0	-0.48323353219796433
8	Co D8	III_14_0085	Niederbruck, Niederbruck	6.97173, 47.78361	6.97173	47.78361	butta	butta	0	-0.7815579410052661	butte	butte	0	-0.5955950302609602	Butte	Butte	0	-0.48323353219796433
9	Co w 4	III_14_0003	Mollau , Mollau	6.97488, 47.87245	6.97488	47.87245	buddä	budde	1	-0.25251144499813616	butte	butte	0	-0.5955950302609602	Butte	Butte	0	-0.48323353219796433
10	Co w 1	III_14_0004	Oderen, Odern	6.97525, 47.91008	6.97525	47.91008	bǔttä	butt, buttä	1	-0.25251144499813616	butte	butt, butte	0	-0.5955950302609602	Butte	Butte	0	-0.48323353219796433
11	Co D5	na	Sickert, Niederbruck	6.979, 47.78312	6.979	47.78312	butta	na	999	527.7358915701176	butte	na	999	529.1860287263053	Butte	na	999	529.091394870162
12	Hag D 2	III_5_0022	Altweiler (Altwiller), Altweiler	6.98122, 48.93023	6.98122	48.93023	krätzärschel	krätzärschle	2	0.27653505100899384	krätzärschel	krätzärschle	2	0.4650288411235568	Krätzärschle	Krätzärschle	0	-0.48323353219796433
13	Co w 2	III_14_0005	Fellerlingen (Fellering), Felleringen, Felleringen	6.98613, 47.89621	6.98613	47.89621	budda	hagabudda, budda	999	527.7358915701176	butte	hagebutte, butte	999	529.1860287263053	Butte	Hagebutte, Butte	999	529.091394870162
14	Co w 3	III_14_0006	Hüsseren-Wesserling (Husseren-Wesserling), Hüssern-Wesserling	6.98836, 47.88519	6.98836	47.88519	butta	butte	1	-0.25251144499813616	butte	butte	0	-0.5955950302609602	Butte	Butte	0	-0.48323353219796433
15	Hag D 1	na	Hinsingen	6.99156, 48.9525	6.99156	48.9525	achgrätzere	na	999	527.7358915701176	arschkrätzere	na	999	529.1860287263053	Arschkrätzer	na	999	529.091394870162
16	Co D7	III_14_0086	Masmünster (Masevaux), Maasmünster	6.99386, 47.7727	6.99386	47.7727	butta	butte	1	-0.25251144499813616	butte	butte	0	-0.5955950302609602	Butte	Butte	0	-0.48323353219796433
17	Co x 2	III_14_0007	Mitzach, Mitzach, Mitzach	7.00519, 47.87122	7.00519	47.87122	butt	butta, hågebutta	1	-0.25251144499813616	butt	hagebutte, butte	1	-0.06528309456870167	Butte	Hagebutte, Butte	999	529.091394870162
18	Co x 1	III_14_0008	Ranspach, Ranspach, Ranspach	7.01113, 47.88081	7.01113	47.88081	butta	hagabudda, budda	2	0.27653505100899384	butte	hagebutte, butte	999	529.1860287263053	Butte	Hagebutte, Butte	999	529.091394870162
19	Co E4	III_14_0087	Aue (Lauw), Aue	7.02216, 47.75778	7.02216	47.75778	butta	buda	2	0.27653505100899384	butte	butte	0	-0.5955950302609602	Butte	Butte	0	-0.48323353219796433
20	Hag E 10	na	Bissert	7.02465, 48.94167	7.02465	48.94167	aschgrätzer	na	999	527.7358915701176	arschkrätzer	na	999	529.1860287263053	Arschkrätzer	na	999	529.091394870162
21	Co T10	na	Schaffnatt am Weier (Chavannes-Sur-LÉtang)	7.02504, 47.63178	7.02504	47.63178	hagebutt	na	999	527.7358915701176	hagebutt	na	999	529.1860287263053	Hagebutte	na	999	529.091394870162
22	Co E1	III_14_0088	Oberburbach, Oberburbach (Bourbach-Les-Haut)	7.02973, 47.7953	7.02973	47.7953	bötta	hågabutta	0	-0.7815579410052661	bütte	hagebutte	0	-0.5955950302609602	Butte	Hagebutte	0	-0.48323353219796433
23	Co x 5	na	St. Amarin	7.03186, 47.87365	7.03186	47.87365	hā̊gebutte	na	999	527.7358915701176	hagebutte	na	999	529.1860287263053	Hagebutte	na	999	529.091394870162
24	Co q 5	III_13_0096	Mittlach, Mittlach	7.03325, 48.00405	7.03325	48.00405	buta	buda	1	-0.25251144499813616	butte	butte	0	-0.5955950302609602	Butte	Butte	0	-0.48323353219796433
25	Co x 3	III_14_0010	Malmerspach	7.03487, 47.86486	7.03487	47.86486	butta	hogebutte	0	-0.7815579410052661	butte	hachebutte	0	-0.5955950302609602	Butte	Hagebutte	0	-0.48323353219796433
26	Hag E 9	III_5_0027	Harskirchen, Harskirchen, Harskirchen	7.0389, 48.93409	7.0389	48.93409	arschkretzer	budde, aschkretzer	1	-0.25251144499813616	arschkrätzer	butte, arschkrätzer	999	529.1860287263053	Arschkrätzer	Arschkrätzer, Butte	999	529.091394870162
27	Co M10	na	Morzweiler (Mortzwiller)	7.04125, 47.73832	7.04125	47.73832	butta	na	999	527.7358915701176	butte	na	999	529.1860287263053	Butte	na	999	529.091394870162
28	Hag E 7	III_5_0024	Keskastel	7.04339, 48.96955	7.04339	48.96955	arschkrâtzer	arschgrätzerle	0	-0.7815579410052661	arschkrätzer	arschkrätzerle	0	-0.5955950302609602	Arschkrätzer	Arschkrätzerle	0	-0.48323353219796433
29	Co x 6	III_14_0011	Moosch, Moosch	7.04865, 47.86081	7.04865	47.86081	butt, butte	butte	0	-0.7815579410052661	butt, butte	butte	0	-0.5955950302609602	Butte	Butte	0	-0.48323353219796433
30	Hag M 12	III_6_0005	Diedendorf, Diedendorf	7.04974, 48.87869	7.04974	48.87869	arschkrätzer	arschkrätzer	0	-0.7815579410052661	arschkrätzer	arschkrätzer	0	-0.5955950302609602	Arschkrätzer	Arschkrätzer	0	-0.48323353219796433
31	Hag E 8	III_5_0026	Schopperten, Schopperten, Schopperten	7.05316, 48.94524	7.05316	48.94524	arschkrätzer	butte, arschkrätzer	999	527.7358915701176	arschkrätzer	butte, arschkrätzer	999	529.1860287263053	Arschkrätzer	Arschkrätzer, Butte	999	529.091394870162
32	Co T16	na	Menglatt (Magny)	7.05408, 47.6019	7.05408	47.6019	hågäbuttā̄	na	999	527.7358915701176	hagebutte	na	999	529.1860287263053	Hagebutte	na	999	529.091394870162
33	Co E3	III_14_0090	Sentheim, Sentheim	7.0544, 47.75581	7.0544	47.75581	buttä	buttă	1	-0.25251144499813616	butte	butte	0	-0.5955950302609602	Butte	Butte	0	-0.48323353219796433
34	Co M2	III_15_0001	Obersulzbach Kreis Tann (Soppe-Le-Haut), Obersulzbach <Morzweiler> Morzweiler steht nur auf S.1	7.05724, 47.73372	7.05724	47.73372	butta	butte	1	-0.25251144499813616	butte	butte	0	-0.5955950302609602	Butte	Butte	0	-0.48323353219796433
35	Co x 9	III_14_0013	Geishausen, Geishausen, Geishausen	7.05832, 47.88017	7.05832	47.88017	butta	hagabudda, budda	2	0.27653505100899384	butte	hagebutte, butte	999	529.1860287263053	Butte	Hagebutte, Butte	999	529.091394870162
36	Co T9	III_16_0014	Gottestal, Luttern (Valdieu-Lutran), Gottestal	7.05852, 47.63139	7.05852	47.63139	butt	butta	1	-0.25251144499813616	butt	butte	1	-0.06528309456870167	Butte	Butte	0	-0.48323353219796433
37	Co E2	III_14_0091	Niederburbach (Bourbach-Le-Bas), Niederburbach	7.05868, 47.77527	7.05868	47.77527	butte	butta	1	-0.25251144499813616	butte	butte	0	-0.5955950302609602	Butte	Butte	0	-0.48323353219796433
38	Hag T 2	III_7_0006	Kirberg (Kirrberg), Kirberg	7.06204, 48.8233	7.06204	48.8233	åschgräzer	oaschgrätzere	4	1.3346280430232536	arschkrätzer	arschkrätzere	1	-0.06528309456870167	Arschkrätzer	Arschkrätzer	0	-0.48323353219796433
39	Co M7	III_15_0007	St Kosman (Saint-Cosme), St. Kosman	7.06248, 47.68339	7.06248	47.68339	hågabudda	hagabudda	1	-0.25251144499813616	hagebutte	hagebutte	0	-0.5955950302609602	Hagebutte	Hagebutte	0	-0.48323353219796433
40	Co T1	III_15_0008	Brückensweiler (Bréchaumont), Brückensweiler	7.0684, 47.66973	7.0684	47.66973	buttle	buttla	1	-0.25251144499813616	buttle	buttla	1	-0.06528309456870167	Buttle	Buttle	0	-0.48323353219796433
41	Hag M 2	III_6_0002	Pisdorf (Bischtroff-sur-Sarre), Pisdorf	7.06995, 48.9005	7.06995	48.9005	aschkrätzer	arschkrätzere	2	0.27653505100899384	arschkrätzer	arschkrätzere	1	-0.06528309456870167	Arschkrätzer	Arschkrätzer	0	-0.48323353219796433
42	Co x 4	III_14_0012	Weiler, Weiler	7.07073, 47.84351	7.07073	47.84351	budda	butte	3	0.8055815470161238	butte	butte	0	-0.5955950302609602	Butte	Butte	0	-0.48323353219796433
43	Co E13	III_14_0092	Rammersmatt, Rammersmatt	7.07084, 47.78935	7.07084	47.78935	butta	buddea	3	0.8055815470161238	butte	butte	0	-0.5955950302609602	Butte	Butte	0	-0.48323353219796433
44	Co i 3	III_13_0008	Metzeral, Metzeral	7.07146, 48.01325	7.07146	48.01325	butta	budda	2	0.27653505100899384	butte	butte	0	-0.5955950302609602	Butte	Butte	0	-0.48323353219796433
45	Co M6	III_15_0004	Bretten Landkreis Altkirch, Bretten	7.0716, 47.69963	7.0716	47.69963	budde	hagabutta	0	-0.7815579410052661	butte	hagebutte	0	-0.5955950302609602	Butte	Hagebutte	0	-0.48323353219796433
46	Co q 4	III_13_0097	Sondernach, Sondernach	7.07276, 47.99621	7.07276	47.99621	butta	budda	2	0.27653505100899384	butte	butte	0	-0.5955950302609602	Butte	Butte	0	-0.48323353219796433
47	Hag M 11/1, Hag M 11/2	III_6_0003	Wolfskirchen, Wolfskirchen	7.07612, 48.87884	7.07612	48.87884	putte, putt	pude	2	0.27653505100899384	butt, butte	butte	0	-0.5955950302609602	Butte	Butte	0	-0.48323353219796433
48	Hag M 1	III_5_0034	Zollingen, Zollingen	7.07636, 48.91048	7.07636	48.91048	arschgrätzer	aschgrätzere	2	0.27653505100899384	arschkrätzer	arschkrätzere	1	-0.06528309456870167	Arschkrätzer	Arschkrätzer	0	-0.48323353219796433
49	Co E9	III_14_0089	Tann-Bitschweiler (Bitschwiller-Lès-Thann), Bitschweiler	7.07947, 47.82929	7.07947	47.82929	butte	budde	2	0.27653505100899384	butte	butte	0	-0.5955950302609602	Butte	Butte	0	-0.48323353219796433
50	Hag T 4	III_7_0013	Goerlingen, Görlingen	7.08247, 48.79646	7.08247	48.79646	butte	butte	0	-0.7815579410052661	butte	butte	0	-0.5955950302609602	Butte	Butte	0	-0.48323353219796433
51	Hag x 2	III_4_0053	Herbitzheim, Herbitzheim	7.08355, 49.01459	7.08355	49.01459	arschkrätzert	arschkrätzert	0	-0.7815579410052661	arschkrätzert	arschkrätzert	0	-0.5955950302609602	Arschkrätzer	Arschkrätzer	0	-0.48323353219796433
52	Hag E 5	III_5_0033	Saarwerden (Sarrewerden), Saarwerden, Saarwerden	7.08411, 48.9218	7.08411	48.9218	aschkrätzer	butte, aschkretzere	2	0.27653505100899384	arschkrätzer	butte, arschkrätzere	1	-0.06528309456870167	Arschkrätzer	Arschkrätzer, Butte	999	529.091394870162
53	Hag M 10	III_6_0012	Bärendorf (Baerendorf), Bärendorf	7.08463, 48.83742	7.08463	48.83742	årschkrätzer	arschkrätzer	1	-0.25251144499813616	arschkrätzer	arschkrätzer	0	-0.5955950302609602	Arschkrätzer	Arschkrätzer	0	-0.48323353219796433
54	Hag E 6/2, Hag E 6/1	III_5_0028, III_5_0029	Saarbuckenheim (Sarre-Union), Saarbuckenheim	7.08686, 48.93919	7.08686	48.93919	ärschkrätzer	arschkrätzer, ärchkrätzer	1	-0.25251144499813616	ärschkrätzer	arschkrätzer, ärschkrätzer	0	-0.5955950302609602	Arschkrätzer	Arschkrätzer	0	-0.48323353219796433
55	Co i 10	III_13_0007	Mühlbach (Muhlbach-Sur-Munster), Mühlbach	7.08731, 48.02582	7.08731	48.02582	butta	budda	2	0.27653505100899384	butte	butte	0	-0.5955950302609602	Butte	Butte	0	-0.48323353219796433
56	Co E5	na	Rodern	7.0877, 47.77839	7.0877	47.77839	budde	na	999	527.7358915701176	butte	na	999	529.1860287263053	Butte	na	999	529.091394870162
57	Hag x 1	III_4_0044	Silzheim (Siltzheim), Silzheim	7.09071, 49.0616	7.09071	49.0616	ärchkrätzer	ärchkretzer	1	-0.25251144499813616	ärschkrätzer	ärschkrätzer	0	-0.5955950302609602	Arschkrätzer	Arschkrätzer	0	-0.48323353219796433
58	Co M3	III_15_0003	Niedersulzbach (soppe-Le-Bas), Niedersulzbach	7.09079, 47.71688	7.09079	47.71688	butta	butta	0	-0.7815579410052661	butte	butte	0	-0.5955950302609602	Butte	Butte	0	-0.48323353219796433
59	Co M1	III_15_0002	Gewenheim, Gewenheim	7.0913, 47.75291	7.0913	47.75291	butta	butte	1	-0.25251144499813616	butte	butte	0	-0.5955950302609602	Butte	Butte	0	-0.48323353219796433
60	Co T2	na	Niedertraubach (traubach-Le-Haute)	7.09169, 47.66903	7.09169	47.66903	hegbutte	na	999	527.7358915701176	hegbutte	na	999	529.1860287263053	Hagebutte	na	999	529.091394870162
61	Co T8	III_16_0017	Retzweiler, Retzweiler	7.09315, 47.63072	7.09315	47.63072	budda	budda	0	-0.7815579410052661	butte	butte	0	-0.5955950302609602	Butte	Butte	0	-0.48323353219796433
