	Fragebogen Nr.	Longitude	Latitude	Erhebung	org ameise	item ameise	phontype ameise	lextype ameise	org begräbnis	item begräbnis	phontype begräbnis	lextype begräbnis	org deichsel	item deichsel	phontype deichsel	lextype deichsel	org elster	item elster	phontype elster	lextype elster	org fledermaus	item fledermaus	phontype fledermaus	lextype fledermaus	org gurke	item gurke	phontype gurke	lextype gurke	org hagebutte	item hagebutte	phontype hagebutte	lextype hagebutte	org hebamme	item hebamme	phontype hebamme	lextype hebamme	org kartoffel	item kartoffel	phontype kartoffel	lextype kartoffel	org maulwurf	item maulwurf	phontype maulwurf	lextype maulwurf	org pflaume	item pflaume	phontype pflaume	lextype pflaume	org stecknadel	item stecknadel	phontype stecknadel	lextype stecknadel	org ziege	item ziege	phontype ziege	lextype ziege	org zimmerfliege	item zimmerfliege	phontype zimmerfliege	lextype zimmerfliege
4002	MH w4	9.42753	49.60185	maurer	Pfetzemes	pfetzemes	pfetsemese	Pfetzemes	Leich	leich	leich	Li(e)cht	Deischel 	deischel 	deischl	Deichsel	Häx	häx	heks	Hetze	Fleddermausch	fleddermausch	fledermausch	Fledermaus	Kümmerli, Kummere	kümmerli, kummere	kümmerli, gummere	Kümmerle, Gummer	Hiffelder	hiffelder	hifelder	Hifelder	Heibamm	heibamm	heibamm	Hebamme	Grummbeern	grummbeern	grumberne	Grundbirne	Wühler	wühler	wühler	Wühler	Pflaume	pflaume	pflaume	Pflaume	Stecknödele	stecknödele	schteknödele	Stecknadele	Gaß	gaß	gas	Geiß	Mugge	mugge	muke	Mücke
4003	MH W4	9.59181	49.40817	maurer	Ēmes	ēmes	emese	Ameise	die Leich	leich	leich	Li(e)cht	die Deigsch(e)l	deigschl, deigschel	deigschl, deigschl	Deichsel, Deichsel	na	na	na	na	die Fleddermausch	fleddermausch	fledermausch	Fledermaus	die Gegummer	gegummer	gegummer	Gugummer	na	na	na	na	na	na	na	na	die Ebirn	ebirn	erbirne	Erdbirne	der Maulwourf	maulwourf	maulwurf	Maulwurf	die Pflåme	pflåme	pflame	Pflaume	die Stecknōdel	stecknōdel	schteknodel	Stecknadel	die Gāß	gāß	gas	Geiß	die Muck	muck	muk	Mücke
4004	MH w5	9.48425	49.64828	maurer	Sachhemes	sachhemes	sachhemese	Seichemes	Leicht	leicht	leicht	Li(e)cht	Deihsel	deihsel	deisl	Deichsel	na	na	na	na	Fläddermaus	fläddermaus	fledermaus	Fledermaus	Kümmerli 	kümmerli 	kümmerli	Kümmerle	Häfelter	häfelter	hefelder	Hifelder	Wächnerin	wächnerin	wächnerin	Wöchnerin	Kartoffel	kartoffel	kadoffel	Kartoffel	Wühler	wühler	wühler	Wühler	Pfloume	pfloume	pflaume	Pflaume	Stecknodel	stecknodel	schteknodel	Stecknadel	Gaß	gaß	gas	Geiß	Mücke	mücke	müke	Mücke
4005	MH W5	9.61267	49.41114	maurer	Gailimes' (f)	gailimes	geilimes	Gailimes	Leichd (f)	leichd	leicht	Li(e)cht	Daigschl (f)	daigschl	deigschl	Deichsel	Elschda, Häds (f)	häds, elschda	hets, elschter	Hetze, Elster	Fläddamåusch (f)	fläddamåusch	fledermausch	Fledermaus	Gurgä, Gegummern (f) 	gegummern , gurgä	gegummern, gurke	Gugummer, Gurke	Hiffeldor(r) (f)	hiffeldorr, hiffeldor	hifelder, hifelder	Hifelder, Hifelder	Hewoarn (f)	hewoarn	hewarn	Hebamme	Äbirn (f)	äbirn	erbirne	Erdbirne	Maulwurf	maulwurf	maulwurf	Maulwurf	Pfloͣume (f)	pfloͣume	pflaume	Pflaume	Schdeggnōdl (f)	schdeggnōdl	schteknodel	Stecknadel	Gas' (f)	gas	gas	Geiß	Mugg (f)	mugg	muk	Mücke
4006	MH w6	9.36648	49.62382	maurer	Pezemez	pezemez	petsemetse	Pfetzemes	Leicht	leicht	leicht	Li(e)cht	Deischel	deischel	deischl	Deichsel	Elschter	elschter	elschter	Elster	Fleddermausch	fleddermausch	fledermausch	Fledermaus	Gummern 	gummern 	gummern	Gummer	Hivelder	hivelder	hifelder	Hifelder	Hebamm	hebamm	hebamm	Hebamme	Kartoffel	kartoffel	kadoffel	Kartoffel	Wühler	wühler	wühler	Wühler	Pflaume	pflaume	pflaume	Pflaume	Schtecknådel	schtecknådel	schteknådel	Stecknadel	Gäß	gäß	gäs	Geiß	Mucke	mucke	muke	Mücke
4007	MH W6	9.66028	49.40826	maurer	Eimes	eimes	eimese	Ameise	die Leicht	leicht	leicht	Li(e)cht	die Deigschl	deigschl	deigschl	Deichsel	die Elschdr	elschdr	elschter	Elster	die Fleddermausch	fleddermausch	fledermausch	Fledermaus	die Gegummere	gegummere	gegummere	Gugummer	die Hiffldr	hiffldr	hiflder	Hifelder	die Häiwamm	häiwamm	heiwamm	Hebamme	die Ebirn	ebirn	erbirne	Erdbirne	der Maulwurf	maulwurf	maulwurf	Maulwurf	die Pfloume	pfloume	pflaume	Pflaume	die Stecknodel	stecknodel	schteknodel	Stecknadel	die Gaaß	gaaß	gas	Geiß	die Muck	muck	muk	Mücke
4008	MH w7	9.38743	49.63075	maurer	Petzemez	petzemez	petsemetse	Pfetzemes	Leicht	leicht	leicht	Li(e)cht	Deischel	deischel	deischl	Deichsel	Elschter - Atzel	atzel, elschter	atsel, elschter	Atzel, Elster	Fleddermausch	fleddermausch	fledermausch	Fledermaus	Gummere	gummere	gummere	Gummer	Hivelder	hivelder	hifelder	Hifelder	Hebamm	hebamm	hebamm	Hebamme	Kartoffel	kartoffel	kadoffel	Kartoffel	Wühler	wühler	wühler	Wühler	Pflaume	pflaume	pflaume	Pflaume	Schtecknadel	schtecknadel	schteknadel	Stecknadel	Geeß	geeß	ges	Geiß	Mugge	mugge	muke	Mücke
4009	MH W7	9.63369	49.39159	maurer	Eimehs	eimehs	eimese	Ameise	die Leicht	leicht	leicht	Li(e)cht	de Deigschl	deigschl	deigschl	Deichsel	die Hetz	hetz	hets	Hetze	die Fleddermausch	fleddermausch	fledermausch	Fledermaus	die Gurge	gurge	gurke	Gurke	die Hiffelder	hiffelder	hifelder	Hifelder	die Hewamm	hewamm	hewamm	Hebamme	die Ĕbiern	ĕbiern	erbirne	Erdbirne	der Maulwŏrf	maulwŏrf	maulworf	Maulwurf	die Pflaume	pflaume	pflaume	Pflaume	die Schtecknōdel	schtecknōdel	schteknodel	Stecknadel	die Gaas	gaas	gas	Geiß	die Mugge	mugge	muke	Mücke
4010	MH W8	9.61253	49.36877	maurer	Äimes	äimes	eimese	Ameise	die Leicht	leicht	leicht	Li(e)cht	die Daükschel	daükschel	deigschl	Deichsel	die Elster	elster	elschter	Elster	die Fleddermausch	fleddermausch	fledermausch	Fledermaus	die Gegummern 	gegummern 	gegummern	Gugummer	die Hīfel	hīfel	hifel	Hiefele	die Hēwamm	hēwamm	hewamm	Hebamme	die Äbbīrn	äbbīrn	erbirne	Erdbirne	der Maulwurf	maulwurf	maulwurf	Maulwurf	die Pflaume	pflaume	pflaume	Pflaume	die Stecknōdel	stecknōdel	schteknodel	Stecknadel	die Gās	gās	gas	Geiß	die Mugg	mugg	muk	Mücke
4011	MH W9	9.57229	49.35628	maurer	d' Ēmes	ēmes	emese	Ameise	d' Licht	licht	licht	Li(e)cht	Deigschel	deigschel	deigschl	Deichsel	d' Elschder	elschder	elschter	Elster	d' Fleddermausch	fleddermausch	fledermausch	Fledermaus	e Gegummer	gegummer	gegummer	Gugummer	d' Hiffelderbutze	hiffelderbutze	hifelderbutze	Hifelderbutze	na	na	na	na	die Äbirn	äbirn	erbirne	Erdbirne	de Maulwurf	maulwurf	maulwurf	Maulwurf	die Pfloume	pfloume	pflaume	Pflaume	s Schdecknȫdele	schdecknȫdele	schteknödele	Stecknadele	d' Gāß	gāß	gas	Geiß	d' Muck	muck	muk	Mücke
