	Fragebogen Nr.	Longitude	Latitude	Erhebung	org ameise	item ameise	phontype ameise	lextype ameise	org begräbnis	item begräbnis	phontype begräbnis	lextype begräbnis	org deichsel	item deichsel	phontype deichsel	lextype deichsel	org elster	item elster	phontype elster	lextype elster	org fledermaus	item fledermaus	phontype fledermaus	lextype fledermaus	org gurke	item gurke	phontype gurke	lextype gurke	org hagebutte	item hagebutte	phontype hagebutte	lextype hagebutte	org hebamme	item hebamme	phontype hebamme	lextype hebamme	org kartoffel	item kartoffel	phontype kartoffel	lextype kartoffel	org maulwurf	item maulwurf	phontype maulwurf	lextype maulwurf	org pflaume	item pflaume	phontype pflaume	lextype pflaume	org stecknadel	item stecknadel	phontype stecknadel	lextype stecknadel	org ziege	item ziege	phontype ziege	lextype ziege	org zimmerfliege	item zimmerfliege	phontype zimmerfliege	lextype zimmerfliege
0	Co A1/1	7.53712	47.91578	maurer	d' Aumeis	aumeis	aumeise	Ameise	Licht	licht	licht	Li(e)cht	dr Dissl	dissl	disl	Deichsel	de Agrscht	agrscht	agerscht	Agerst	d' Fadermüs	fladermüs	fladermüs	Fledermaus	Gugummr	gugummr	gugummer	Gugummer	d'Butta	butta	butte	Butte	Hewāmm	hewāmm	hewamm	Hebamme	Hardäpfel	hardäpfel	hardäpfel	Erdäpfel	Scharnialr	scharnialr	scharnieler	Schärnuler	Pflüm	pflüm	pflüm	Pflaume	Guf	guf	guf	Glufe	d'Geis	geis	geis	Geiß	d' Muck	muck	muk	Mücke
1	Co A1/2	7.53712	47.91578	maurer	a Omeis	omeis	ameise	Ameise	Licht	licht	licht	Li(e)cht	der Dissel	dissel	disl	Deichsel	d'Agerst	agerst	agerscht	Agerst	d'Fladermüs	fladermüs	fladermüs	Fledermaus	a Gugummer	gugummer	gugummer	Gugummer	Butte	butte	butte	Butte	Hewamm	hewamm	hewamm	Hebamme	Hartäpfel	hartäpfel	hardäpfel	Erdäpfel	Scharnieler	scharnieler	scharnieler	Schärnuler	Pflümae	pflümae	pflüme	Pflaume	Gufe	gufe	gufe	Glufe	eine Geiss	geiss	geis	Geiß	a Muckēͣ	muckēͣ	muke	Mücke
2	Co A10	7.57779	47.84303	maurer	de Omaise	omaise	ameise	Ameise	Liecht	liecht	licht	Li(e)cht	de Diachsla	diachsla	diegsle	Deichsel	di Ägeschde	ägeschde	ägeschte	Agerst	d'Fladermuus	fladermuus	fladermus	Fledermaus	Guckummere, Girkle	girkle, guckummere	girkle, gugummere	Gürkle, Gugummer	d'Hāgebuttene	hāgebuttene	hagebuttene	Hagebutte	Hebamm	hebamm	hebamm	Hebamme	Hārtäpfel	hārtäpfel	hardäpfel	Erdäpfel	Mulwurf, Schär	schär, mulwurf	schär, mulwurf	Schär, Maulwurf	Pfluume	pfluume	pflume	Pflaume	Giiflė	giiflė	gifle	Glifle	d'Gaiß	gaiß	geis	Geiß	de Fliega	fliega	fliege	Fliege
3	Co A2	7.53396	47.88426	maurer	Omais	omais	ameise	Ameise	Līcht	līcht	licht	Li(e)cht	die Dissel	dissel	disl	Deichsel	die Agester	agester	ageschte	Agerst	die Fladermüs	fladermüs	fladermüs	Fledermaus	Gugumeer	gugumeer	gugummer	Gugummer	die Butte	butte	butte	Butte	Hewamm	hewamm	hewamm	Hebamme	Hardäpfel	hardäpfel	hardäpfel	Erdäpfel	Scharniäler	scharniäler	scharnieler	Schärnuler	Pflüme	pflüme	pflüme	Pflaume	Guf	guf	guf	Glufe	die Gaiß	gaiß	geis	Geiß	die Mugg	mugg	muk	Mücke
4	Co A3	7.51712	47.85248	maurer	d' Ameis	ameis	ameise	Ameise	Licht	licht	licht	Li(e)cht	d'r Dissel	dissel	disl	Deichsel	d'Ägerschta	ägerschta	ägerschte	Agerst	d' Flattermüs	flattermüs	fladermüs	Fledermaus	Kukummer	kukummer	gugummer	Gugummer	d'Butte	butte	butte	Butte	Hëwamme	hëwamme	hewamme	Hebamme	Hardäpfel	hardäpfel	hardäpfel	Erdäpfel	Scharrniäler	scharrniäler	scharnieler	Schärnuler	Pflüm	pflüm	pflüm	Pflaume	Gufa	gufa	gufe	Glufe	d'Geis	geis	geis	Geiß	d' Muck	muck	muk	Mücke
5	Co A4	7.63735	47.8479	maurer	Omeise	omeise	ameise	Ameise	Līcht	līcht	licht	Li(e)cht	Diēxle	diēxle	diegsle	Deichsel	Ägerste	ägerste	ägerschte	Agerst	Flādermus	flādermus	fladermus	Fledermaus	Gugumere	gugumere	gugummere	Gugummer	Buddene	buddene	buttene	Butte	Hebamm	hebamm	hebamm	Hebamme	Herdäpfl	herdäpfl	herdäpfel	Erdäpfel	Schärmus	schärmus	schärmus	Schärmaus	Pflume	pflume	pflume	Pflaume	Guufa 	guufa 	gufe	Glufe	Gaiß	gaiß	geis	Geiß	Fliēge	fliēge	fliäge	Fliege
6	Co A5	7.63962	47.85945	maurer	Omeise	omeise	ameise	Ameise	Liecht	liecht	licht	Li(e)cht	Diechsle	diechsle	diegsle	Deichsel	Egerste	egerste	egerschte	Agerst	Fledermus	fledermus	fledermus	Fledermaus	Gugumere	gugumere	gugummere	Gugummer	Hagebutte	hagebutte	hagebutte	Hagebutte	Hebamme	hebamme	hebamme	Hebamme	Herdäpfel	herdäpfel	herdäpfel	Erdäpfel	Schär	schär	schär	Schär	Pflume	pflume	pflume	Pflaume	Gufe	gufe	gufe	Glufe	Geihs	geiß	geis	Geiß	Fliege	fliege	fliege	Fliege
7	Co A6	7.66768	47.87108	maurer	Omaisa	omaisa	ameise	Ameise	Liecht	liecht	licht	Li(e)cht	d'r Diss'l	dissl	disl	Deichsel	Ägerste, Ägrsde	ägrsde, ägerste	ägerschte, ägerschte	Agerst, Agerst	Fladrmūs	fladrmūs	fladermus	Fledermaus	Gugumeer	gugumeer	gugummer	Gugummer	Hagebuttena	hagebuttena	hagebuttene	Hagebutte	Hebame	hebame	hebamme	Hebamme	Härtepf'l	härtepfl	herdäpfel	Erdäpfel	Schǟrmūs	schǟrmūs	schärmus	Schärmaus	Pflumä	pflumä	pflume	Pflaume	Gufa	gufa	gufe	Glufe	d'Gaisamutla	gaisamutla	geisemuddle	Geißmuddle	d' Mucka	mucka	muke	Mücke
8	Co A7	7.65221	47.8908	maurer	Ōmaise	ōmaise	ameise	Ameise	Līecht	līecht	licht	Li(e)cht	Dissel 	dissel 	disl	Deichsel	Ägeschte	ägeschte	ägeschte	Agerst	Flǟdermūs	flǟdermūs	fledermus	Fledermaus	Gugummere	gugummere	gugummere	Gugummer	Hagebuttene	hagebuttene	hagebuttene	Hagebutte	Hebamm	hebamm	hebamm	Hebamme	Härdepfel	härdepfel	herdäpfel	Erdäpfel	Schärmuus	schärmuus	schärmus	Schärmaus	Pflume	pflume	pflume	Pflaume	Schteckgufe	schteckgufe	schtekgufe	Steckgufe	gais	gais	geis	Geiß	Fliege	fliege	fliege	Fliege
9	Co A8	7.62385	47.91694	maurer	Omaise	omaise	ameise	Ameise	Līcht	līcht	licht	Li(e)cht	Dissl	dissl	disl	Deichsel	Ägerste	ägerste	ägerschte	Agerst	Flädermus	flädermus	fledermus	Fledermaus	Gugummeer	gugummeer	gugummer	Gugummer	Hagebudde	hagebudde	hagebutte	Hagebutte	Hebamm	hebamm	hebamm	Hebamme	Härdepfel	härdepfel	herdäpfel	Erdäpfel	Mulwurf, Schärmūs	schärmūs, mulwurf	schärmus, mulwurf	Schärmaus, Maulwurf	Pflūme	pflūme	pflume	Pflaume	Stecknodle	stecknodle	schteknodle	Stecknadel	Gaiß	gaiß	geis	Geiß	Fliëge	fliëge	fliäge	Fliege
10	Co A9	7.59238	47.87313	maurer	Omaisä	omaisä	ameise	Ameise	Licht	licht	licht	Li(e)cht	Dissel	dissel	disl	Deichsel	Ägrstä	ägrstä	ägerschte	Agerst	Flädermus	flädermus	fledermus	Fledermaus	Guckumerä	guckumerä	gugummere	Gugummer	Hagäbuttä	hagäbuttä	hagebutte	Hagebutte	Hebam	hebam	hebamm	Hebamme	Härdäpfel	härdäpfel	herdäpfel	Erdäpfel	Schärmus	schärmus	schärmus	Schärmaus	Pflumä	pflumä	pflume	Pflaume	Stecknodlä	stecknodlä	schteknodle	Stecknadel	Gais	gais	geis	Geiß	Fliegä	fliegä	fliege	Fliege
11	Co B1	7.66581	47.90315	maurer	Omaise	omaise	ameise	Ameise	Līcht	līcht	licht	Li(e)cht	die Dissel	dissel	disl	Deichsel	die Agester	agester	ageschte	Agerst	Flädermūs	flädermūs	fledermus	Fledermaus	Gugumaͤra	gugumaͤra	gugummere	Gugummer	Die Hagabutte	hagabutte	hagebutte	Hagebutte	Hebamm	hebamm	hebamm	Hebamme	Heͣrdäpfel	heͣrdäpfel	herdäpfel	Erdäpfel	Schär	schär	schär	Schär	Pflūme	pflūme	pflume	Pflaume	Güfle	güfle	güfle	Glifle	Gaihs	gaiß	geis	Geiß	Fliege	fliege	fliege	Fliege
12	Co B10	7.72184	47.87162	maurer	Omaise	omaise	ameise	Ameise	Liecht	liecht	licht	Li(e)cht	Dissel	dissel	disl	Deichsel	Elschter	elschter	elschter	Elster	Fladrmüs	fladrmüs	fladermüs	Fledermaus	Gugumere	gugumere	gugummere	Gugummer	Haggebüdde	haggebüdde	hagebütte	Hagebutte	Hebamm	hebamm	hebamm	Hebamme	Härdepfl	härdepfl	herdäpfel	Erdäpfel	Schärmüs	schärmüs	schärmüs	Schärmaus	Pflüeme	pflüeme	pflüeme	Pflaume	Gufe, Giflé	giflé, gufe	gifle, gufe	Glifle, Glufe	Geis	geis	geis	Geiß	Fliäge, Mugge	fliäge, mugge	fliäge, muke	Fliege, Mücke
13	Co B11	7.70333	47.91813	maurer	Omaise	omaise	ameise	Ameise	Liėcht	liėcht	licht	Li(e)cht	Dissel	dissel	disl	Deichsel	Aegerste	aegerste	ägerschte	Agerst	Flaedermūs	flaedermūs	flaedermus	Fledermaus	Gugummere	gugummere	gugummere	Gugummer	Hāgebutte, Hāgebutze	hāgebutze, hāgebutte	hagebutze, hagebutte	Hagebutte, Hagebutte	Hēbamm	hēbamm	hebamm	Hebamme	Hadepfel	hadepfel	hardäpfel	Erdäpfel	Schärmūs	schärmūs	schärmus	Schärmaus	Pflume	pflume	pflume	Pflaume	Gūfe	gūfe	gufe	Glufe	Gaiß	gaiß	geis	Geiß	Mukke	mukke	muke	Mücke
14	Co B12	7.75208	47.91557	maurer	Omaisa	omaisa	ameise	Ameise	Liecht	liecht	licht	Li(e)cht	der Dissel	dissel	disl	Deichsel	die Agerschta	agerschta	agerschte	Agerst	Fladermüs	fladermüs	fladermüs	Fledermaus	Guggumra	guggumra	gugummere	Gugummer	die Hågabutta	hågabutta	hagebutte	Hagebutte	Hebbam	hebbam	hebamm	Hebamme	Herdepfel	herdepfel	herdäpfel	Erdäpfel	Scheermüss	scheermüss	schermüs	Schärmaus	Āhmdpflüma	āhmdpflüma	amdpflüme	Arnepflüm	Stecknodel	stecknodel	schteknodel	Stecknadel	die Geis	geis	geis	Geiß	die Fliaga	fliaga	fliäge	Fliege
15	Co B13	7.81186	47.87153	maurer	d' Oͦmeisa	oͦmeisa	ameise	Ameise	Līcht, Vergrāba	līcht, vergrāba	licht, vergrabe	Li(e)cht, Vergrabe	de' Diesel	diesel	diesl	Deichsel	na	na	na	na	Fledermüs	fledermüs	fledermüs	Fledermaus	Gugu̍mera	gugu̍mera	gugummere	Gugummer	d'Butterbeet	butterbeer	butterbeer	Butterbeere	groß Frau!, Hebamm	hebamm, großfrau	hebamm, großfrau	Hebamme, Großfrau	Herdöpfel	herdöpfel	herdöpfel	Erdäpfel	Schär	schär	schär	Schär	Pflūme	pflūme	pflume	Pflaume	Gůfa	gůfa	gufe	Glufe	d'Gais	gais	geis	Geiß	d' Fli͜ëga	fli͜ëga	fliäge	Fliege
16	Co B2	7.68027	47.88527	maurer	Omaisa	omaisa	ameise	Ameise	Liecht	liecht	licht	Li(e)cht	d'r Dissel	dissel	disl	Deichsel	Ägersde	ägersde	ägerschte	Agerst	Fladrmus	fladrmus	fladermus	Fledermaus	Gugumera	gugumera	gugummere	Gugummer	Hagebuttena	hagebuttena	hagebuttene	Hagebutte	Hebamm	hebamm	hebamm	Hebamme	Härdepfl	härdepfl	herdäpfel	Erdäpfel	Schärmūs	schärmūs	schärmus	Schärmaus	Pflume	pflume	pflume	Pflaume	Gufa	gufa	gufe	Glufe	d'Gaisamutla	gaisamutla	geisemuddle	Geißmuddle	d' Mucka	mucka	muke	Mücke
17	Co B3	7.69689	47.87134	maurer	Omaise	omaise	ameise	Ameise	Liicht	liicht	licht	Li(e)cht	Dissel	dissel	disl	Deichsel	Ärgerste	ärgerste	ägerschte	Agerst	Flädermuus	flädermuus	fledermus	Fledermaus	Guggummere	guggummere	gugummere	Gugummer	Hagebuddene	hagebuddene	hagebuttene	Hagebutte	Hebamm	hebamm	hebamm	Hebamme	Herdäpfel	herdäpfel	herdäpfel	Erdäpfel	Schäer	schäer	schär	Schär	Pflume	pflume	pflume	Pflaume	Giefli, Gufä	gufä, giefli	gufe, gifli	Glufe, Glifle	Gaiß	gaiß	geis	Geiß	Mugge	mugge	muke	Mücke
18	Co B4	7.70076	47.86061	maurer	Omeise	omeise	ameise	Ameise	Liecht	liecht	licht	Li(e)cht	Dissel	dissel	disl	Deichsel	na	na	na	na	Fladermus	fladermus	fladermus	Fledermaus	Gugumere	gugumere	gugummere	Gugummer	Hagebutte	hagebutte	hagebutte	Hagebutte	Hebamm	hebamm	hebamm	Hebamme	Härdepfel	härdepfel	herdäpfel	Erdäpfel	Scher	scher	scher	Schär	eierpflume	eierpflume	eierpflume	Eierpflaume	Stecknodel	stecknodel	schteknodel	Stecknadel	Geis	geis	geis	Geiß	Mucke	mucke	muke	Mücke
19	Co B5	7.68471	47.8434	maurer	Omeise	omeise	ameise	Ameise	Liëcht	liëcht	licht	Li(e)cht	die Diägsle	diägsle	diegsle	Deichsel	die Ägerschte	ägerschte	ägerschte	Agerst	Die Fledermuus	fledermuus	fledermus	Fledermaus	Gugummere	gugummere	gugummere	Gugummer	die Hagebutte	hagebutte	hagebutte	Hagebutte	Hebemm	hebemm	hebamm	Hebamme	Herdepfel	herdepfel	herdäpfel	Erdäpfel	Schärmuus	schärmuus	schärmus	Schärmaus	Pflume	pflume	pflume	Pflaume	Guhfe	guhfe	gufe	Glufe	die Geis	geis	geis	Geiß	die Mugge	mugge	muke	Mücke
20	Co B6	7.70727	47.84122	maurer	d' Omeise	omeise	ameise	Ameise	Licht	licht	licht	Li(e)cht	die Diechsle	diechsle	diegsle	Deichsel	d'Elster	elster	elschter	Elster	d'Fladermüs	fladermüs	fladermüs	Fledermaus	Gugumera	gugumera	gugummere	Gugummer	d'Hagebutte	hagebutte	hagebutte	Hagebutte	Hebamme	hebamme	hebamme	Hebamme	Hartäpfel	hartäpfel	hardäpfel	Erdäpfel	Schermus	schermus	schermus	Schärmaus	Pflüme	pflüme	pflüme	Pflaume	Gufe	gufe	gufe	Glufe	die Geiss	geiss	geis	Geiß	die Mucke	mucke	muke	Mücke
21	Co B7	7.78649	47.85518	maurer	Omaise	omaise	ameise	Ameise	Liecht	liecht	licht	Li(e)cht	Dichsel	dichsel	digsl	Deichsel	Elschter	elschter	elschter	Elster	Flädermus	flädermus	fledermus	Fledermaus	Gugum̄ere	gugummere	gugummere	Gugummer	Budderbaer	budderbaer	butterbeer	Butterbeere	Heban	heban	hebann	Hebamme	Hertepfel	hertepfel	herdäpfel	Erdäpfel	Schermus	schermus	schermus	Schärmaus	Pflüme	pflüme	pflüme	Pflaume	Stecknodle	stecknodle	schteknodle	Stecknadel	Gais	gais	geis	Geiß	Fliëge	fliëge	fliäge	Fliege
22	Co B8	7.79435	47.84136	maurer	Omeise	omeise	ameise	Ameise	Līcht	līcht	licht	Li(e)cht	die Disel	disel	disl	Deichsel	die Elster	elster	elschter	Elster	die Flädermus	flädermus	fledermus	Fledermaus	Gugummere	gugummere	gugummere	Gugummer	die Hagebutte, die Butterbeere	hagebutte, butterbeere	hagebutte, butterbeere	Hagebutte, Butterbeere	Hebann	hebann	hebann	Hebamme	Herdäpfel	herdäpfel	herdäpfel	Erdäpfel	Schermus	schermus	schermus	Schärmaus	Pflǖme	pflǖme	pflüme	Pflaume	Gufe	gufe	gufe	Glufe	die Gaiß	gaiß	geis	Geiß	die Fleg	fleg	fleg	Fliege
23	Co B9	7.72962	47.88166	maurer	Omaise	omaise	ameise	Ameise	Līcht	līcht	licht	Li(e)cht	Dissl	dissl	disl	Deichsel	Elstere	elstere	elschtere	Elster	Flädrmus	flädrmus	fledermus	Fledermaus	Gugumre	gugumre	gugummere	Gugummer	Hāgebudds	hāgebudds	hagebutz	Hagebutte	Hebamm	hebamm	hebamm	Hebamme	Härdepfl	härdepfl	herdäpfel	Erdäpfel	Mulwurf, Schärmūs	schärmūs, mulwurf	schärmus, mulwurf	Schärmaus, Maulwurf	Pflumə	pflumə	pflume	Pflaume	Schdecknadle	schdecknadle	schteknadle	Stecknadel	Gais	gais	geis	Geiß	Mugge	mugge	muke	Mücke
24	Co c 1	7.2617	48.13853	maurer	d' Omäis	omäis	ameise	Ameise	Lichd	lichd	licht	Li(e)cht	d' Dissel	dissel	disl	Deichsel	d'Åtzl	åtzl	atsel	Atzel	d'Fladrmüs	fladrmüs	fladermüs	Fledermaus	Gogommer	gogommer	gagommer	Gugummer	d'Bodd	bodd	bott	Butte	Häwåmm	häwåmm	hewamm	Hebamme	Dr Hardäpfl	hardäpfl	hardäpfel	Erdäpfel	Scharniälr	scharniälr	scharnieler	Schärnuler	Pflüm	pflüm	pflüm	Pflaume	Gōf	gōf	gof	Glufe	d'Gäīs	gäīs	geis	Geiß	d' Mogg	mogg	mok	Mücke
25	Co c 10	7.30725	48.0936	maurer	Umeis	umeis	umeise	Ameise	Licht	licht	licht	Li(e)cht	Die Dissel	dissel	disl	Deichsel	die Ātzel	ātzel	atsel	Atzel	Die Fladermüs	fladermüs	fladermüs	Fledermaus	Gugumara	gugumara	gugummere	Gugummer	die Buda	buda	butte	Butte	Hewāmm	hewāmm	hewamm	Hebamme	Hardäpfel	hardäpfel	hardäpfel	Erdäpfel	Schārnialer	schārnialer	scharnieler	Schärnuler	Pflüma	pflüma	pflüme	Pflaume	Gufa	gufa	gufe	Glufe	die Geis	geis	geis	Geiß	die Muck	muck	muk	Mücke
26	Co c 11	7.19258	48.11083	maurer	lo Förmi	na	na	na	ätermã	na	na	na	Lä Limonîr	na	na	na	lä pie 	na	na	na	lä volanrätt	na	na	na	lo mlõ	na	na	na	Lo Schõpacul	na	na	na	Satch' femm	na	na	na	Lä Kmartiääär	na	na	na	lo Töyan	na	na	na	na	na	na	na	Äouäy	na	na	na	Lä Eschũr	na	na	na	la Motch	na	na	na
27	Co c 12	7.28484	48.12465	maurer	Omäis	omäis	ameise	Ameise	Licht	licht	licht	Li(e)cht	Lānt (m), Dīssel (f)	dīssel, lānt	disl, land	Deichsel, Lande	Elschter	elschter	elschter	Elster	Flādermüs	flādermüs	fladermüs	Fledermaus	Gugummer	gugummer	gugummer	Gugummer	Budd	budd	butt	Butte	Hebåmm	hebåmm	hebamm	Hebamme	Hārdepfel	hārdepfel	hardäpfel	Erdäpfel	Scharrniēler	scharrniēler	scharnieler	Schärnuler	Pflüm	pflüm	pflüm	Pflaume	Gūf	gūf	guf	Glufe	Gǟiß	gǟiß	geis	Geiß	Stubamuck	stubamuck	stubemuk	Stubenmücke
28	Co c 13	7.32094	48.14982	maurer	Ōmeis	ōmeis	ameise	Ameise	Licht	licht	licht	Li(e)cht	Dissl (f)	dissl	disl	Deichsel	Åtzl	åtzl	atsel	Atzel	Flaadrmüs	flaadrmüs	fladermüs	Fledermaus	Gugumr	gugumr	gugummer	Gugummer	Bud	bud	butt	Butte	Hewåmm	hewåmm	hewamm	Hebamme	Hardepfel	hardepfel	hardäpfel	Erdäpfel	Scharrniarla, Mülwalfr	mülwalfr, scharrniarla	mülwalfer, scharnieler	Maulwerfer, Schärnuler	Pflüm	pflüm	pflüm	Pflaume	Gōf	gōf	gof	Glufe	Geihs	geiß	geis	Geiß	Muck	muck	muk	Mücke
29	Co c 2	7.29975	48.16568	maurer	åmeise	åmeise	ameise	Ameise	Licht	licht	licht	Li(e)cht	Lander	lander	lander	Lande	Elschter	elschter	elschter	Elster	Fladermüs	fladermüs	fladermüs	Fledermaus	Gugumer	gugumer	gugummer	Gugummer	Buda	buda	butte	Butte	Hewamm	hewamm	hewamm	Hebamme	Hardäpfel	hardäpfel	hardäpfel	Erdäpfel	Scharnialer	scharnialer	scharnieler	Schärnuler	Pflüm	pflüm	pflüm	Pflaume	Gūf	gūf	guf	Glufe	Geiß	geiß	geis	Geiß	Mucka	mucka	muke	Mücke
30	Co c 3	7.32264	48.15802	maurer	Omais	omais	ameise	Ameise	Licht	licht	licht	Li(e)cht	d' Dissl	dissl	disl	Deichsel	d Åtzl	åtzl	atsel	Atzel	d Fladrmüs	fladrmüs	fladermüs	Fledermaus	Goggumer	goggumer	gagummer	Gugummer	Butta	butta	butte	Butte	Hewåmm	hewåmm	hewamm	Hebamme	Hardäpfel	hardäpfel	hardäpfel	Erdäpfel	Schallnialr	schallnialr	schalnieler	Schärnuler	Pflüme	pflüme	pflüme	Pflaume	Guf	guf	guf	Glufe	Geis	geis	geis	Geiß	Mugg	mugg	muk	Mücke
31	Co c 4	7.27884	48.0862	maurer	Ōmaïse	ōmaïse	ameise	Ameise	Licht	licht	licht	Li(e)cht	Der Dissel	dissel	disl	Deichsel	die Agerscht	agerscht	agerscht	Agerst	Die Fladermüs	fladermüs	fladermüs	Fledermaus	Gugummer	gugummer	gugummer	Gugummer	die Butte	butte	butte	Butte	Hebamm	hebamm	hebamm	Hebamme	Hardepfel	hardepfel	hardäpfel	Erdäpfel	Scharnïeler	scharnïeler	scharnieler	Schärnuler	Pflüm	pflüm	pflüm	Pflaume	Guf	guf	guf	Glufe	die Geiss, die Muddel	geiss, muddel	geis, muddel	Geiß, Muddle	die Mūck	mūck	muk	Mücke
32	Co c 5	7.28497	48.10796	maurer	Ōmeis	ōmeis	ameise	Ameise	Līcht	līcht	licht	Li(e)cht	die Dissel	dissel	disl	Deichsel	die Atzel	atzel	atsel	Atzel	die Flädermǖs	flädermǖs	fledermüs	Fledermaus	Gugummer	gugummer	gugummer	Gugummer	die Butt	butt	butt	Butte	Hewamm	hewamm	hewamm	Hebamme	Härdepfel	härdepfel	herdäpfel	Erdäpfel	Schärnueler	schärnueler	schärnueler	Schärnuler	Pflüm	pflüm	pflüm	Pflaume	Gů̄f	gů̄f	guf	Glufe	die Geiß	geiß	geis	Geiß	die Muck	muck	muk	Mücke
33	Co c 6	7.27596	48.09972	maurer	åmeis	åmeis	ameise	Ameise	Licht	licht	licht	Li(e)cht	Dissel	dissel	disl	Deichsel	Åtzel	åtzel	atsel	Atzel	Fladermǖs 	fladermǖs 	fladermüs	Fledermaus	Gugumer	gugumer	gugummer	Gugummer	Butta	butta	butte	Butte	Häwang	häwang	hewang	Hebamme	Hardäpfel	hardäpfel	hardäpfel	Erdäpfel	Schallniēler	schallniēler	schalnieler	Schärnuler	Pflüm	pflüm	pflüm	Pflaume	Gōf	gōf	gof	Glufe	Geiß	geiß	geis	Geiß	Muck	muck	muk	Mücke
34	Co c 7	7.28695	48.13649	maurer	d' U̠meis 	u̠meis 	umeise	Ameise	Licht	licht	licht	Li(e)cht	d' Dissel	dissel	disl	Deichsel	d'Åtzel	åtzel	atsel	Atzel	d'Flādermǖs 	flādermǖs 	fladermüs	Fledermaus	Gúgumer	gúgumer	gugummer	Gugummer	d'Butt, d'Butta	butta, butt	butte, butt	Butte, Butte	Hewåmm	hewåmm	hewamm	Hebamme	Hárdäpfel	hárdäpfel	hardäpfel	Erdäpfel	Schārnialr	schārnialr	scharnieler	Schärnuler	Pflüm	pflüm	pflüm	Pflaume	Gūf	gūf	guf	Glufe	d'Gaiss	gaiss	geis	Geiß	d' Muck	muck	muk	Mücke
35	Co c 8 	7.32417	48.14496	maurer	Õmais	õmais	ameise	Ameise	Licht	licht	licht	Li(e)cht	Dissel	dissel	disl	Deichsel	Atzel	atzel	atsel	Atzel	Fladermüs	fladermüs	fladermüs	Fledermaus	Gugummer	gugummer	gugummer	Gugummer	Butt	butt	butt	Butte	Hewamm	hewamm	hewamm	Hebamme	Hardäpfel	hardäpfel	hardäpfel	Erdäpfel	Scharniêler	scharniêler	scharnieler	Schärnuler	Pflüm	pflüm	pflüm	Pflaume	Guf	guf	guf	Glufe	Geis	geis	geis	Geiß	Muck	muck	muk	Mücke
36	Co c 9	7.3035	48.13267	maurer	Omeis	omeis	ameise	Ameise	Licht	licht	licht	Li(e)cht	Dißel	dißel	disl	Deichsel	Oͣtzel	oͣtzel	atsel	Atzel	Fladermǖs 	fladermǖs 	fladermüs	Fledermaus	Gagummer	gagummer	gagummer	Gugummer	Budda	budda	butte	Butte	Hewamm	hewamm	hewamm	Hebamme	Hardepfel	hardepfel	hardäpfel	Erdäpfel	Scharnialer	scharnialer	scharnieler	Schärnuler	Pflüme	pflüme	pflüme	Pflaume	Gōf	gōf	gof	Glufe	Geiß	geiß	geis	Geiß	Muck	muck	muk	Mücke
37	Co C1	7.86115	47.84975	maurer	d' Ōmeise, Chlamere	chlamere, ōmeise	chlammere, ameise	Klammere (große Waldameise), Ameise	Lichd	lichd	licht	Li(e)cht	Dissle	dissle	disle	Deichsel	d'Elschder	elschder	elschter	Elster	d'Fledermus	fledermus	fledermus	Fledermaus	Gugumere	gugumere	gugummere	Gugummer	d'Budderbeer	budderbeer	butterbeer	Butterbeere	Hebann	hebann	hebann	Hebamme	Herdäpfel	herdäpfel	herdäpfel	Erdäpfel	Schärmus (Schǟr)	schärmus, schǟr	schärmus, schär	Schärmaus, Schär	Pflume	pflume	pflume	Pflaume	Güfli	güfli	güfli	Glifle	d'Geiß	geiß	geis	Geiß	d' Fliege	fliege	fliege	Fliege
38	Co C10	7.87525	47.8938	maurer	Omaise	omaise	ameise	Ameise	Līchd	līchd	licht	Li(e)cht	Disle	disle	disle	Deichsel	Elschder	elschder	elschter	Elster	Flädermūs	flädermūs	fledermus	Fledermaus	Gugummere	gugummere	gugummere	Gugummer	Hāgebutze	hāgebutze	hagebutze	Hagebutte	Heban	heban	hebann	Hebamme	Härdöpfel	härdöpfel	herdöpfel	Erdäpfel	Schērmūs	schērmūs	schermus	Schärmaus	Pflūme	pflūme	pflume	Pflaume	Gūfe	gūfe	gufe	Glufe	Gaiß	gaiß	geis	Geiß	Fliege	fliege	fliege	Fliege
39	Co C11	7.97372	47.84091	maurer	Omeise	omeise	ameise	Ameise	Licht	licht	licht	Li(e)cht	Diechsla	diechsla	diegsle	Deichsel	Elster	elster	elschter	Elster	Fledermus	fledermus	fledermus	Fledermaus	Gugummra	gugummra	gugummere	Gugummer	Hagebutza	hagebutza	hagebutze	Hagebutte	Hebann	hebann	hebann	Hebamme	Härdäpfel	härdäpfel	herdäpfel	Erdäpfel	Scherrmus	scherrmus	schermus	Schärmaus	Pfluma	pfluma	pflume	Pflaume	Gufa	gufa	gufe	Glufe	Geiß	geiß	geis	Geiß	Fliega	fliega	fliege	Fliege
