	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_maurer_align	item_DWA	item_DWA_align	Levenshtein_item
491	TÜB p11	III_10_0065	Nesselried, Nesselried	8.00608, 48.52212	lichd	l i ch d	liicht	l ii ch t	2
492	KST L1	III_5_0111	Bühl (Buhl), Bühl	8.00666, 48.91753	leich	l ei ch	leicht	l ei ch t	1
493	TÜB a1	III_8_0098	Lichtenau, Lichtenau	8.00691, 48.72636	līscht	l ī sch t	licht	l i ch t	2
494	KST S9	III_7_0118	Greffern, Greffern	8.00704, 48.7525	līch	l ī ch	lich	l i ch	1
495	TUTT p4	III_13_0155	Buchenbach, Buchenbach	8.00773, 47.96134	līchd	l ī ch d	liicht	l ii ch t	3
496	TUTT L6	III_15_0090	Grossherrischwand, Grossherrischwand	8.01017, 47.6797	lichd	l i ch d	liech	l ie ch	2
497	TÜB h8	III_9_0097	Renchen, Renchen	8.01285, 48.58724	liecht	l ie ch t	lich	l i ch	2
498	TÜB w1/1, TÜB w1/2	III_10_0135	Durbach, Durbach	8.01775, 48.49407	lich	l i ch	licht	l i ch t	1
499	TÜB h1/2, TÜB h1/1	III_9_0103	Gamshurst, Gamshurst	8.0187, 48.66413	līchd	l ī ch d	licht	l i ch t	2
500	TÜB p12	III_10_0068	Nussbach, Nussbach	8.02103, 48.53543	licht	l i ch t	leiche	l ei ch e	2
501	TUTT a2	III_12_0143	Niederwinden, Niederwinden	8.02152, 48.14244	līcht	l ī ch t	lich	l i ch	2
502	TÜB S2, TÜB S1	III_12_0058	Biederbach, Ober- und Unterbiederbach, Unterbiederbach	8.02694, 48.2183	līcht	l ī ch t	lichd	l i ch d	2
503	TÜB h7	III_9_0098	Önsbach, Oensbach	8.03279, 48.60579	līchd	l ī ch d	liicht	l ii ch t	3
504	TÜB S3	III_12_0059	Katzenmoos, Katzenmoos	8.03332, 48.167	licht	l i ch t	liech	l ie ch	2
505	TÜB p14	III_10_0070	Stadelhofen, Stadelhofen	8.03555, 48.55945	licht	l i ch t	liicht	l ii ch t	1
506	KST L10	III_6_0093, III_6_0092	Forstfeld, Forstfeld	8.03702, 48.859	lichd	l i ch d	licht	l i ch t	1
507	TUTT Sa4	III_17_0059	Niederhof, Niederhof	8.03951, 47.56938	liech	l ie ch	liicht	l ii ch t	2
508	KST S4	III_7_0109	Röschwoog (Roeschwoog), Röschwoog	8.04001, 48.83085	licht	l i ch t	liicht	l ii ch t	1
509	TUTT a1	III_12_0144	Oberwinden, Oberwinden	8.04318, 48.15444	licht	l i ch t	liach	l i a ch	2
510	TUTT p2	III_13_0154	Wagensteig, Wagensteig	8.04607, 47.98466	licht	l i ch t	liecht	l ie ch t	1
511	TUTT a4	III_12_0148, III_12_0147, III_12_0149	Simonswald, Untersimonswald	8.04838, 48.10278	licht	l i ch t	liecht	l ie ch t	1
512	TÜB h2	III_9_0087, III_9_0088	Großweier, Grossweier	8.0487, 48.65502	lich	l i ch	liecht	l ie ch t	2
513	KST S8	III_7_0117, III_7_0116, III_7_0115	Stollhofen, Stollhofen	8.04874, 48.76575	licht	l i ch t	lich	l i ch	1
514	TÜB p1	III_10_0072	Ulm Kr. Offenburg, Ulm	8.05069, 48.57993	liecht	l ie ch t	licht	l i ch t	1
515	KST S7	III_7_0114	Söllingen, Söllingen	8.05486, 48.78147	līch	l ī ch	lich	l i ch	1
516	TÜB p2	III_10_0073	Haslach, Haslach	8.05661, 48.56552	līcht	l ī ch t	licht	l i ch t	1
517	KST S6	III_7_0110	Ludwigsfeste (bei Roeschwoog) (Fort-Louis), Fort-Louis, Ludwigsfeste	8.05803, 48.80321	liecht	l ie ch t	licht	l i ch t	1
518	TÜB a14	III_8_0104	Unzhurst, Unzhurst	8.05808, 48.68815	lich	l i ch	liech	l ie ch	1
519	TÜB a4	III_8_0103	Hildmannsfeld, Hildmannsfeld	8.05893, 48.73423	liech	l ie ch	lich	l i ch	1
520	TÜB L2	III_11_0133	Unterentersbach, Unterentersbach	8.05965, 48.32962	līcht	l ī ch t	licht	l i ch t	1
521	TÜB h5	III_9_0091, III_9_0090	Achern, Achern	8.06363, 48.62871	līch	l ī ch	liecht	l ie ch t	3
522	KST D9	III_5_0124	Oberlauterbach, Oberlauterbach	8.07041, 48.94851	leich	l ei ch	leicht	l ei ch t	1
523	TÜB L9	III_11_0143	Hofstetten, Hofstetten	8.0713, 48.26094	liiche	l ii ch e	lich	l i ch	2
524	TÜB S4	III_12_0055, III_12_0056, III_12_0057	Elzach, Elzach	8.07142, 48.17331	līcht	l ī ch t	licht	l i ch t	1
525	KST D2	III_5_0122	Salmbach (bei Weißenburg), Salmbach	8.07143, 48.97818	laicht	l a i ch t	leicht	l ei ch t	1
526	TÜB h3	III_9_0089	Sasbachried, Sasbachried	8.08648, 48.65688	liicht	l ii ch t	lich	l i ch	2
527	TÜB w2	III_10_0066, III_10_0067	Ödsbach, Oedsbach	8.08784, 48.49713	lĭchd	l ĭ ch d	lich	l i ch	2
528	TÜB p4	III_10_0074	Ringelbach, Ringelbach	8.08834, 48.55764	lich	l i ch	licht	l i ch t	1
529	TÜB L3	III_11_0134	Oberentersbach, Oberentersbach	8.09119, 48.32718	liecht	l ie ch t	licht	l i ch t	1
530	TÜB h4	III_9_0092	Sasbach , Sasbach	8.09181, 48.63896	līcht	l ī ch t	liecht	l ie ch t	2
531	TUTT h3, TUTT p1	III_13_0081, III_13_0080, III_13_0078, III_13_0079	St. Märgen-Schweighöfe, St. Märgen, St. Märgen	8.09239, 48.00756	līcht	l ī ch t	liecht	l ie ch t	2
532	TUTT a6	III_12_0145	Yach, Yach	8.0932, 48.15752	līcht	l ī ch t	licht	l i ch t	1
533	TUTT h7	III_13_0075	Obersimonswald, Obersimonswald	8.09331, 48.0797	licht	l i ch t	liicht	l ii ch t	1
534	TUTT w3	III_14_0072	Bärental, Bärental	8.0952, 47.86975	liiht	l ii h t	liicht	l ii ch t	1
535	KST S10	III_7_0120	Leiberstung, Lieberstung	8.09585, 48.75131	līch	l ī ch	lich	l i ch	1
536	TUTT L2	III_15_0110	Wittenschwand, Wittenschwand	8.10083, 47.72846	līchet	l ī ch e t	liecht	l ie ch t	3
537	KST D8	III_5_0114	Winzenbach (Winthenbach), Winzenbach	8.1038, 48.9341	laicht	l a i ch t	leichd	l ei ch d	2
538	KST L4	III_6_0089	Selz (Seltz), Selz	8.10383, 48.89457	leicht	l ei ch t	leiche	l ei ch e	1
539	KST D3/1, KST D3/3, KST D3/2	III_5_0121	Niederlauterbach, Niederlauterbach	8.10398, 48.97233	leicht	l ei ch t	leich	l ei ch	1
540	TÜB h11	III_9_0100	Obersasbach, Obersasbach	8.10713, 48.63223	lich	l i ch	leiche	l ei ch e	2
541	TUTT w6	III_14_0074	Altglashütten, Altglashütten	8.11016, 47.85701	liech	l ie ch	licht	l i ch t	2
542	TÜB L4	III_11_0137	Fischerbach, Fischerbach	8.11097, 48.28707	līcht	l ī ch t	licht	l i ch t	1
543	TÜB p8	III_10_0076	Lautenbach, Lautenbach	8.11439, 48.52093	liech	l ie ch	licht	l i ch t	2
544	TÜB h15	III_9_0101, III_9_0102	Kappelrodeck, Kappelrodeck	8.11791, 48.59087	licht	l i ch t	liecht	l ie ch t	1
545	TÜB S5, TÜB S6	III_12_0063, III_12_0062, III_12_0061, III_12_0064	Unterprechtal, Oberprechtal, Unterprechtal, Oberprechtal	8.12114, 48.20548	lich	l i ch	līcht	l ī ch t	2
546	TUTT L1	III_15_0112	Urberg, Urberg	8.12409, 47.73478	liich	l ii ch	liech	l ie ch	1
547	TÜB D2/2, TÜB D3, TÜB D2/1, TÜB E1	III_11_0076	Oberharmersbach, Oberharmersbach	8.12723, 48.37386	lichd	l i ch d	licht	l i ch t	1
548	TÜB a9	III_8_0099	Weitenung, Weitenung	8.12886, 48.73998	lichch	l i ch ch	liech	l ie ch	2
