	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_maurer_align	item_DWA	item_DWA_align	Levenshtein_item
331	Stra H 11/2, Stra H 11/1	III_11_0022, III_11_0023	Epfig, Epfig	7.4655, 48.35803	åtzel	å tz e l	ahzel	a h z e l	2
332	Stra H 11/2, Stra H 11/1	III_11_0022, III_11_0023	Epfig, Epfig	7.4655, 48.35803	åtzel	å tz e l	a̽tzel	a ̽ tz e l	2
333	Hag V 1/1, Hag V 1/2	III_7_0041	Buchsweiler (Bouxwiller), Buchsweiler	7.47851, 48.82528	ātzel	ā tz e l	atzel	a tz e l	1
334	Hag V 1/1, Hag V 1/2	III_7_0041	Buchsweiler (Bouxwiller), Buchsweiler	7.47851, 48.82528	åtzel	å tz e l	atzel	a tz e l	1
335	Stra J 12	III_11_0037	Kogenheim, Kogenheim	7.5423, 48.33798	atzl	a tz l	atzel	a tz e l	1
336	Stra J 12	III_11_0037	Kogenheim, Kogenheim	7.5423, 48.33798	atzleͣ	a tz l e ͣ	atzel	a tz e l	2
337	Hag P 16	III_6_0061, III_6_0062	Zutzendorf, Zutzendorf	7.54972, 48.85428	åtzl	å tz l	àtzel	à tz e l	2
338	Hag P 16	III_6_0061, III_6_0062	Zutzendorf, Zutzendorf	7.54972, 48.85428	åtzl	å tz l	atzel	a tz e l	2
339	Stra n 14	III_9_0036, III_9_0035	Quatzenheim, Quatzenheim	7.57372, 48.62636	åtzl	å tz l	atzel	a tz e l	2
340	Stra n 14	III_9_0036, III_9_0035	Quatzenheim, Quatzenheim	7.57372, 48.62636	åtzl	å tz l	åtzel	å tz e l	1
341	Stra n 17, Stra n 18	III_9_0031	Ittenheim, Ittenheim	7.59542, 48.60404	åtzel	å tz e l	adsel	a d s e l	3
342	Hag P 15	III_6_0057	Kindweiler, Kindweiler	7.59731, 48.86227	åtzel	å tz e l	atzl	a tz l	2
343	Hag P 15	III_6_0057	Kindweiler, Kindweiler	7.59731, 48.86227	åtzel	å tz e l	aotzl	a o tz l	3
344	Hag H 2/3, Hag H 2/1, Hag H 2/2	III_5_0066, III_5_0067	Niederbronn (GID von Niederbronn les bains), Bad-Niederbronn (Niederbronn-Les-Bains), Bad-Niederbronn	7.64282, 48.95108	aztel	a z t e l	atzel	a tz e l	2
345	Hag H 2/3, Hag H 2/1, Hag H 2/2	III_5_0066, III_5_0067	Niederbronn (GID von Niederbronn les bains), Bad-Niederbronn (Niederbronn-Les-Bains), Bad-Niederbronn	7.64282, 48.95108	åtzel	å tz e l	atzel	a tz e l	1
346	Stra v 8	III_10_0032	Holzheim, Holzheim	7.64383, 48.55724	åtzel	å tz e l	o̊tzel	o ̊ tz e l	2
347	Hag H 3	III_5_0064, III_5_0065	Reichshofen (Reichshoffen), Reichshofen, Reichshofen-Werk	7.66338, 48.93223	ātzel	ā tz e l	atzel	a tz e l	1
348	Hag H 3	III_5_0064, III_5_0065	Reichshofen (Reichshoffen), Reichshofen, Reichshofen-Werk	7.66338, 48.93223	ātzel	ā tz e l	azel	a z e l	2
349	Hag X 3/2, Hag X 3/1	III_7_0082	Schweighausen (Schweighouse-Sur-Moder), Schweighausen	7.73517, 48.82151	atzel	a tz e l	otzel	o tz e l	1
350	Stra o 11	III_9_0065, III_9_0060, III_9_0059, III_9_0057, III_9_0063, III_9_0066, III_9_0071, III_9_0073, III_9_0062, III_9_0072, III_9_0070, III_9_0074, III_9_0067, III_9_0068, III_9_0061, III_9_0058, III_9_0064	Straßburg, Straßburg	7.73609, 48.58523	åtzel	å tz e l	atsel	a t s e l	2
351	Stra o 11	III_9_0065, III_9_0060, III_9_0059, III_9_0057, III_9_0063, III_9_0066, III_9_0071, III_9_0073, III_9_0062, III_9_0072, III_9_0070, III_9_0074, III_9_0067, III_9_0068, III_9_0061, III_9_0058, III_9_0064	Straßburg, Straßburg	7.73609, 48.58523	åtzel	å tz e l	ãtzel	ã tz e l	1
352	Stra o 11	III_9_0065, III_9_0060, III_9_0059, III_9_0057, III_9_0063, III_9_0066, III_9_0071, III_9_0073, III_9_0062, III_9_0072, III_9_0070, III_9_0074, III_9_0067, III_9_0068, III_9_0061, III_9_0058, III_9_0064	Straßburg, Straßburg	7.73609, 48.58523	åtzel	å tz e l	atzel	a tz e l	1
353	Stra S 1	III_11_0119	Mietersheim, Mietersheim	7.83797, 48.32639	azl	a z l	atzel	a tz e l	2
354	Stra S 1	III_11_0119	Mietersheim, Mietersheim	7.83797, 48.32639	aozl	a o z l	atzel	a tz e l	2
355	Hag K 20	III_5_0086	Drachenbronn, Drachenbronn	7.87037, 48.98626	åzl	å z l	åtzel	å tz e l	2
356	Hag K 20	III_5_0086	Drachenbronn, Drachenbronn	7.87037, 48.98626	åzel	å z e l	åtzel	å tz e l	1
357	Stra w 9/2, Stra w 9/1	III_10_0058	Hesselhurst, Hesselhurst	7.88114, 48.52042	atzel	a tz e l	o͜atzl	o ͜ a tz l	3
358	Stra w 9/2, Stra w 9/1	III_10_0058	Hesselhurst, Hesselhurst	7.88114, 48.52042	aotzl	a o tz l	o͜atzl	o ͜ a tz l	3
359	Hag R 1, Hag K 11 R 1	III_5_0102	Kühlendorf (Kuhlendorf), Kühlendorf (Kuhlendorf) und Hohweiler, Hohweiler	7.92307, 48.91408	åtzel	å tz e l	oatzel	o a tz e l	2
360	Stra p 1	III_9_0085	Rheinbischofsheim, Rheinbischofsheim	7.92904, 48.65493	atzel	a tz e l	adsl	a d s l	3
361	Stra p 1	III_9_0085	Rheinbischofsheim, Rheinbischofsheim	7.92904, 48.65493	atzel	a tz e l	atzl	a tz l	1
362	KST S2	III_7_0108	Auenheim, Auenheim	8.00818, 48.81256	atzl	a tz l	atzel	a tz e l	1
363	TÜB h1/2, TÜB h1/1	III_9_0103	Gamshurst, Gamshurst	8.0187, 48.66413	adsel	a d s e l	atzel	a tz e l	2
364	TÜB h1/2, TÜB h1/1	III_9_0103	Gamshurst, Gamshurst	8.0187, 48.66413	atzl	a tz l	atzel	a tz e l	1
365	KST L10	III_6_0093, III_6_0092	Forstfeld, Forstfeld	8.03702, 48.859	åtzel	å tz e l	atsel	a t s e l	2
366	TÜB w2	III_10_0066, III_10_0067	Ödsbach, Oedsbach	8.08784, 48.49713	atzl	a tz l	azl	a z l	1
367	TÜB w2	III_10_0066, III_10_0067	Ödsbach, Oedsbach	8.08784, 48.49713	atzl	a tz l	azel	a z e l	2
368	TÜB D2/2, TÜB E1, TÜB D2/1	III_11_0077, III_11_0076	Oberharmersbach, Oberharmersbach	8.12723, 48.37386	adzel	a d z e l	atzel	a tz e l	1
369	TÜB D2/2, TÜB E1, TÜB D2/1	III_11_0077, III_11_0076	Oberharmersbach, Oberharmersbach	8.12723, 48.37386	atzl	a tz l	atzel	a tz e l	1
370	KST D7	III_5_0116, III_5_0115	Münchhausen (Munchhausen), Münchhausen	8.14635, 48.92142	atzel	a tz e l	ātzel	ā tz e l	1
371	KST M10/1, KST M10/2	III_6_0109	Rastatt, Rastatt	8.20142, 48.8573	atzl	a tz l	atzel	a tz e l	1
372	KST r2	III_20_0003, III_20_0004	Hochstetten, Hochstetten	8.41566, 49.13702	hatzel	h a tz e l	atzel	a tz e l	1
373	KST k2	III_19_0007, III_19_0006, III_19_0004, III_19_0005	Philippsburg, Philippsburg	8.45298, 49.235	atzel	a tz e l	atzl	a tz l	1
374	TÜB U2	III_31_0005, III_31_0006	Weiler/Villingen, Tennenbronn	8.46043, 48.17227	hätzl	h ä tz l	ätzel	ä tz e l	2
375	Ma h1/2	II_59_0061, II_59_0044, II_59_0040, II_59_0058, II_59_0052, II_59_0049, II_59_0047, II_59_0060, II_59_0039	Mannheim, Mannheim	8.46678, 49.4865	atzel	a tz e l	atzl	a tz l	1
376	KST c2	III_18_0014, III_18_0013, III_18_0011, III_18_0012	Oberhausen, Oberhausen	8.48324, 49.26035	hatzel	h a tz e l	hatzl	h a tz l	1
377	KST c2	III_18_0014, III_18_0013, III_18_0011, III_18_0012	Oberhausen, Oberhausen	8.48324, 49.26035	hatzel	h a tz e l	hazl	h a z l	2
378	KST l9	III_19_0011, III_19_0012, III_19_0009, III_19_0010	Neudorf, Neudorf	8.49692, 49.17524	atzl	a tz l	atzel	a tz e l	1
379	KST s7	III_20_0015, III_20_0014, III_20_0013	Staffort, Staffort	8.51034, 49.09079	hatzl	h a tz l	hatzel	h a tz e l	1
380	KST z8	III_21_0012, III_21_0011, III_21_0013, III_21_0010, III_21_0009	Weingarten, Weingarten	8.53114, 49.0533	hatzel	h a tz e l	hatzl	h a tz l	1
381	KST z8	III_21_0012, III_21_0011, III_21_0013, III_21_0010, III_21_0009	Weingarten, Weingarten	8.53114, 49.0533	hatzel	h a tz e l	atzel	a tz e l	1
382	KST G1	III_22_0010, III_22_0013, III_22_0012	Söllingen, Söllingen	8.5425, 48.98622	hatzel	h a tz e l	hatzl	h a tz l	1
383	KST s2	III_20_0019, III_20_0018	Bruchsal (Forstamt), Bruchsal	8.60102, 49.12377	atzel	a tz e l	harzl	h a r z l	3
384	KST l4	III_19_0018, III_19_0017, III_19_0020, III_19_0019	Mingolsheim, Mingolsheim	8.65316, 49.21986	hatzel	h a tz e l	hatzl	h a tz l	1
385	KST A6	III_21_0023	Diedelsheim, Diedelsheim	8.67848, 49.04109	hatzel	h a tz e l	atzel	a tz e l	1
386	MH J3/1, MH J3/2	II_59_0077	Handschuhsheim, Heidelberg-Handschuhsheim, Heidelberg-Handschuhsheim	8.68613, 49.42774	atzl	a tz l	atzel	a tz e l	1
387	MH R5, MH R4	II_60_0042	Leimen, Leimen	8.68891, 49.34902	atzel	a tz e l	atzl	a tz l	1
388	KST t7	III_20_0037, III_20_0039, III_20_0035	Flehingen , Flehingen	8.78694, 49.0869	etzel	e tz e l	hetzel	h e tz e l	1
389	KST t7	III_20_0037, III_20_0039, III_20_0035	Flehingen , Flehingen	8.78694, 49.0869	etzel	e tz e l	hätzel	h ä tz e l	2
390	KST m6	III_19_0033	Waldangelloch, Waldangelloch	8.80551, 49.21046	hatzl	h a tz l	atzl	a tz l	1
391	KST f1	III_18_0041, III_18_0037, III_18_0039, III_18_0040, III_18_0038	Eschelbronn, Eschelbronn	8.86825, 49.3202	atzel	a tz e l	atsel	a t s e l	1
392	KST f1	III_18_0041, III_18_0037, III_18_0039, III_18_0040, III_18_0038	Eschelbronn, Eschelbronn	8.86825, 49.3202	atzel	a tz e l	atzl	a tz l	1
393	KST f8	III_18_0047, III_18_0046	Sinsheim, Sinsheim	8.87357, 49.25387	atzel	a tz e l	azzel	a zz e l	1
394	KST f3	III_18_0049, III_18_0050	Waibstadt, Waibstadt	8.9198, 49.29982	atzel	a tz e l	atzl	a tz l	1
395	MH T8, MH S8	II_60_0065	Aglasterhausen, Aglasterhausen-Daudenzell, Aglasterhausen	8.98981, 49.35471	atzl	a tz l	atzel	a tz e l	1
396	MH C3	II_58_0110	Scheidental, Scheidental	9.15106, 49.50744	azzel	a zz e l	atzel	a tz e l	1
397	MH C3	II_58_0110	Scheidental, Scheidental	9.15106, 49.50744	azzl	a zz l	atzel	a tz e l	2
