	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_DWA	Levenshtein_item	phontype_maurer	phontype_DWA	Levenshtein_phontype	lextype_maurer	lextype_DWA	Levenshtein_lextype
44	na	III_11_0042	Ottenheim	7.75477, 48.38593	na	juckpulver	999	na	jukpulver	999	na	Juckpulver	999
45	na	III_11_0043	Kürzell	7.81571, 48.38829	na	juckpulver	999	na	jukpulver	999	na	Juckpulver	999
46	na	III_6_0080, III_6_0081	Schwabweiler	7.87665, 48.90207	na	juckpulver	999	na	jukpulver	999	na	Juckpulver	999
47	na	III_11_0130	Wittelbach	7.95069, 48.29243	na	juckpulver	999	na	jukpulver	999	na	Juckpulver	999
48	na	III_8_0095	Helmlingen	7.9656, 48.70959	na	juckpulver	999	na	jukpulver	999	na	Juckpulver	999
49	na	III_8_0098	Lichtenau	8.00691, 48.72636	na	jockbulver	999	na	jokpulver	999	na	Juckpulver	999
50	na	III_11_0126	Schönberg	8.0327, 48.36461	na	jugpulfer	999	na	jukpulver	999	na	Juckpulver	999
51	na	III_10_0073	Haslach	8.05661, 48.56552	na	juckpulver	999	na	jukpulver	999	na	Juckpulver	999
52	na	III_9_0099	Oberachern	8.08066, 48.6193	na	juckpulver	999	na	jukpulver	999	na	Juckpulver	999
53	na	III_7_0122	Halberstung	8.14298, 48.76025	na	juckpulver	999	na	jukpulver	999	na	Juckpulver	999
54	na	III_6_0104, III_6_0105	Muggenturm	8.2763, 48.87021	na	juckpulver	999	na	jukpulver	999	na	Juckpulver	999
55	na	III_23_0007	Schluttenbach	8.40022, 48.89885	na	juckpulver	999	na	jukpulver	999	na	Juckpulver	999
56	na	III_20_0016	Karlsdorf	8.54164, 49.1363	na	juckpulver	999	na	jukpulver	999	na	Juckpulver	999
57	na	II_60_0060	Reichartshausen	8.94509, 49.35547	na	juckpulver	999	na	jukpulver	999	na	Juckpulver	999
58	na	II_60_0061	Michelbach	8.96532, 49.37259	na	juckbulver	999	na	jukpulver	999	na	Juckpulver	999
59	na	III_18_0060	Obergimpern	9.04013, 49.25574	na	juckpulver	999	na	jukpulver	999	na	Juckpulver	999
