	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_DWA	Levenshtein_item	phontype_maurer	phontype_DWA	Levenshtein_phontype	lextype_maurer	lextype_DWA	Levenshtein_lextype
1451	KST E2	na	Neuburgweier	8.26776, 48.96981	deisl	na	999	deisl	na	999	Deichsel	na	999
1452	TUTT q4	III_13_0160	Eisenbach, Eisenbach	8.26837, 47.96084	diesel	diesel	0	diesl	diesl	0	Deichsel	Deichsel	0
1453	KST E5	III_5_0132, III_5_0133	Durmersheim, Durmersheim	8.2685, 48.93129	dissel	dissel	0	disl	disl	0	Deichsel	Deichsel	0
1454	KST T7	III_7_0132	Ebersteinburg, Ebersteinburg	8.26889, 48.77997	dissel	dissel	0	disl	disl	0	Deichsel	Deichsel	0
1455	TÜB M9	III_11_0151	Halbmeil, Halbmeil	8.27063, 48.29042	diesel	diesel	0	diesl	diesl	0	Deichsel	Deichsel	0
1456	TÜB i2	III_9_0105	Forbach-Hundsbach, Forbach-Hundsbach	8.27064, 48.62026	dissel	dissel	0	disl	disl	0	Deichsel	Deichsel	0
1457	KST T2	na	Oberndorf	8.27573, 48.82868	dissel	na	999	disl	na	999	Deichsel	na	999
1458	KST M4	III_6_0104, III_6_0105	Muggensturm, Muggenturm	8.2763, 48.87021	deisl	dissel	3	deisl	disl	1	Deichsel	Deichsel	0
1459	TUTT T9	III_16_0155	Tiengen, Thiengen	8.28181, 47.63443	diechsle, diehsle	diechsle	0	diesle, diegsle	diegsle	0	Deichsel	Deichsel	0
1460	KST M7	na	Bischweier	8.28478, 48.83768	dissel	na	999	disl	na	999	Deichsel	na	999
1461	TUTT M7	III_15_0115	Hürrlingen, Hürrlingen	8.28505, 47.72465	diechsle	diechsel	2	diegsle	diegsl	1	Deichsel	Deichsel	0
1462	KST E4	III_5_0137, III_5_0136, III_5_0138	Mörsch, Mörsch	8.28883, 48.96003	deisel	deisel	0	deisl	deisl	0	Deichsel	Deichsel	0
1463	TÜB E3	III_11_0081	Schapbach, Schapbach	8.28904, 48.37778	diesl	diesl	0	diesl	diesl	0	Deichsel	Deichsel	0
1464	TUTT q6	na	Oberbränd	8.2909, 47.94957	diesel	na	999	diesl	na	999	Deichsel	na	999
1465	TUTT M8	III_15_0116	Riedern im Wald, Riedern	8.29113, 47.71786	diëchsle	diechsel	3	diegsle	diegsl	1	Deichsel	Deichsel	0
