	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_maurer_align	item_DWA	item_DWA_align	Levenshtein_item
446	Hag Y 7	III_7_0102	Rohrwiller, Rohrweiler	7.90543, 48.75592	muck	m u ck	mogge	m o gg e	4
447	Hag Y 3	III_7_0097, III_7_0096	Schirrhein, Schirrhein	7.90562, 48.80154	muck	m u ck	mücke	m ü ck e	2
448	co g 7	III_12_0137	Sexau, Sexau	7.90788, 48.10424	mucke	m u ck e	mugge	m u gg e	2
449	Stra D 15	III_10_0119	Hofweier, Hofweier	7.90797, 48.42392	mukke	m u kk e	muck	m u ck	2
450	Hag C 1	III_4_0100	Weißenburg-Weiler, Weissenburg-Weiler	7.91271, 49.0377	muk	m u k	migge	m i gg e	4
451	Hag C 4	III_4_0091	Rott, Rott	7.91304, 49.02495	miecke	m ie ck e	muck	m u ck	3
452	Stra p 6	III_9_0083	Holzhausen, Holzhausen	7.92018, 48.62595	mugg	m u gg	mugge	m u gg e	1
453	Stra w 12	III_10_0059	Sand, Sand	7.92148, 48.53823	muk	m u k	muck	m u ck	1
454	Stra S 4	III_11_0122	Reichenbach (Gengb.), Reichenbach	7.9231, 48.33196	muckä	m u ck ä	muck	m u ck	1
455	Stra w 8	III_10_0064	Griesheim, Griesheim	7.924, 48.51041	muck	m u ck	mucke	m u ck e	1
456	Stra p 1	III_9_0085	Rheinbischofsheim, Rheinbischofsheim	7.92904, 48.65493	moack	m o a ck	mugg	m u gg	4
457	Stra D 4	III_10_0129	Bühl, Bühl	7.93242, 48.4947	muck	m u ck	mugge	m u gg e	3
458	Hag K 3	III_5_0092	Ingolsheim, Ingolsheim	7.93636, 48.97357	mick	m i ck	muck	m u ck	1
459	Stra S 6	III_11_0128, III_11_0129, III_11_0127	Seelbach, Seelbach	7.94104, 48.30987	müg	m ü g	muck	m u ck	3
460	Hag K 5	III_5_0097	Hunspach, Hunspach	7.94316, 48.9536	meck	m e ck	muck	m u ck	1
461	Stra D 8	III_10_0128, III_10_0127	Offenburg, Offenburg	7.9447, 48.47195	mugge	m u gg e	mucke	m u ck e	2
462	Stra D 14	III_10_0120	Zunsweier, Zunsweier	7.94627, 48.42199	mucke	m u ck e	mugge	m u gg e	2
463	Stra D 5	III_10_0060	Bohlsbach, Bohlsbach	7.94796, 48.49264	muck	m u ck	mugg	m u gg	2
464	Stra S 7	III_11_0130	Wittelbach, Wittelbach	7.95069, 48.29243	mugg	m u gg	muk	m u k	2
465	Hag K 1	III_5_0088	Riedselz (Riedseltz), Riedselz	7.95195, 48.99281	mick	m i ck	mücke	m ü ck e	2
466	Co o 5	III_13_0068	Oberglottertal, Oberglottertal	7.96407, 48.04803	mugge	m u gg e	mucke	m u ck e	2
467	Stra D 6	III_10_0126	Rammersweier, Rammersweier	7.96625, 48.48439	mugge	m u gg e	muck	m u ck	3
468	Stra Z 3	III_12_0050	Schweighausen, Schweighausen	7.96799, 48.22021	mugge	m u gg e	muck	m u ck	3
469	Stra w 4	III_10_0054, III_10_0053	Urloffen, Urloffen	7.96889, 48.557	mugg	m u gg	muck	m u ck	2
470	Hag C 3	III_4_0099	Altenstadt, Altenstadt	7.96964, 49.03158	mick	m i ck	micke	m i ck e	1
471	Stra D 11	III_10_0123	Ortenberg, Ortenberg	7.97048, 48.45192	muck	m u ck	mugg	m u gg	2
