	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_maurer_align	item_DWA	item_DWA_align	Levenshtein_item
119	TUTT L11	III_15_0102	Immeneich, Immeneich	8.12543, 47.69719	flüge	f l ü g e	fluge	f l u g e	1
120	TUTT S14	III_16_0143	Birndorf, Birndorf	8.13384, 47.62519	flügä	f l ü g ä	flüge	f l ü g e	1
121	TUTT S12	III_16_0135	Unteralpfen, Unteralpfen	8.13573, 47.64543	flǖge	f l ü ̄ g e	flüge	f l ü g e	1
122	TUTT h6	III_13_0076	Gütenbach, Gütenbach	8.13807, 48.04398	fliĕg	f l i ĕ g	fliěg	f l i ě g	1
123	TUTT L15	III_15_0108	Tiefenhäusern, Tiefenhäusern	8.14547, 47.70277	flügen	f l ü g e n	flüge	f l ü g e	1
124	TUTT S13	III_16_0169	Birkingen, Birkingen	8.1477, 47.62511	flüege	f l ü e g e	flüge	f l ü g e	1
125	TUTT S11	III_16_0136	Oberalpfen, Oberalpfen	8.15262, 47.65791	flǖge	f l ü ̄ g e	flüge	f l ü g e	1
126	TUTT M2	III_15_0113, III_15_0129	Höchenschwand, Höchenschwand	8.16491, 47.73427	flǖge	f l ü ̄ g e	flüge	f l ü g e	1
127	TUTT M1	III_15_0120	Attlisberg, Attlisberg	8.16607, 47.72173	flǖge	f l ü ̄ g e	flüge	f l ü g e	1
128	TUTT L14, TUTT L13	III_15_0123	Bannholz, Remetschwiel und Bannholz, Bannholz	8.167, 47.67614	flüege	f l ü e g e	flüge	f l ü g e	1
129	TUTT T4	III_16_0147	Waldkirch, Waldkirch	8.17132, 47.65851	fliege	f l ie g e	flügə	f l ü g ə	3
130	TUTT T6	III_16_0157	Dogern, Dogern	8.17239, 47.60884	fliege	f l ie g e	flüge	f l ü g e	2
131	TUTT i5	III_13_0093	Neukirch, Neukirch	8.17383, 48.02447	flieg	f l ie g	fliag	f l i a g	1
132	TUTT D3	III_14_0175	Blasiwald (Am Schluchsee), Blasiwald	8.17706, 47.7987	flüge	f l ü g e	fliege	f l ie g e	2
