	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_DWA	Levenshtein_item	phontype_maurer	phontype_DWA	Levenshtein_phontype	lextype_maurer	lextype_DWA	Levenshtein_lextype
0	Co D6	III_14_0081	Sewen, Sewen	6.90688, 47.80694	puppelefråi	puppelefråi	0	bubbelefräu	bubbelefräu	0	Bubbelefräu	Bubbelefräu	0
1	Co w 4	na	Mollau	6.97488, 47.87245	bubbelfräu	na	999	bubbelfräu	na	999	Bubbelefräu	na	999
2	na	III_14_0005	Felleringen	6.98613, 47.89621	na	bubbelfrauj	999	na	bubbelfräu	999	na	Bubbelefräu	999
