	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_DWA	Levenshtein_item	phontype_maurer	phontype_DWA	Levenshtein_phontype	lextype_maurer	lextype_DWA	Levenshtein_lextype
505	Stra X 10	III_12_0026	Heidolsheim, Heidolsheim	7.51527, 48.20131	hewåmm	hewåmm	0	hewamm	hewamm	0	Hebamme	Hebamme	0
506	Co A3	III_14_0040	Rumersheim (Rumersheim-le-Haute), Rumersheim	7.51712, 47.85248	hëwamme	hebamm	3	hewamme	hebamm	2	Hebamme	Hebamme	0
507	Stra B 6	III_10_0100	Niederehnheim (Niedernai), Niederehnheim	7.51765, 48.45309	hewamm	hewamm	0	hewamm	hewamm	0	Hebamme	Hebamme	0
508	Hag W 16/2, Hag W 16/1	III_7_0077	Melsheim, Melsheim	7.51974, 48.75911	hewamm	hewamm	0	hewamm	hewamm	0	Hebamme	Hebamme	0
509	Stra X 1	III_12_0018	Mussig, Mussig	7.52018, 48.23003	häbåmm	hewamm	3	hebamm	hewamm	1	Hebamme	Hebamme	0
510	Co P1	III_15_0043	Kleinlandau (Petit-Landau), Kleinlandau	7.52082, 47.73028	hebam	hebam	0	hebamm	hebamm	0	Hebamme	Hebamme	0
511	Stra f 21	III_8_0057	Ingenheim, Ingenheim	7.52092, 48.7349	hewāmm	hewamm	1	hewamm	hewamm	0	Hebamme	Hebamme	0
512	Co Wa 1	III_17_0026	Häsingen (Hésingue), Häsingen	7.5211, 47.57633	hebāmme	hebamm	2	hebamme	hebamm	1	Hebamme	Hebamme	0
513	Stra Q 1	III_11_0097	Ebersmünster (Ebersmunster), Ebersmunster	7.52112, 48.31139	hewamme	hewamm	1	hewamme	hewamm	1	Hebamme	Hebamme	0
514	Co P19	III_15_0050	Kleinkems, Kleinkembs	7.52279, 47.691	hebamm	hebamm	0	hebamm	hebamm	0	Hebamme	Hebamme	0
515	Co Wa 3	III_17_0035	Hegenheim (Hégenheim), Hegenheim	7.52344, 47.56115	hebåmm	heibaom	3	hebamm	heibaomm	2	Hebamme	Hebamme	0
516	Hag P 17	na	Schillersdorf	7.52526, 48.87312	hewamm	na	999	hewamm	na	999	Hebamme	na	999
517	Hag W 12/1, Hag W 12/2	III_7_0135	Zöbersdorf, Zöbersdorf	7.52538, 48.79381	hewamm, hewåmm	hewamm	0	hewamm	hewamm	0	Hebamme	Hebamme	0
518	Stra n 10	III_9_0024	Küttolsheim, Küttolsheim	7.52543, 48.64343	hewåmm	hewaumm	2	hewamm	hewaumm	1	Hebamme	Hebamme	0
519	Stra u 13	III_10_0040	Altdorf (Altorf), Altdorf	7.52793, 48.52186	hewamm	hewomm	1	hewamm	hewamm	0	Hebamme	Hebamme	0
520	Stra u 6/1, Stra u 6/2	III_10_0025	Ergersheim, Ergersheim (wohnt seit 41 in Breitenau), Ergersheim	7.52806, 48.56941	hewamm, hewāmm	hewamm	0	hewamm	hewamm	0	Hebamme	Hebamme	0
521	Co W 14	III_16_0057	Neuweg-Bartenheim, Bartenheim-Neuweg	7.52868, 47.62399	hebåmma	hēibamma	3	hebamme	heibamme	1	Hebamme	Hebamme	0
522	Hag P 3	III_6_0048	Rotbach, Rotbach	7.52883, 48.90568	hewåmm	hewom	2	hewamm	hewamm	0	Hebamme	Hebamme	0
523	Co m 6	na	Neubreisach (Neuf-Brisach)	7.52909, 48.01843	hewamm	na	999	hewamm	na	999	Hebamme	na	999
524	Hag W 6	III_7_0058	Kirrweiler, Kirweiler	7.53026, 48.81331	hewamm	hewamm	0	hewamm	hewamm	0	Hebamme	Hebamme	0
525	Hag W 14	III_7_0066	Wickersheim, Wickersheim	7.53159, 48.78313	hĕwåmm	hewaomm	3	hewamm	hewamm	0	Hebamme	Hebamme	0
526	Stra B 1	III_10_0038, III_10_0039	Griesheim (Griesheim-Près-Molsheim), Griesheim	7.53227, 48.50237	hewām	hewamm	2	hewamm	hewamm	0	Hebamme	Hebamme	0
527	Stra u 8	III_10_0026	Dachstein, Dachstein	7.53229, 48.56055	hewamm	hewamm	0	hewamm	hewamm	0	Hebamme	Hebamme	0
528	Stra Q 6	III_11_0103	Müttersholz (Muttersholtz), Muttersholz	7.53321, 48.2674	häwãmm	häwamm	1	hewamm	hewamm	0	Hebamme	Hebamme	0
529	Co P9	na	Rheinweiler	7.53324, 47.71013	hebamme	na	999	hebamme	na	999	Hebamme	na	999
530	Co A2	III_14_0185	Blodelsheim, Blodelsheim	7.53396, 47.88426	hewamm	hewamm	0	hewamm	hewamm	0	Hebamme	Hebamme	0
531	Co m 7	III_13_0036	Künheim (Kunheim), Künheim	7.53422, 48.07788	hewåmm	hewamm	1	hewamm	hewamm	0	Hebamme	Hebamme	0
532	Co W 13	III_16_0058	Rosenau, Rosenau	7.53493, 47.63685	hebamm	hebamm	0	hebamm	hebamm	0	Hebamme	Hebamme	0
533	Stra f 14	III_8_0060	Dunzenheim, Dunzenheim	7.53538, 48.71278	hewamm	hewamme	1	hewamm	hewamme	1	Hebamme	Hebamme	0
534	Co W 1	III_16_0067	Istein , Istein	7.53541, 47.66186	hebamm	hebamm	0	hebamm	hebamm	0	Hebamme	Hebamme	0
