	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_maurer_align	item_DWA	item_DWA_align	Levenshtein_item
652	TÜB D2/2, TÜB D3, TÜB D2/1, TÜB E1	III_11_0077, III_11_0076	Oberharmersbach, Oberharmersbach	8.12723, 48.37386	gufe	g u f e	guuf	g uu f	2
653	TÜB D2/2, TÜB D3, TÜB D2/1, TÜB E1	III_11_0077, III_11_0076	Oberharmersbach, Oberharmersbach	8.12723, 48.37386	gufe	g u f e	guf	g u f	1
654	TÜB D2/2, TÜB D3, TÜB D2/1, TÜB E1	III_11_0077, III_11_0076	Oberharmersbach, Oberharmersbach	8.12723, 48.37386	gūf	g ū f	guuf	g uu f	2
655	TÜB D2/2, TÜB D3, TÜB D2/1, TÜB E1	III_11_0077, III_11_0076	Oberharmersbach, Oberharmersbach	8.12723, 48.37386	gūf	g ū f	guf	g u f	1
656	TÜB D2/2, TÜB D3, TÜB D2/1, TÜB E1	III_11_0077, III_11_0076	Oberharmersbach, Oberharmersbach	8.12723, 48.37386	guf	g u f	guuf	g uu f	1
657	TUTT b8	III_12_0168, III_12_0166, III_12_0167	Schönwald, Schönwald	8.20401, 48.10371	gūfe	g ū f e	gūf	g ū f	1
658	TUTT b8	III_12_0168, III_12_0166, III_12_0167	Schönwald, Schönwald	8.20401, 48.10371	gūfe	g ū f e	guf	g u f	2
659	TUTT i6	III_13_0091, III_13_0092	Furtwangen (und Furtwangen-Katzensteig), Furtwangen	8.20648, 48.05227	gūf	g ū f	guf	g u f	1
660	TUTT T7	III_16_0152, III_16_0151, III_16_0153, III_16_0150	Waldshut, Waldshut	8.21445, 47.6237	gufe	g u f e	guve	g u v e	1
661	TÜB M4	III_11_0147, III_11_0079	Oberwolfach, Oberwolfach, Oberwolfach-Walke	8.21698, 48.3174	guv	g u v	guven	g u v e n	2
662	TÜB M4	III_11_0147, III_11_0079	Oberwolfach, Oberwolfach, Oberwolfach-Walke	8.21698, 48.3174	guv	g u v	glufe	g l u f e	3
663	TÜB M3/2, TÜB M3/1	III_11_0150	Wolfach, Wolfach	8.22076, 48.30289	gufe	g u f e	guufe	g uu f e	1
664	TÜB M3/2, TÜB M3/1	III_11_0150	Wolfach, Wolfach	8.22076, 48.30289	kluff	k l u ff	guufe	g uu f e	3
665	TÜB M3/2, TÜB M3/1	III_11_0150	Wolfach, Wolfach	8.22076, 48.30289	kluff	k l u ff	gufe	g u f e	3
666	KST M7	III_6_0106	Bischweier, Bischweier	8.28478, 48.83768	guff	g u ff	guf	g u f	1
667	KST M7	III_6_0106	Bischweier, Bischweier	8.28478, 48.83768	guff	g u ff	cluf	c l u f	3
668	TUTT c3	III_12_0156, III_12_0157	St. Georgen, St. Georgen	8.33183, 48.12564	gūf	g ū f	guuf	g uu f	2
669	TUTT c3	III_12_0156, III_12_0157	St. Georgen, St. Georgen	8.33183, 48.12564	gūf	g ū f	guve	g u v e	3
670	TUTT c3	III_12_0156, III_12_0157	St. Georgen, St. Georgen	8.33183, 48.12564	gūf	g ū f	gluuf	g l uu f	3
671	KST y 9, KST y 10	III_21_0001	Neureut, Neureut	8.37902, 49.05267	gluft	g l u f t	gluf	g l u f	1
672	KST y 9, KST y 10	III_21_0001	Neureut, Neureut	8.37902, 49.05267	glūfd	g l ū f d	gluf	g l u f	2
673	KST y 11	III_20_0008, III_20_0007	Eggenstein, Eggenstein	8.39572, 49.08482	kluv	k l u v	gluf	g l u f	2
674	KST y 11	III_20_0008, III_20_0007	Eggenstein, Eggenstein	8.39572, 49.08482	kluv	k l u v	klufe	k l u f e	2
675	KST F14/2, KST F14/1	III_22_0006, III_22_0004, III_22_0005	Ettlingen , Ettlingen, Ettlingen	8.40245, 48.94247	gluft	g l u f t	gluuft	g l uu f t	1
676	KST F14/2, KST F14/1	III_22_0006, III_22_0004, III_22_0005	Ettlingen , Ettlingen, Ettlingen	8.40245, 48.94247	gluft	g l u f t	kluft	k l u f t	1
677	KST F14/2, KST F14/1	III_22_0006, III_22_0004, III_22_0005	Ettlingen , Ettlingen, Ettlingen	8.40245, 48.94247	gluuft	g l uu f t	kluft	k l u f t	2
678	KST y 6	III_21_0002	Karlsruhe, Karlsruhe	8.40919, 49.01038	klufe	k l u f e	kluv	k l u v	2
679	KST y 6	III_21_0002	Karlsruhe, Karlsruhe	8.40919, 49.01038	klufe	k l u f e	kuv	k u v	3
