	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_DWA	Levenshtein_item	phontype_maurer	phontype_DWA	Levenshtein_phontype	lextype_maurer	lextype_DWA	Levenshtein_lextype
0	Hag M 8	III_6_0007	Eschweiler (Eschwiller), Eschweiler	7.11652, 48.8596	knebbelsküwe	knebbelsgüwe	1	knebbelsgüwe	knebbelsgüwe	0	Knebbelsgüfe	Knebbelsgüfe	0
1	na	III_6_0011	Hirschland	7.11324, 48.83701	na	knebelsgüw	999	na	knebbelsgüw	999	na	Knebbelsgüfe	999
