	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_DWA	Levenshtein_item	phontype_maurer	phontype_DWA	Levenshtein_phontype	lextype_maurer	lextype_DWA	Levenshtein_lextype
60	Co T13	na	St. Ulrich bei Dammerkirch	7.11911, 47.59537	gufa	na	999	gufe	na	999	Glufe	na	999
61	Co T6	III_16_0018	Dammerkirch (Dannemarie), Dammerkirch	7.1214, 47.63024	hufa	gufa	1	hufa	gufe	2	Glufe	Glufe	0
62	Co E8	na	Alttann (Vieux-Thann)	7.12206, 47.80704	gufa	na	999	gufe	na	999	Glufe	na	999
63	Co q 8	III_13_0102	Sengern, Sengern	7.12209, 47.94246	guf	gūf	1	guf	guf	0	Glufe	Glufe	0
64	Co i 5	III_13_0002	Hohrod, Hohrod	7.12607, 48.05444	gufe	guhf	2	gufe	guf	1	Glufe	Glufe	0
65	Hag E 1	III_4_0050	Örmingen (Oermingen), Örmingen	7.12881, 49.00062	guw	guw	0	guw	guw	0	Glufe	Glufe	0
66	Hag M 7	III_6_0016	Eyweiler (Eywiller), Eyweiler	7.13172, 48.8709	guw	guw	0	guw	guw	0	Glufe	Glufe	0
67	Co i 1/2, Co i 1/1	III_13_0065	Münster (Munster), Münster	7.13185, 48.0418	gūf, guf	guf	0	guf	guf	0	Glufe	Glufe	0
68	Co T5	III_16_0004	Gommersdorf, Gommersdorf	7.13318, 47.64299	gufa	gufa	0	gufe	gufe	0	Glufe	Glufe	0
69	Co M8	III_15_0011, III_15_0010	Gildweiler (Gildwiller), Falkweiler, Hecken, Falkweiler, Gildweiler	7.13461, 47.6894	gufa	gufa, guve	0	gufe	gufe	0	Glufe	Glufe	0
70	Co i 8	III_13_0001	Hohrodberg, Hohrodberg	7.13528, 48.06037	gof	gaof	1	gof	gaof	1	Glufe	Glufe	0
71	Co Vc 2	III_16_0011	Hindlingen, Hindlingen	7.13734, 47.57341	gūfa	gufa	1	gufe	gufe	0	Glufe	Glufe	0
72	Hag E 2	na	Völlerdingen (Voellerdingen)	7.14098, 48.9622	guw	na	999	guw	na	999	Glufe	na	999
73	Hag M 4	na	Tal bei Drulingen (Thal-Drulingen)	7.1452, 48.90983	guw	na	999	guw	na	999	Glufe	na	999
74	Co i 4	III_13_0010	Eschbach, Eschbach	7.14594, 48.02896	goof	gof	1	gof	gof	0	Glufe	Glufe	0
75	Co T14	III_16_0006	Füllern (Fulleren), Füllern	7.14596, 47.59468	gufa	gufa	0	gufe	gufe	0	Glufe	Glufe	0
76	Co q 7	III_13_0099	Lautenbachzell, Lautenbachzell	7.14925, 47.94057	guf	kūf	2	guf	guf	0	Glufe	Glufe	0
77	Co T3	III_16_0008	Büttweiler (Buethwiller), Bütweiler	7.14982, 47.65627	gufa	gufe	1	gufe	gufe	0	Glufe	Glufe	0
78	Co M4	III_15_0014	Oberburnhaupt (Burnhaupt-Le-Haut), Oberburnhaupt	7.14988, 47.72886	gufā	gufā	0	gufe	gufe	0	Glufe	Glufe	0
79	Co Vc 1	na	Friesen	7.15001, 47.56535	gufe	na	999	gufe	na	999	Glufe	na	999
80	Co E11	III_14_0099	Niederasbach (Aspach-Le-Bas), Niederaspach	7.15065, 47.7618	gufa	gufa	0	gufe	gufe	0	Glufe	Glufe	0
81	Hag E 3	III_5_0031	Domfessel, Domfessel	7.15171, 48.95143	goof	goof	0	gof	gof	0	Glufe	Glufe	0
82	Hag M 5	III_6_0008	Berg, Berg	7.1532, 48.89487	guw	guw	0	guw	guw	0	Glufe	Glufe	0
83	Co E12	III_14_0096	Steinbach, Steinbach	7.15487, 47.82041	gufa	gufa	0	gufe	gufe	0	Glufe	Glufe	0
84	Co x 8	III_14_0015	Rimbach bei Gebweiler (Rimbach-près-Guebwiller), Rimbach	7.15658, 47.90483	guf	guf	0	guf	guf	0	Glufe	Glufe	0
85	Co T4	III_16_0009	Hagenbach, Hagenbach	7.15712, 47.65028	guve	guva	1	gufe	gufe	0	Glufe	Glufe	0
86	Hag M 6	III_6_0009	Güngweiler (Gungwiller), Gu[e]ngweiler	7.15771, 48.88171	guff	guff	0	guf	guf	0	Glufe	Glufe	0
87	Co q 2	III_13_0100	Lautenbach (Kreis Tann), Lautenbach	7.15877, 47.9414	gūf	guhf	2	guf	guf	0	Glufe	Glufe	0
88	Co q 3	na	Wasserburg Kreis Colmar (Wasserbourg)	7.15948, 48.00283	goͧf	na	999	gof	na	999	Glufe	na	999
