	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_DWA	Levenshtein_item	phontype_maurer	phontype_DWA	Levenshtein_phontype	lextype_maurer	lextype_DWA	Levenshtein_lextype
45	Co B10	III_14_0057	Grunern bei Müllheim, Grunern	7.72184, 47.87162	giflé	gifli	1	gifle	gifli	1	Glifle	Glifle	0
46	Stra R 13	na	Rust	7.72571, 48.26873	gīfli	na	999	gifli	na	999	Glifle	na	999
47	Co n 12	III_13_0050, III_13_0051	Bötzingen, Bötzingen	7.72593, 48.07743	gīvli̍	giifli, giefli	4	gifli	gifli	0	Glifle	Glifle	0
48	Co n 8	na	Gottenheim	7.72686, 48.04969	gifli	na	999	gifli	na	999	Glifle	na	999
49	Co Xa 4	na	Herten	7.72902, 47.55493	güefele	na	999	glüefele	na	999	Glifle	na	999
50	Co f 10	III_12_0111	Bahlingen, Bahlingen	7.73937, 48.12209	gīfaͤli	giifili	4	gifali	gifeli	1	Glifle	Glifle	0
51	Co f 7	na	Eichstetten	7.74563, 48.09417	gīfli	na	999	gifli	na	999	Glifle	na	999
52	Co f 2	III_12_0113	Riegel, Riegel	7.7507, 48.15056	gifli	gievle	3	gifli	gifle	1	Glifle	Glifle	0
53	Co u 6	na	Pfaffenweiler	7.75445, 47.94133	giefli	na	999	gifli	na	999	Glifle	na	999
54	Stra Y 14	na	Hecklingen	7.76731, 48.16962	giefle	na	999	gifle	na	999	Glifle	na	999
55	Stra R 12	na	Grafenhausen (Kappel-Grafenhausen)	7.76775, 48.2841	gīͤfli	na	999	gifli	na	999	Glifle	na	999
56	Co n 5	na	Neuershausen	7.76972, 48.0689	gifle	na	999	gifle	na	999	Glifle	na	999
57	Co Q7	na	Sallneck	7.7724, 47.72297	guefli	na	999	guefli	na	999	Glifle	na	999
58	Stra Y 8	III_12_0038, III_12_0037, III_12_0039	Herbolzheim a. d. Bleich, Herbolzheim	7.77743, 48.22249	gifli	giefli	1	gifli	gifli	0	Glifle	Glifle	0
59	Co f 3	na	Nimburg	7.77794, 48.10762	giefli	na	999	gifli	na	999	Glifle	na	999
60	Co n 11	na	Buchheim	7.77912, 48.06092	gīfli	na	999	gifli	na	999	Glifle	na	999
61	Co u 19/2	na	Bollschweil	7.77924, 47.91994	gīfli	na	999	gifli	na	999	Glifle	na	999
62	Stra Y 4	III_12_0033	Ringsheim, Ringsheim	7.78041, 48.24632	gīflī	giefli	3	gifli	gifli	0	Glifle	Glifle	0
63	Co n 9	III_13_0054	Hugstetten, Hugstetten	7.78045, 48.05415	gifli	gifli	0	gifli	gifli	0	Glifle	Glifle	0
64	Co f 5	III_12_0117	Malterdingen, Malterdingen	7.79392, 48.16302	gifli	gifli	0	gifli	gifli	0	Glifle	Glifle	0
65	Co Q10	na	Wieslet	7.79819, 47.6893	gǖfli	na	999	güfli	na	999	Glifle	na	999
66	Stra R 8	na	Orschweier	7.79862, 48.27835	glifli	na	999	glifli	na	999	Glifle	na	999
67	Co n 7	na	Holzhausen	7.79978, 48.07044	gīfli	na	999	gifli	na	999	Glifle	na	999
68	Co n 6	na	Hochdorf	7.80212, 48.0489	gifli	na	999	gifli	na	999	Glifle	na	999
69	Co f 11	na	Teningen	7.80344, 48.12897	güfli	na	999	güfli	na	999	Glifle	na	999
70	Stra Y 7	III_12_0040	Tutschfelden, Tutschfelden	7.80659, 48.21534	gifli	güfle	2	gifli	güfle	2	Glifle	Glifle	0
71	Stra R 6	na	Kippenheimweiler	7.80753, 48.31925	giefli	na	999	gifli	na	999	Glifle	na	999
72	Stra R 7	III_11_0113	Mahlberg, Mahlberg	7.81323, 48.28708	gifli	giifli	1	gifli	gifli	0	Glifle	Glifle	0
73	Stra R 10	III_11_0117	Ettenheim, Ettenheim	7.81361, 48.25631	gīfli	giefli	2	gifli	gifli	0	Glifle	Glifle	0
74	Stra R 9	III_11_0116, III_11_0115	Altdorf, Altdorf	7.81401, 48.26606	gīfli	giefli	2	gifli	gifli	0	Glifle	Glifle	0
75	Stra Y 12	na	Bombach	7.81686, 48.17869	gifli	na	999	gifli	na	999	Glifle	na	999
76	Stra Y 5	III_12_0034	Ettenheimweiler, Ettenheimweiler	7.82007, 48.23676	güfli	giefle	3	güfli	gifle	2	Glifle	Glifle	0
77	Stra R 5	III_11_0112	Kippenheim, Kippenheim	7.82466, 48.29439	gifli	giifli	1	gifli	gifli	0	Glifle	Glifle	0
78	Co n 2	III_13_0060	Reute, Reute	7.82538, 48.08175	güfli	gīfli	1	güfli	gifli	1	Glifle	Glifle	0
79	Stra Y a 1	III_12_0112	Heimbach, Heimbach	7.82936, 48.1638	gīfli	gifli	1	gifli	gifli	0	Glifle	Glifle	0
80	Co u 10	na	Au	7.82976, 47.95687	giefli	na	999	gifli	na	999	Glifle	na	999
81	Stra Y 10	III_12_0042	Bleichheim, Bleichheim	7.8306, 48.20842	gifli	giefli	1	gifli	gifli	0	Glifle	Glifle	0
82	Stra L 10	III_11_0044	Hugsweier, Hugsweier	7.83742, 48.36009	gifli	gifli	0	gifli	gifli	0	Glifle	Glifle	0
83	Co C9	na	St Ulrich	7.83776, 47.909	güfli	na	999	güfli	na	999	Glifle	na	999
84	Stra S 1	III_11_0119	Mietersheim, Mietersheim	7.83797, 48.32639	gifli	gifli	0	gifli	gifli	0	Glifle	Glifle	0
85	Co K6	na	Böllen	7.84054, 47.80226	geefli	na	999	gefli	na	999	Glifle	na	999
86	Stra L 9	III_11_0053	Schuttern, Schuttern	7.85268, 48.38219	gefli	giefli	1	gefli	gifli	1	Glifle	Glifle	0
87	Stra S 10	III_11_0132	Wallburg, Wallburg	7.85339, 48.26704	gīfli	gifli	1	gifli	gifli	0	Glifle	Glifle	0
88	Stra S 9	na	Schmieheim	7.85658, 48.27938	gifli	na	999	gifli	na	999	Glifle	na	999
89	Stra S 11	III_12_0048	Münchweier, Münchweier	7.85884, 48.24754	gifli	gifli	0	gifli	gifli	0	Glifle	Glifle	0
90	Stra S 3, Stra S 2	III_11_0120, III_11_0121	Sulz, Langenhard-Sulz, Sulz	7.86031, 48.31851	giefli, gifli	güfli, gifli	0	gifli	güfli, gifli	0	Glifle	Glifle	0
91	Co C1	na	Obermünstertal-Neuhof	7.86115, 47.84975	güfli	na	999	güfli	na	999	Glifle	na	999
92	Stra p 3	III_9_0078	Honau, Honau	7.87132, 48.64025	gifl	kiffle	3	gifl	gifle	1	Glifle	Glifle	0
93	Co R6	na	Atzenbach	7.8735, 47.71532	güfli	na	999	güfli	na	999	Glifle	na	999
94	Stra L 7	na	Friesenheim	7.87515, 48.37378	gifli	na	999	gifli	na	999	Glifle	na	999
95	Stra Z 1	III_12_0047	Ettenheimmünster, Ettenheimmünster	7.88015, 48.24152	güfli	gifli	1	güfli	gifli	1	Glifle	Glifle	0
96	Co C2	III_14_0070	Wieden, Wieden	7.8814, 47.84169	gīfli	gifli	1	gifli	gifli	0	Glifle	Glifle	0
97	Co R5	III_15_0076	Mambach, Mambach	7.88363, 47.72839	güüfli	güüfli	0	güfli	güfli	0	Glifle	Glifle	0
98	Co g 14	na	Freiamt-Mußbach (Mussbach)	7.88578, 48.17377	giefli	na	999	gifli	na	999	Glifle	na	999
99	Stra L 1	III_10_0118	Niederschopfheim, Niederschopfheim	7.891, 48.41717	gifli	gifle	1	gifli	gifle	1	Glifle	Glifle	0
100	Co C7	III_14_0068	Hofsgrund, Hofsgrund	7.89778, 47.90096	giefli	giefli	0	gifli	gifli	0	Glifle	Glifle	0
101	Stra L 6	III_11_0050	Oberweier, Oberweier	7.89815, 48.37746	gifli	gifli	0	gifli	gifli	0	Glifle	Glifle	0
102	Stra L 2	na	Oberschopfheim	7.90095, 48.39821	gīfli	na	999	gifli	na	999	Glifle	na	999
103	Stra Z 5	na	Freiamt	7.90612, 48.17863	gifli	na	999	gifli	na	999	Glifle	na	999
104	Co R2	na	Ehrsberg	7.90629, 47.74318	güfli	na	999	güfli	na	999	Glifle	na	999
105	Stra L 13	III_11_0061	Kuhbach, Kuhbach	7.90787, 48.33884	güfli	güefli	1	güfli	güefli	1	Glifle	Glifle	0
106	Stra D 15	III_10_0119	Hofweier, Hofweier	7.90797, 48.42392	giefli	güfli	2	gifli	güfli	1	Glifle	Glifle	0
107	Co K4	na	Utzenfeld	7.91301, 47.80054	gifle	na	999	gifle	na	999	Glifle	na	999
108	Co R3	III_15_0071	Häg (bei Mambach), Häg	7.91432, 47.73207	güfli	güfli	0	güfli	güfli	0	Glifle	Glifle	0
109	Co C5	na	Muggenbrunn	7.91725, 47.857	gīfle	na	999	gifle	na	999	Glifle	na	999
110	Stra h 8	na	Freistett	7.93582, 48.67138	giffel	na	999	gifel	na	999	Glifle	na	999
111	Hag K 3	III_5_0092	Ingolsheim, Ingolsheim	7.93636, 48.97357	geffel	gefel	1	gefel	gefel	0	Glifle	Glifle	0
112	Stra L 3	III_11_0063	Diersburg, Diersburg	7.93733, 48.40041	gifli	gifli	0	gifli	gifli	0	Glifle	Glifle	0
113	Co K2	III_14_0166	Schlechtnau, Schlechtnau	7.93888, 47.8175	gifli	gifli	0	gifli	gifli	0	Glifle	Glifle	0
114	Co K3	III_14_0165	Geschwend, Geschwend	7.93964, 47.80434	gifli	gifli	0	gifli	gifli	0	Glifle	Glifle	0
115	Stra S 6	III_11_0128, III_11_0129, III_11_0127	Seelbach, Seelbach	7.94104, 48.30987	gifli	güfli	1	gifli	güfli	1	Glifle	Glifle	0
116	Stra D 14	na	Zunsweier	7.94627, 48.42199	giefli	na	999	gifli	na	999	Glifle	na	999
117	Co Y 7	III_16_0119	Hütten, Hütten	7.94873, 47.62902	gülfeli	güfeli	1	gülfeli	güfeli	1	Glifle	Glifle	0
118	Stra Z 2	III_12_0049	Dörlinbach, Dörlinbach	7.95383, 48.24804	gīfle	giefli	3	gifle	gifli	1	Glifle	Glifle	0
119	Stra S 8	III_11_0131	Schuttertal, Schuttertal	7.95562, 48.27087	gifli	gifli	0	gifli	gifli	0	Glifle	Glifle	0
120	Co Y 9	III_16_0120	Bergalingen, Bergalingen	7.95943, 47.61266	gülfeli	güfeli	1	gülfeli	güfeli	1	Glifle	Glifle	0
121	Co K10	III_14_0154	Präg, Präg	7.97232, 47.77964	güfli	güfli	0	güfli	güfli	0	Glifle	Glifle	0
122	Co Y 4	na	Obergebisbach- Hornbach	7.97459, 47.65405	güefeli	na	999	güefeli	na	999	Glifle	na	999
123	Co Y 6	III_16_0123	Altenschwand, Altenschwand	7.976, 47.63697	güllfelli	güllfeli	1	gülfeli	gülfeli	0	Glifle	Glifle	0
124	Hag Y 9	na	Falhünden (Dalhünden)	7.98835, 48.77367	geffel	na	999	gefel	na	999	Glifle	na	999
125	Co Y 5	III_16_0113	Niedergebisbach, Niedergebisbach	7.99251, 47.65054	güefeli	güfeli	1	güefeli	güfeli	1	Glifle	Glifle	0
126	Stra p 7	III_9_0086	Wagshurst, Wagshurst	7.99491, 48.62035	gīfel	gifle	3	gifel	gifle	2	Glifle	Glifle	0
127	Co K12, TUTT D5	III_15_0073	Todtmoos (-Rütte), Todtmoos, Todtmoos	8.00438, 47.74133	güfli	güfili	1	güfli	güfeli	1	Glifle	Glifle	0
128	TÜB a2	na	Ulm (bei Bühl)	8.01434, 48.727	giffel	na	999	gifel	na	999	Glifle	na	999
129	TUTT S4	na	Hogschür	8.01475, 47.64742	güfeli	na	999	güfeli	na	999	Glifle	na	999
130	TUTT D2/1	na	Bernau(-Hof)	8.01571, 47.82095	gǖfele	na	999	güfele	na	999	Glifle	na	999
131	TUTT Sa5	III_16_0137	Oberhof, Oberhof	8.0324, 47.58493	gülfeli	gülfeli	0	gülfeli	gülfeli	0	Glifle	Glifle	0
132	Stra S 5	III_11_0126	Schönberg, Schönberg	8.0327, 48.36461	gifli	gifli	0	gifli	gifli	0	Glifle	Glifle	0
133	TUTT D2/2	na	Bernau	8.03629, 47.80171	güfli	na	999	güfli	na	999	Glifle	na	999
134	TUTT Sa4	III_17_0059	Niederhof, Niederhof	8.03951, 47.56938	güfili, güefili	güfili	0	güefeli, güfeli	güfeli	0	Glifle	Glifle	0
135	TÜB a3	III_7_0119	Schwarzach (bei Bühl), Schwarzach	8.04423, 48.74717	giffel	giffel	0	gifel	gifel	0	Glifle	Glifle	0
136	TUTT S6	III_16_0129, III_16_0130	Oberwihl, Oberwihl	8.04597, 47.62098	güfili	güfeli	1	güfeli	güfeli	0	Glifle	Glifle	0
