	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_DWA	Levenshtein_item	phontype_maurer	phontype_DWA	Levenshtein_phontype	lextype_maurer	lextype_DWA	Levenshtein_lextype
1139	TÜB M7	na	Gutach	8.21021, 48.25051	mucke	na	999	muke	na	999	Mücke	na	999
1140	TUTT x2	na	Neustadt	8.21309, 47.91261	mucke	na	999	muke	na	999	Mücke	na	999
1141	KST E7	III_5_0130	Elchesheim, Elchesheim	8.2136, 48.93047	mücke	mücken	1	müke	müken	1	Mücke	Mücke	0
1142	TÜB M4	III_11_0147	Oberwolfach, Oberwolfach	8.21698, 48.3174	muck	muck	0	muk	muk	0	Mücke	Mücke	0
1143	KST M9	III_6_0108	Niederbühl, Niederbühl	8.21769, 48.84547	muck	mucke	1	muk	muke	1	Mücke	Mücke	0
1144	TÜB M3/1	III_11_0150	Wolfach, Wolfach	8.22076, 48.30289	mugg	mucke	3	muk	muke	1	Mücke	Mücke	0
1145	KST T9	III_7_0127, III_7_0126	Haueneberstein, Haueneberstein	8.22194, 48.80626	muck	mugge	3	muk	muke	1	Mücke	Mücke	0
1146	KST T8	na	Baden-Baden/Balg	8.22708, 48.78962	muck	na	999	muk	na	999	Mücke	na	999
1147	TÜB T1	III_12_0065, III_12_0066	Hornberg, Hornberg	8.23036, 48.21193	mugge	mucke, mugg	1	muke	muk, muke	0	Mücke	Mücke	0
1148	KST M3	III_6_0099, III_6_0098	Ötigheim, Oetigheim	8.23212, 48.89333	migge	muk	4	mike	muk	2	Mücke	Mücke	0
1149	KST E9	III_5_0131	Au am Rhein, Au am Rhein	8.23933, 48.95136	migg	mügge	2	mik	müke	2	Mücke	Mücke	0
1150	TÜB x9	III_10_0142	Bad Griesbach, Bad Griesbach	8.23935, 48.45251	muck	muck	0	muk	muk	0	Mücke	Mücke	0
1151	KST T14/2, KST T14/3, KST T14/1, KST T14/4	III_7_0131	Baden-Baden, Baden-Baden-West, Baden-Baden , Baden-Baden Weststadt	8.24094, 48.76273	mugge, muck, mugg	muck	0	muk, muke	muk	0	Mücke	Mücke	0
1152	TÜB b1	na	Gerolsau	8.24536, 48.73474	muck	na	999	muk	na	999	Mücke	na	999
1153	KST T11	na	Baden-Oos	8.24755, 48.76768	muck	na	999	muk	na	999	Mücke	na	999
1154	KST M8	III_6_0107	Rauental, Rauental	8.24794, 48.8572	muck	mucke	1	muk	muke	1	Mücke	Mücke	0
1155	KST M2	na	Bietigheim	8.25343, 48.91099	migg	na	999	mik	na	999	Mücke	na	999
1156	KST T1	III_7_0128	Kuppenheim, Kuppenheim	8.25452, 48.82818	muck	muck	0	muk	muk	0	Mücke	Mücke	0
1157	KST E6	III_5_0139	Würmersheim, Würmersheim	8.25452, 48.94056	muk	mück	2	muk	mük	1	Mücke	Mücke	0
1158	TUTT b2	na	Gremmelsbach	8.25756, 48.15793	mugge	na	999	muke	na	999	Mücke	na	999
1159	TÜB b2/2, TÜB b2/1	na	Lichtent(h)al	8.2614, 48.74458	muck, mugg	na	999	muk	na	999	Mücke	na	999
1160	TUTT x5	na	Holzschlag	8.26456, 47.84976	mugge	na	999	muke	na	999	Mücke	na	999
1161	TÜB i1	III_9_0104	Herrenwies, Herrenwies	8.26593, 48.65907	mucken	muck	2	muken	muk	2	Mücke	Mücke	0
1162	KST E2	na	Neuburgweier	8.26776, 48.96981	migg	na	999	mik	na	999	Mücke	na	999
1163	TUTT q4	na	Eisenbach	8.26837, 47.96084	muck	na	999	muk	na	999	Mücke	na	999
1164	KST E5	III_5_0132, III_5_0133	Durmersheim, Durmersheim	8.2685, 48.93129	migge	mick	3	mike	mik	1	Mücke	Mücke	0
1165	KST T7	III_7_0132	Ebersteinburg, Ebersteinburg	8.26889, 48.77997	muck	muck	0	muk	muk	0	Mücke	Mücke	0
1166	TÜB i2	III_9_0105	Forbach-Hundsbach, Forbach-Hundsbach	8.27064, 48.62026	muck	mugg	2	muk	muk	0	Mücke	Mücke	0
1167	KST T2	na	Oberndorf	8.27573, 48.82868	muck	na	999	muk	na	999	Mücke	na	999
1168	KST M4	III_6_0104, III_6_0105	Muggensturm, Muggenturm	8.2763, 48.87021	muck	muck	0	muk	muk	0	Mücke	Mücke	0
1169	KST M7	III_6_0106	Bischweier, Bischweier	8.28478, 48.83768	mücke, muck	muck	0	müke, muk	muk	0	Mücke	Mücke	0
1170	KST E4	III_5_0137, III_5_0136, III_5_0138	Mörsch, Mörsch	8.28883, 48.96003	mick	mück, muck	1	mik	mük, muk	1	Mücke	Mücke	0
1171	KST T6	III_7_0133	Staufenberg, Staufenberg	8.3082, 48.76673	muck	mucke	1	muk	muke	1	Mücke	Mücke	0
1172	KST T3	na	(Bad) Rotenfels (Ortsteil von Gaggenau)	8.30895, 48.81087	muck	na	999	muk	na	999	Mücke	na	999
