	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_maurer_align	item_DWA	item_DWA_align	Levenshtein_item
350	Stra o 4	III_9_0075	Lamgertheim, Lamgertheim	7.70087, 48.65016	butte	b u tt e	budde	b u dd e	2
351	Hag X 15	III_7_0086	Wintershausen, Winterhausen	7.70271, 48.79349	butte	b u tt e	butt	b u tt	1
352	Hag J 12	III_5_0073	Nehweiler (Nehwiller), Nehweiler	7.70322, 48.96072	bůdde	b ů dd e	butt	b u tt	4
353	Stra g 2	III_8_0084	Brumath, Brumath	7.71045, 48.73026	budde	b u dd e	bode	b o d e	2
354	Stra v 5, Stra v 4	III_10_0042	Illkirch-Grafenstaden, Illkirch-Grafenstaden	7.71183, 48.5288	butt	b u tt	butte	b u tt e	1
355	Stra g 10	III_8_0083	Vendenheim, Vendenheim	7.71285, 48.66933	budde	b u dd e	budd	b u dd	1
356	Hag Q 3	III_6_0071	Forstheim, Forstheim	7.71468, 48.89506	butte	b u tt e	butt	b u tt	1
357	Stra o 3	III_9_0076	Mundolsheim, Mundolsheim	7.71544, 48.64179	butte	b u tt e	budde	b u dd e	2
358	Stra C 2	III_10_0111	Eschau, Eschau	7.71556, 48.48796	butte	b u tt e	budde	b u dd e	2
359	Stra K 6	III_11_0048	Daubensand, Daubensand	7.71659, 48.34964	budde	b u dd e	butte	b u tt e	2
360	Hag Q 2	III_6_0070	Eberbach , Eberbach	7.71711, 48.91154	budde	b u dd e	butte	b u tt e	2
361	Hag Q 10	III_6_0072	Laubach, Laubach	7.72032, 48.88168	budde	b u dd e	buddä	b u dd ä	1
362	Hag J 11	III_5_0074	Fröschweiler (Frœschwiller), Fröschweiler	7.72171, 48.94318	buddä̆	b u dd ä ̆	butte	b u tt e	4
363	Hag X 3/2, Hag X 3/1	III_7_0082	Schweighausen (Schweighouse-Sur-Moder), Schweighausen	7.73517, 48.82151	budde	b u dd e	butt	b u tt	3
364	Stra o 11	III_9_0065, III_9_0060, III_9_0059, III_9_0057, III_9_0063, III_9_0066, III_9_0071, III_9_0073, III_9_0062, III_9_0072, III_9_0070, III_9_0069, III_9_0067, III_9_0068, III_9_0061, III_9_0058	Straßburg, Straßburg	7.73609, 48.58523	butt	b u tt	butte	b u tt e	1
365	Hag Q 9	III_6_0073	Eschbach, Eschbach	7.73641, 48.87453	butt	b u tt	butte	b u tt e	1
366	Stra o 8	III_9_0053	Suffelweyersheim, Suffelweyersheim	7.74147, 48.6355	butte	b u tt e	budde	b u dd e	2
367	Hag J 10	III_5_0075	Wört (Woerth), Wört	7.74374, 48.93677	budde	b u dd e	butte	b u tt e	2
368	Hag Q 5	III_6_0075	Hagenheim (Hegeney), Hagenheim	7.74557, 48.89153	budde	b u dd e	bůdde	b ů dd e	1
369	Co X 8	III_16_0099	Höllstein, Höllstein	7.74574, 47.63943	buttĕ	b u tt ĕ	buttä	b u tt ä	1
370	Stra g 3	III_8_0085	Geudertheim, Geudertheim	7.74686, 48.72273	bude	b u d e	budde	b u dd e	1
371	Stra o 13	III_9_0049	Schiltigheim, Schiltigheim	7.74856, 48.60595	bůdde	b ů dd e	butte	b u tt e	3
372	Stra o 14	III_9_0051, III_9_0050	Straßburg-Bischheim, Straßburg-Bischheim	7.75254, 48.61483	bůdd	b ů dd	butte	b u tt e	4
373	Hag J 9	III_5_0084	Oberdorf-Spachbach, Oberdorf-Spachbach	7.75696, 48.92512	butt	b u tt	budde	b u dd e	3
374	Hag J 5	III_5_0076	Görsdorf (Goersdorf), Görsdorf	7.76782, 48.95111	buͥtt	b u ͥ tt	butt	b u tt	1
375	Hag J 8	III_5_0079	Diefenbach (Dieffenbach-Lès-Woerth), Diefenbach	7.77425, 48.93532	būtte	b ū tt e	butte	b u tt e	1
376	Hag X 7	III_7_0094	Weitbruch, Weitbruch	7.77586, 48.7535	budde	b u dd e	butten	b u tt e n	3
377	Stra K 1	III_11_0040	Meissenheim, Meissenheim	7.77738, 48.40898	buttä	b u tt ä	budde	b u dd e	3
378	Hag Q 7	III_6_0069	Biblisheim, Biblisheim	7.79196, 48.89991	budd	b u dd	budde	b u dd e	1
379	Co Q3	III_14_0152	Raich, Raich	7.79724, 47.75076	budde	b u dd e	butte	b u tt e	2
380	Stra o 17	III_9_0056	Straßburg-Ruprechtsau, Straßburg-Ruprechtsau	7.80059, 48.61004	butt	b u tt	butte	b u tt e	1
381	Hag J 6	III_5_0085	Preuschdorf, Preuschdorf	7.80425, 48.9435	budde	b u dd e	butte	b u tt e	2
382	Hag X 6	III_7_0091	Gries , Gries	7.81383, 48.75262	botte	b o tt e	butte	b u tt e	1
383	Stra o 1	III_9_0055	Wanzenau, Wanzenau	7.82574, 48.65926	budde	b u dd e	bude	b u d e	1
384	Co J6	III_14_0150	Neuenweg, Landkreis Lörrach, Neuenweg	7.8271, 47.79543	bud	b u d	butte	b u tt e	3
385	Hag Y 4	III_7_0095	Kaltenhausen, Kaltenhausen	7.83521, 48.79041	budda	b u dd a	butte	b u tt e	3
386	Hag K 22	III_5_0108	Oberkutzenhausen, Oberkutzenhausen	7.84049, 48.93847	budde	b u dd e	butte	b u tt e	2
387	Hag K 21	III_5_0090	Lobsann, Lobsann	7.84681, 48.96327	budda	b u dd a	budde	b u dd e	1
388	Hag K 15	III_5_0107	Kutzenhausen, Kutzenhausen	7.85624, 48.93375	budde	b u dd e	butte	b u tt e	2
389	Stra h 10	III_8_0088	Kilstett, Kilstett	7.85798, 48.67473	bud	b u d	butte	b u tt e	3
390	Hag K 17	III_5_0093, III_5_0094	Memmelshofen (Memmelshoffen), Memmelshofen	7.87106, 48.96013	budde	b u dd e	butt	b u tt	3
