	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_maurer_align	item_DWA	item_DWA_align	Levenshtein_item
0	Co B7	III_14_0065	Untermünstertal-Ziegelplatz (Untermünstertal), Untermünstertal	7.78649, 47.85518	budderbaer	b u dd e r b a e r	buderbeer	b u d e r b ee r	2
1	Co B8	III_14_0151	Untermünstertal-Rotenbuck, Untermünstertal-Rotenbuck	7.79435, 47.84136	butterbeere	b u tt e r b e e r e	butterbeer	b u tt e r b e e r	1
2	Co C12	III_14_0066	Obermünstertal-Spielweg, Obermünstertal-Spielweg	7.83588, 47.87776	buttabeer	b u tt a b e e r	butteber	b u tt e b e r	2
