	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_maurer_align	item_DWA	item_DWA_align	Levenshtein_item
413	TUTT J10	III_36_0048	Wahlwies, Wahlwies	8.96632, 47.81985	hagebutze	h a g e b u tz e	hegabutze	h e g a b u tz e	2
414	MH S12	II_60_0063	Schwanheim, Schwanheim	8.97596, 49.40194	hagebudde	h a g e b u dd e	hachebudde	h a ch e b u dd e	2
415	KST n7	III_19_0048	Berwangen, Berwangen	8.98098, 49.18431	hagebutte	h a g e b u tt e	hagebutze	h a g e b u tz e	1
416	KST n4	III_19_0051	Ehrstädt, Ehrstädt	8.98266, 49.24404	hagabuddr	h a g a b u dd r	hagebutte	h a g e b u tt e	4
417	TUTT Q10	III_37_0026	Gaienhofen, Gaienhofen	8.9829, 47.68263	hagēͣbutze	h a g ē ͣ b u tz e	hagebutze	h a g e b u tz e	2
418	KST u1	III_20_0053, III_20_0056, III_20_0054, III_20_0055	Gemmingen, Gemmingen	8.98358, 49.15633	hagebutte	h a g e b u tt e	hakenputzen	h a k e n p u tz e n	5
419	TUTT n1	III_33_0040	Buchheim, Buchheim	8.98672, 48.011	hagabutza	h a g a b u tz a	hagenbutze	h a g e n b u tz e	3
420	TUTT Q9	III_37_0027	Horn, Horn	8.99438, 47.69562	hagǟbutzǟ	h a g ǟ b u tz ǟ	hagäbutzi	h a g ä b u tz i	2
421	TUTT f3	III_32_0041	Schwenningen, Schwenningen	8.99619, 48.10638	hagebutz	h a g e b u tz	hagebutze	h a g e b u tz e	1
422	TUTT u3	III_34_0048	Gallmannsweil, Gallmannsweil	8.99683, 47.92357	haggebutze	h a gg e b u tz e	hagebutze	h a g e b u tz e	1
423	TUTT J11	III_36_0051, III_36_0050	Güttingen, Güttingen	8.998, 47.77415	hagabutza	h a g a b u tz a	hagebuze	h a g e b u z e	3
424	TUTT v2	III_34_0046	Worndorf, Worndorf	8.9985, 47.98553	hagebutte	h a g e b u tt e	hagebutze	h a g e b u tz e	1
425	KST g11	III_18_0053	Flinsbach, Flinsbach	8.9996, 49.30946	hagebutze	h a g e b u tz e	haarebutze	h aa r e b u tz e	2
426	TÜB g1	III_25_0044	Sindelfingen, Sindelfingen	9.00194, 48.70797	hagâbutzâ	h a g â b u tz â	hagabutza	h a g a b u tz a	2
427	TUTT K8	III_36_0045	Möggingen, Möggingen	9.00337, 47.76589	hagebutzå	h a g e b u tz å	hagebutze	h a g e b u tz e	1
428	TUTT R3	III_37_0030	Markelfingen, Markelfingen	9.00452, 47.74143	hagebutze̊	h a g e b u tz e ̊	hagebutze	h a g e b u tz e	1
429	MH T2	II_60_0068	Neunkirchen, Neunkirchen	9.00887, 49.38789	hagebutze	h a g e b u tz e	hahrebudde	h a h r e b u dd e	4
430	KST g7	III_18_0059	Untergimern, Untergimern	9.00947, 49.27049	hachebudde	h a ch e b u dd e	hagebudde	h a g e b u dd e	2
431	TUTT v6	III_34_0050	Mainwangen, Mainwangen	9.0105, 47.92565	hagebutza	h a g e b u tz a	hagebutze	h a g e b u tz e	1
432	TUTT C10	III_35_0059	Mühlingen, Mühlingen	9.01554, 47.91191	hagabutzå	h a g a b u tz å	hagebutza	h a g e b u tz a	2
433	MH T16	II_60_0070	Breitenbronn, Breitenbronn	9.02197, 49.36483	harebudde	h a r e b u dd e	hagabuda	h a g a b u d a	4
434	MH T9	II_60_0071	Asbach, Asbach	9.02562, 49.34133	hagebutte	h a g e b u tt e	hagebutze	h a g e b u tz e	1
435	TUTT K7	III_36_0055, III_36_0056	Liggeringen, Liggeringen	9.02698, 47.77495	hagebutze	h a g e b u tz e	hagabutze	h a g a b u tz e	1
436	TUTT K6	III_36_0054	Bodman, Bodman	9.02835, 47.80402	hagebutze	h a g e b u tz e	hagäbuzä	h a g ä b u z ä	3
437	TUTT v5	III_34_0051	Boll, Boll	9.0299, 47.9487	hagebutza	h a g e b u tz a	hagebutze	h a g e b u tz e	1
438	TUTT v3	III_34_0053	Bietingen, Bietingen	9.03261, 47.97091	hagebutze	h a g e b u tz e	hagebūtze	h a g e b ū tz e	1
439	TUTT v1	III_34_0054	Altheim, Altheim	9.03387, 47.99511	hagebūtze	h a g e b ū tz e	hagebutze	h a g e b u tz e	1
440	TUTT g1	III_32_0042	Glashütte (Heuberg), Glashütte	9.03485, 48.1237	hagabuzza	h a g a b u zz a	hagabutza	h a g a b u tz a	1
441	TUTT C2/2, TUTT C2/1	III_35_0052	Zoznegg, Zoznegg	9.04053, 47.89958	hageͣbutza	h a g e ͣ b u tz a	hagebutzen	h a g e b u tz e n	3
442	MH T7	II_60_0072	Mörtelstein, Mörtelstein	9.04246, 49.35708	hagebutte	h a g e b u tt e	hawerbutze	h a w e r b u tz e	3
443	TUTT C1	III_35_0054	Schwackenreute, Schwackenreute	9.04401, 47.91392	hagebutze	h a g e b u tz e	hagebutza	h a g e b u tz a	1
444	MH L4	II_59_0099	Zwingenberg, Zwingenberg	9.04439, 49.41287	hāgebutze	h ā g e b u tz e	hagebudde	h a g e b u dd e	3
445	TUTT v4	III_34_0052	Krumbach, Krumbach	9.04788, 47.96159	hagebute	h a g e b u t e	hagebutze	h a g e b u tz e	1
446	TUTT o4	III_33_0042	Kreenheinstetten, Kreenheinstetten	9.05221, 48.0555	hagebutza	h a g e b u tz a	hagebutze	h a g e b u tz e	1
447	MH L2	II_59_0101	Oberdielbach, Oberdielbach	9.05361, 49.44781	hāgebutze	h ā g e b u tz e	hagebutze	h a g e b u tz e	1
448	MH L6	II_59_0102	Waldkatzenbach, Waldkatzenbach	9.05484, 49.45603	hagebutte	h a g e b u tt e	hagebudde	h a g e b u dd e	2
449	KST o2	III_19_0052	Treschklingen, Treschklingen	9.05577, 49.22614	hageputze	h a g e p u tz e	hagerbutze	h a g e r b u tz e	2
450	MH T6	II_60_0074	Binau, Binau	9.0577, 49.36658	harebuddä	h a r e b u dd ä	harebudde	h a r e b u dd e	1
451	TUTT K4	III_36_0059	Ludwigshafen, Ludwigshafen	9.05916, 47.8189	hagä̆butzä̆	h a g ä ̆ b u tz ä ̆	haggebutze	h a gg e b u tz e	4
452	TUTT R6	III_37_0039, III_37_0040, III_37_0038	Reichenau, Reichenau	9.06125, 47.69789	hagebutte	h a g e b u tt e	hagebudde	h a g e b u dd e	2
453	KST g10	III_18_0063	Kälbertshausen, Kälbertshausen	9.06276, 49.31724	hagebudde	h a g e b u dd e	hagebutte	h a g e b u tt e	2
454	TUTT R4	III_37_0034, III_37_0033, III_37_0032	Allensbach, Allensbach	9.06699, 47.71535	hagabutte	h a g a b u tt e	haggebutte	h a gg e b u t t e	2
455	MH T17	II_60_0075	Neckargerach, Neckargerach	9.0708, 49.40101	hagebutte	h a g e b u tt e	hauerbutze	h a u e r b u tz e	3
456	TUTT v11	III_34_0055	Heudorf, Heudorf	9.07121, 47.99412	hagebutze	h a g e b u tz e	haggebutze	h a gg e b u tz e	1
457	TUTT K12	III_36_0058	Langenrain, Langenrain	9.07596, 47.76281	hagebutze	h a g e b u tz e	haggebutze	h a gg e b u tz e	1
458	MH T10	II_60_0078	Obrigheim, Obrigheim	9.09608, 49.35186	hagebudde	h a g e b u dd e	hagebutte	h a g e b u tt e	2
459	TUTT K11	III_36_0061, III_36_0062, III_36_0063, III_36_0064, III_36_0060	Sipplingen, Sipplingen	9.09665, 47.79525	haggabutza	h a gg a b u tz a	hagebutze	h a g e b u tz e	3
460	TUTT v9	III_34_0049	Wasser, Wasser	9.10143, 47.9671	hagabutza	h a g a b u tz a	hagabütza	h a g a b ü tz a	1
461	TUTT 07	III_33_0049	Rohrdorf, Rohrdorf	9.10207, 48.01811	hagaͤbutzaͤ	h a g a ͤ b u tz a ͤ	hagabudda	h a g a b u dd a	4
462	KST v1	III_20_0066	Schluchtern, Schluchtern	9.1026, 49.14843	hagabutte	h a g a b u tt e	hagebutte	h a g e b u tt e	1
463	TUTT R1	III_37_0036	Dettingen, Dettingen	9.117, 47.73485	hagabutta	h a g a b u tt a	haggebutte	h a gg e b u t t e	3
464	TUTT C3	III_35_0061	Sentenhart, Sentenhart	9.12618, 47.91369	hagebutze	h a g e b u tz e	haggebutze	h a gg e b u tz e	1
465	TUTT o6	III_33_0046	Engelswies, Engelswies	9.12846, 48.04259	hagebutze	h a g e b u tz e	hagebutzae	h a g e b u tz a e	1
466	MH T15	II_60_0077	Lohrbach, Lohrbach	9.14183, 49.4	hahebutte	h a h e b u tt e	hagebutte	h a g e b u tt e	1
467	MH T13	II_60_0081, II_60_0082	Mosbach, Mosbach	9.14619, 49.35501	hagebutte	h a g e b u tt e	hachebudde	h a ch e b u dd e	4
468	KST g14	III_18_0069	Heinsheim, Heinsheim	9.14778, 49.26416	hagebudde	h a g e b u dd e	hachebutte	h a ch e b u tt e	4
469	MH L5	II_59_0108	Fahrenbach, Fahrenbach	9.14987, 49.43091	hagebutte	h a g e b u tt e	hagebudde	h a g e b u dd e	2
470	TUTT o8	III_33_0051	Menningen, Menningen	9.15825, 48.01089	hågebutze	h å g e b u tz e	hagebutze	h a g e b u tz e	1
471	MH L7	II_59_0107	Robern, Robern	9.16265, 49.45394	haggebutte	h a gg e b u t t e	hagebudde	h a g e b u dd e	3
472	MH U1	II_60_0083	Neckarburken, Neckarburken	9.165, 49.37662	hāgebudde	h ā g e b u dd e	hagebudde	h a g e b u dd e	1
473	SIG t1	III_38_0131	Konstanz, Konstanz	9.17758, 47.66385	hageputze	h a g e p u tz e	hagebutte	h a g e b u tt e	2
474	MH M6	II_59_0110	Krumbach, Krumbach	9.18402, 49.45323	hachebutze	h a ch e b u tz e	håchebudde	h å ch e b u dd e	3
475	SIG k1	III_35_0076	Aach-Linz, Aach-Linz	9.20037, 47.91152	hagebutte	h a g e b u tt e	hagebutze	h a g e b u tz e	1
476	MH M5	II_59_0117	Limbach, Limbach	9.21181, 49.46142	håchebutte	h å ch e b u tt e	hachebude	h a ch e b u d e	3
477	MH M2	II_59_0119	Laudenberg, Laudenberg	9.21457, 49.48066	hagebudde	h a g e b u dd e	hagebutte	h a g e b u tt e	2
478	SIG q7	III_36_0074	Deisendorf, Deisendorf	9.21621, 47.76835	hagebutze	h a g e b u tz e	hagebutte	h a g e b u tt e	1
479	MH U9	II_60_0094	Auerbach, Auerbach	9.22666, 49.39927	hauerbutze	h a u e r b u tz e	haggebudde	h a gg e b u d d e	5
480	MH M4	II_59_0116	Scheringen, Scheringen	9.23513, 49.46663	hagebutte	h a g e b u tt e	hagebutze	h a g e b u tz e	1
481	MH M1	II_59_0120	Einbach, Waldhausen/Einbach	9.24238, 49.48477	hachebudde	h a ch e b u dd e	hachebutte	h a ch e b u tt e	2
482	SIG q3	III_37_0041	Oberuhldingen, Oberuhldingen	9.24549, 47.73557	hāgebūtze	h ā g e b ū tz e	hagebutze	h a g e b u tz e	2
483	MH M10	II_59_0115	Heidersbach, Heidersbach	9.2468, 49.45517	hachelbutze	h a ch e l b u tz e	hachebutze	h a ch e b u tz e	1
484	MH U8	II_60_0089	Billigheim, Billigheim	9.25406, 49.34748	hachebutze	h a ch e b u tz e	hagebutte	h a g e b u tt e	3
485	SIG g2/2, SIG g2/1	III_34_0065, III_34_0063	Pfullendorf, Pfullendorf	9.25466, 47.92614	hagebutza	h a g e b u tz a	hagebutze	h a g e b u tz e	1
486	MH Y3	III_18_0075	Herbolzheim, Herbolzheim	9.26007, 49.28376	hāchebutze	h ā ch e b u tz e	hachebutze	h a ch e b u tz e	1
487	MH Y2	III_18_0074	Neudenau, Neudenau	9.27037, 49.2923	hachebudde	h a ch e b u dd e	hachebudze	h a ch e b u d z e	1
488	MH U5	II_60_0086	Unterschefflenz, Unterschefflenz	9.27076, 49.39154	hauerbutze	h a u e r b u tz e	hagebutze	h a g e b u tz e	2
489	SIG q8/1	III_37_0047	Meersburg, Meersburg	9.27244, 47.69466	hagebutze	h a g e b u tz e	hagebutt	h a g e b u tt	2
490	SIG n12	III_36_0081	Salem, Salem	9.28599, 47.77663	hagebutze	h a g e b u tz e	hagebutza	h a g e b u tz a	1
491	SIG q5	III_37_0044	Grasbeuren, Grasbeuren	9.29766, 47.73029	hagebutze	h a g e b u tz e	hagebůtte	h a g e b ů tt e	2
492	SIG k3	III_35_0073, III_35_0074, III_35_0071, III_35_0072	Denkingen, Denkingen	9.30821, 47.89505	hagabutze	h a g a b u tz e	hagebutze	h a g e b u tz e	1
493	SIG n5	III_36_0072	Heiligenberg, Heiligenberg	9.31203, 47.81993	haggebudde	h a gg e b u d d e	hagebutt	h a g e b u tt	4
494	SIG q10	III_37_0048	Hagnau, Hagnau	9.31963, 47.67634	hagebutte	h a g e b u tt e	hagebutten	h a g e b u tt e n	1
495	SIG n10	III_36_0073	Beuren, Beuren	9.32135, 47.80541	haggebuddä	h a gg e b u d d ä	hagabutze	h a g a b u tz e	5
496	SIG q6	III_37_0045, III_37_0046	Ahausen, Ahausen	9.32247, 47.72502	hagebutz	h a g e b u tz	hagbutz	h a g b u tz	1
497	SIG n15	III_36_0080	Röhrenbach, Röhrenbach	9.3248, 47.82972	haggebutze	h a gg e b u tz e	hagebutze	h a g e b u tz e	1
498	MH N3	II_59_0123	Seckach, Seckach	9.33368, 49.44238	hachebutte	h a ch e b u tt e	haachebudde	h aa ch e b u d d e	3
