	Fragebogen-Nr. Maurer	Fragebogen-Nr. DWA	Ort	Longitude	Latitude	Item Maurer	Item DWA	Levenshtein Item Min	z_score_item	Phontype Maurer	Phontype DWA	Levenshtein Phontype Min	z_score_phontype	Lextype Maurer	Lextype DWA	Levenshtein Lextype Min	z_score_lextype
1496	MH f1	II_88_0007	Mondfeld, Krs. Tauberbischofsheim	9.41656	49.7837	stecknodel	stecknodel  	0	-0.7815579410052661	schteknodel	schteknodel	0	-0.5955950302609602	Stecknadel	Stecknadel	0	-0.48323353219796433
1497	MH f2	II_88_0005	Boxtal	9.40146	49.76416	stecknodel	stecknodel	0	-0.7815579410052661	schteknodel	schteknodel	0	-0.5955950302609602	Stecknadel	Stecknadel	0	-0.48323353219796433
1498	MH f3	II_88_0014	Grünenwört	9.47135	49.77438	stecknodel	stecknadel, stegnodel	1	-0.25251144499813616	schteknodel	schteknadel, schteknodel	0	-0.5955950302609602	Stecknadel	Stecknadel, Stecknadel	0	-0.48323353219796433
1499	MH g1	II_88_0024	Dertingen über Wertheim a.M.	9.61957	49.7665	stecknaadel	stecknōădl	3	0.8055815470161238	schteknadel	schteknoadl	2	0.4650288411235568	Stecknadel	Stecknadel	0	-0.48323353219796433
1500	MH g2	II_88_0023	Lindelbach	9.58346	49.75732	schdecknodl	schtecknöhdala	5	1.8636745390303837	schteknodel	schteknödela	2	0.4650288411235568	Stecknadel	Stecknadele	1	0.046871200937531186
1501	MH g3	na	Wertheim-Bastenheid	9.5029	49.78173	stecknodel	na	999	527.7358915701176	schteknodel	na	999	529.1860287263053	Stecknadel	na	999	529.091394870162
1502	MH g4	II_88_0022	Bettingen	9.5642	49.77261	stecknödele	schtecknöhdala	5	1.8636745390303837	schteknödele	schteknödela	1	-0.06528309456870167	Stecknadele	Stecknadele	0	-0.48323353219796433
1503	MH g5	na	Wertheim-Eichel	9.54093	49.76546	stecknådel	na	999	527.7358915701176	schteknådel	na	999	529.1860287263053	Stecknadel	na	999	529.091394870162
1504	MH n1	II_55_0128, II_55_0129	Freudenberg	9.32533	49.75145	stecknodel	na, na	999	527.7358915701176	schteknodel	na, na	999	529.1860287263053	Stecknadel	na, na	999	529.091394870162
1505	MH o1	II_89_0016	Rauenberg	9.38407	49.74117	stecknodel	stecknoudel	1	-0.25251144499813616	schteknodel	schteknoudel	1	-0.06528309456870167	Stecknadel	Stecknadel	0	-0.48323353219796433
