	Fragebogen-Nr. Maurer	Fragebogen-Nr. DWA	Ort	Longitude	Latitude	Item Maurer	Item DWA	Levenshtein Item Min	z_score_item	Phontype Maurer	Phontype DWA	Levenshtein Phontype Min	z_score_phontype	Lextype Maurer	Lextype DWA	Levenshtein Lextype Min	z_score_lextype
2264	TUTT Q2	III_37_0020	Überlingen am Ried	8.89807	47.73495	pflumme	pflumme	0	-0.7815579410052661	pflume	pflume	0	-0.5955950302609602	Pflaume	Pflaume	0	-0.48323353219796433
2265	TUTT Q3	III_37_0019	Worblingen	8.86677	47.72492	bflume	bflum̄a	2	0.27653505100899384	pflume	pflume	0	-0.5955950302609602	Pflaume	Pflaume	0	-0.48323353219796433
2266	TUTT Q4	III_37_0021	Bohlingen	8.8965	47.72199	pflumme	pflume	1	-0.25251144499813616	pflume	pflume	0	-0.5955950302609602	Pflaume	Pflaume	0	-0.48323353219796433
2267	TUTT Q5	III_37_0024	Moos	8.93316	47.7259	pflumme	pflumme	0	-0.7815579410052661	pflume	pflume	0	-0.5955950302609602	Pflaume	Pflaume	0	-0.48323353219796433
2268	TUTT Q6/1, TUTT Q6/2, TUTT Q6/3	III_37_0023	Radolfzell, Radolfzell, Radolfzell	8.97017	47.74493	pflume, pflume, pflume	pflaume	1	-0.25251144499813616	pflume, pflume, pflume	pflaume	1	-0.06528309456870167	Pflaume, Pflaume, Pflaume	Pflaume	0	-0.48323353219796433
2269	TUTT Q7	III_37_0025	Bankholzen	8.92989	47.7082	pflumme	pflummä	1	-0.25251144499813616	pflume	pflume	0	-0.5955950302609602	Pflaume	Pflaume	0	-0.48323353219796433
2270	TUTT Q8	III_37_0028	Weiler und Iznang	8.95347	47.70847	bürlizwetschge	pflum̄e	12	5.567000011080293	bürlizwetschge	pflume	12	5.768148198046141	Bürlizwetschge	Pflaume	12	5.878023265427982
2271	TUTT Q9	III_37_0027	Horn	8.99438	47.69562	pflummä̆	pflumä̆	1	-0.25251144499813616	pflume	pflume	0	-0.5955950302609602	Pflaume	Pflaume	0	-0.48323353219796433
2272	TUTT Q10	III_37_0026	Gaienhofen	8.9829	47.68263	pflumēͣ	pflume	2	0.27653505100899384	pflume	pflume	0	-0.5955950302609602	Pflaume	Pflaume	0	-0.48323353219796433
2273	TUTT Q11	III_37_0029	Hemmenhofen	8.96502	47.67294	pflume	pflumme	1	-0.25251144499813616	pflume	pflume	0	-0.5955950302609602	Pflaume	Pflaume	0	-0.48323353219796433
2274	TUTT Q12	III_37_0022	Schienen	8.90035	47.68774	pflumme	pflumme	0	-0.7815579410052661	pflume	pflume	0	-0.5955950302609602	Pflaume	Pflaume	0	-0.48323353219796433
2275	TUTT Q13	III_37_0017	Rieslasingen	8.83715	47.73231	pflumme	pflumme	0	-0.7815579410052661	pflume	pflume	0	-0.5955950302609602	Pflaume	Pflaume	0	-0.48323353219796433
2276	TUTT R1	III_37_0036	Dettingen	9.117	47.73485	pflumma	pflumme	1	-0.25251144499813616	pflume	pflume	0	-0.5955950302609602	Pflaume	Pflaume	0	-0.48323353219796433
2277	TUTT R2	III_37_0031	Kaltbrunn	9.07201	47.73526	pfluma	pfluma	0	-0.7815579410052661	pflume	pflume	0	-0.5955950302609602	Pflaume	Pflaume	0	-0.48323353219796433
2278	TUTT R3	III_37_0030	Markelfingen	9.00452	47.74143	pflumme̊	pfluma	3	0.8055815470161238	pflume	pflume	0	-0.5955950302609602	Pflaume	Pflaume	0	-0.48323353219796433
2279	TUTT R4	III_37_0032, III_37_0033, III_37_0034, III_37_0035	Allensbach	9.06699	47.71535	pflumma	pflaume, pflumen, pflumme, pflum, pflum	1	-0.25251144499813616	pflume	pflaume, pflume, pflume, pflum, pflum	0	-0.5955950302609602	Pflaume	Pflaume, Pflaume, Pflaume, Pflaume, Pflaume	0	-0.48323353219796433
