	Fragebogen-Nr. Maurer	Fragebogen-Nr. DWA	Ort	Longitude	Latitude	Item Maurer	Item DWA	Levenshtein Item Min	z_score_item	Phontype Maurer	Phontype DWA	Levenshtein Phontype Min	z_score_phontype	Lextype Maurer	Lextype DWA	Levenshtein Lextype Min	z_score_lextype
1052	Stra g 7	III_8_0086	Hördt	7.78279	48.69341	graj	atzel	5	1.8636745390303837	krai	atsel	5	2.0559646482003324	Krähe	Atzel	5	2.1672901334795136
1053	Stra g 8	III_8_0080, III_8_0081	Olwisheim	7.67511	48.69681	ātzel	atzel, atzel	1	-0.25251144499813616	atsel	atsel, atsel	0	-0.5955950302609602	Atzel	Atzel, Atzel	0	-0.48323353219796433
1054	Stra g 9	III_8_0082	Eckwersheim	7.69351	48.68244	åtzel	elster	5	1.8636745390303837	atsel	elschter	6	2.5862765838925905	Atzel	Elster	5	2.1672901334795136
1055	Stra g 10	III_8_0083	Vendenheim	7.71285	48.66933	åtzl	atzel	2	0.27653505100899384	atsel	atsel	0	-0.5955950302609602	Atzel	Atzel	0	-0.48323353219796433
1056	Stra h 1	III_8_0091	Herlisheim (Herrlisheim)	7.90651	48.72976	åtzel	atzel	1	-0.25251144499813616	atsel	atsel	0	-0.5955950302609602	Atzel	Atzel	0	-0.48323353219796433
1057	Stra h 2	III_8_0090	Offendorf	7.91375	48.71167	åtzel	aatzel	2	0.27653505100899384	atsel	atsel	0	-0.5955950302609602	Atzel	Atzel	0	-0.48323353219796433
1058	Stra h 3	III_8_0097	Grauelsbaum	7.98186	48.73575	il	elster	5	1.8636745390303837	il	elschter	7	3.116588519584849	Eil	Elster	5	2.1672901334795136
1059	Stra h 4	III_8_0095	Helmlingen	7.9656	48.70959	atzel	atzel	0	-0.7815579410052661	atsel	atsel	0	-0.5955950302609602	Atzel	Atzel	0	-0.48323353219796433
1060	Stra h 5	III_8_0096	Scherzheim	7.99655	48.7137	elschder	azel	7	2.921767531044644	elschter	atsel	6	2.5862765838925905	Elster	Atzel	5	2.1672901334795136
1061	Stra h 6	III_8_0094	Muckenschopf am Rhein	7.98806	48.69362	atzel	elschter, azel	1	-0.25251144499813616	atsel	elschter, atsel	0	-0.5955950302609602	Atzel	Elster, Atzel	0	-0.48323353219796433
1062	Stra h 7	III_8_0093	Memprechtshofen	7.98237	48.68233	azzl	atzel	2	0.27653505100899384	atsel	atsel	0	-0.5955950302609602	Atzel	Atzel	0	-0.48323353219796433
1063	Stra h 8	III_8_0092	Freistett	7.93582	48.67138	atzel	elschder	7	2.921767531044644	atsel	elschter	6	2.5862765838925905	Atzel	Elster	5	2.1672901334795136
1064	Stra h 9	III_8_0089	Gambsheim	7.87971	48.69159	krāje	atzel	5	1.8636745390303837	kraie	atsel	5	2.0559646482003324	Krähe	Atzel	5	2.1672901334795136
1065	Stra h 10	III_8_0088	Kilstett, Kilstett	7.85798	48.67473	graj, atzel	kraj, azel	1	-0.25251144499813616	krai, atsel	krai, atsel	0	-0.5955950302609602	Krabb, Atzel	Krähe, Atzel	0	-0.48323353219796433
1066	Stra l 1, Stra l 3	III_9_0005, III_9_0007	Engenthal, Engental	7.30153	48.63467	na, na	atzel, na	999	527.7358915701176	na, na	atsel, na	999	529.1860287263053	na, na	Atzel, na	999	529.091394870162
1067	Stra l 2	III_9_0006	Wangenburg	7.30732	48.6228	elschder	atzel	7	2.921767531044644	elschter	atsel	6	2.5862765838925905	Elster	Atzel	5	2.1672901334795136
1068	Stra m 1	III_9_0013	Birkenwald	7.34505	48.65874	åtzel	atzel	1	-0.25251144499813616	atsel	atsel	0	-0.5955950302609602	Atzel	Atzel	0	-0.48323353219796433
1069	Stra m 2	III_8_0044	Salental	7.37043	48.66739	na	atzel	999	527.7358915701176	na	atsel	999	529.1860287263053	na	Atzel	999	529.091394870162
1070	Stra m 3/2	III_8_0045	Singrist	7.38757	48.6705	åtzel	atzel	1	-0.25251144499813616	atsel	atsel	0	-0.5955950302609602	Atzel	Atzel	0	-0.48323353219796433
1071	Stra m 4	III_8_0047	Jettersweiler	7.41482	48.67034	åtzel	åtzel	0	-0.7815579410052661	atsel	atsel	0	-0.5955950302609602	Atzel	Atzel	0	-0.48323353219796433
1072	Stra m 5	III_9_0011	Krastatt	7.4265	48.65831	atzel	atzel	0	-0.7815579410052661	atsel	atsel	0	-0.5955950302609602	Atzel	Atzel	0	-0.48323353219796433
1073	Stra m 6	III_9_0016	Rangen	7.47865	48.66636	åzl	atzel	3	0.8055815470161238	atsel	atsel	0	-0.5955950302609602	Atzel	Atzel	0	-0.48323353219796433
1074	Stra m 7	III_9_0017	Hohengöft	7.47311	48.66189	åzl	åzl	0	-0.7815579410052661	atsel	atsel	0	-0.5955950302609602	Atzel	Atzel	0	-0.48323353219796433
1075	Stra m 8	III_9_0010	Romansweiler	7.40829	48.64445	åzel	atzel	2	0.27653505100899384	atsel	atsel	0	-0.5955950302609602	Atzel	Atzel	0	-0.48323353219796433
1076	Stra m 9/1, Stra m 9/2	III_9_0009	Wasselnheim (Wasselonne), Wasselnheim (Wasselonne)	7.44724	48.63718	atzel, kasatzel	käsatzel	1	-0.25251144499813616	atsel, kasatsel	käsatsel	1	-0.06528309456870167	Atzel, Kasatzel	Kasatzel	0	-0.48323353219796433
1077	Stra m 10	III_9_0023	Wangen 	7.4664	48.61834	atzel	atzel	0	-0.7815579410052661	atsel	atsel	0	-0.5955950302609602	Atzel	Atzel	0	-0.48323353219796433
1078	Stra m 11	III_9_0015	Marlenheim, Kärchheim	7.49054	48.62101	åtzl	åzl	1	-0.25251144499813616	atsel	atsel	0	-0.5955950302609602	Atzel	Atzel	0	-0.48323353219796433
1079	Stra m 12	III_9_0014	Kirchheim	7.49624	48.60963	kasåtzel	kasåtzel	0	-0.7815579410052661	kasatsel	kasatsel	0	-0.5955950302609602	Kasatzel	Kasatzel	0	-0.48323353219796433
1080	Stra m 13	III_9_0018	Odratzheim	7.48778	48.60108	kasatzel	kasazel	1	-0.25251144499813616	kasatsel	kasatsel	0	-0.5955950302609602	Kasatzel	Kasatzel	0	-0.48323353219796433
