	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_maurer_align	item_DWA	item_DWA_align	Levenshtein_item
1713	KST e1	III_18_0022	Nussloch, Nussloch	8.69576, 49.32301	emenze	e m e n z e	emenz	e m e n z	1
1714	KST P3/4, KST P3/3, KST P3/1, KST P3/2	III_23_0043, III_23_0046, III_23_0039, III_23_0050, III_23_0037, III_23_0052, III_23_0048, III_23_0054, III_23_0040, III_23_0038, III_23_0045, III_23_0053, III_23_0041, III_23_0049, III_23_0047, III_23_0044, III_23_0036	Pforzheim, Pforzheim	8.70025, 48.89013	omeis	o m ei s	ameise	a m ei s e	2
1715	KST P3/4, KST P3/3, KST P3/1, KST P3/2	III_23_0043, III_23_0046, III_23_0039, III_23_0050, III_23_0037, III_23_0052, III_23_0048, III_23_0054, III_23_0040, III_23_0038, III_23_0045, III_23_0053, III_23_0041, III_23_0049, III_23_0047, III_23_0044, III_23_0036	Pforzheim, Pforzheim	8.70025, 48.89013	omeis	o m ei s	åmeis	å m ei s	1
1716	KST P3/4, KST P3/3, KST P3/1, KST P3/2	III_23_0043, III_23_0046, III_23_0039, III_23_0050, III_23_0037, III_23_0052, III_23_0048, III_23_0054, III_23_0040, III_23_0038, III_23_0045, III_23_0053, III_23_0041, III_23_0049, III_23_0047, III_23_0044, III_23_0036	Pforzheim, Pforzheim	8.70025, 48.89013	omeis	o m ei s	aomeise	a o m ei s e	2
1717	KST P3/4, KST P3/3, KST P3/1, KST P3/2	III_23_0043, III_23_0046, III_23_0039, III_23_0050, III_23_0037, III_23_0052, III_23_0048, III_23_0054, III_23_0040, III_23_0038, III_23_0045, III_23_0053, III_23_0041, III_23_0049, III_23_0047, III_23_0044, III_23_0036	Pforzheim, Pforzheim	8.70025, 48.89013	omeis	o m ei s	ȃmais	ȃ m a i s	2
1718	KST P3/4, KST P3/3, KST P3/1, KST P3/2	III_23_0043, III_23_0046, III_23_0039, III_23_0050, III_23_0037, III_23_0052, III_23_0048, III_23_0054, III_23_0040, III_23_0038, III_23_0045, III_23_0053, III_23_0041, III_23_0049, III_23_0047, III_23_0044, III_23_0036	Pforzheim, Pforzheim	8.70025, 48.89013	omeis	o m ei s	amais	a m a i s	2
1719	KST P3/4, KST P3/3, KST P3/1, KST P3/2	III_23_0043, III_23_0046, III_23_0039, III_23_0050, III_23_0037, III_23_0052, III_23_0048, III_23_0054, III_23_0040, III_23_0038, III_23_0045, III_23_0053, III_23_0041, III_23_0049, III_23_0047, III_23_0044, III_23_0036	Pforzheim, Pforzheim	8.70025, 48.89013	omeis	o m ei s	ameis	a m ei s	1
1720	KST P3/4, KST P3/3, KST P3/1, KST P3/2	III_23_0043, III_23_0046, III_23_0039, III_23_0050, III_23_0037, III_23_0052, III_23_0048, III_23_0054, III_23_0040, III_23_0038, III_23_0045, III_23_0053, III_23_0041, III_23_0049, III_23_0047, III_23_0044, III_23_0036	Pforzheim, Pforzheim	8.70025, 48.89013	omeis	o m ei s	õmais	õ m a i s	2
1721	KST P3/4, KST P3/3, KST P3/1, KST P3/2	III_23_0043, III_23_0046, III_23_0039, III_23_0050, III_23_0037, III_23_0052, III_23_0048, III_23_0054, III_23_0040, III_23_0038, III_23_0045, III_23_0053, III_23_0041, III_23_0049, III_23_0047, III_23_0044, III_23_0036	Pforzheim, Pforzheim	8.70025, 48.89013	omeis	o m ei s	omeise	o m ei s e	1
1722	KST P3/4, KST P3/3, KST P3/1, KST P3/2	III_23_0043, III_23_0046, III_23_0039, III_23_0050, III_23_0037, III_23_0052, III_23_0048, III_23_0054, III_23_0040, III_23_0038, III_23_0045, III_23_0053, III_23_0041, III_23_0049, III_23_0047, III_23_0044, III_23_0036	Pforzheim, Pforzheim	8.70025, 48.89013	omais	o m a i s	omeis	o m ei s	1
