	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_maurer_align	item_DWA	item_DWA_align	Levenshtein_item
0	TUTT J11	III_36_0051, III_36_0050	Güttingen, Güttingen	8.998, 47.77415	klamoasa	k l a m o a s a	klamos	k l a m o s	2
1	TUTT K8	III_36_0045	Möggingen, Möggingen	9.00337, 47.76589	glamoaså	g l a m o a s å	klamoasa	k l a m o a s a	2
