	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_DWA	Levenshtein_item	phontype_maurer	phontype_DWA	Levenshtein_phontype	lextype_maurer	lextype_DWA	Levenshtein_lextype
0	Co D1	na	Dollern (Dolleren)	6.93211, 47.80559	pflīemala	na	999	pfliemla	na	999	Pfläumle	na	999
1	Co E5	na	Rodern	7.0877, 47.77839	pfliemla	na	999	pfliemla	na	999	Pfläumle	na	999
2	Stra S 11	na	Münchweier	7.85884, 48.24754	pflumle	na	999	pflumle	na	999	Pfläumle	na	999
3	MH x8	na	Tauberbischofsheim	9.66553, 49.62352	pfläumle	na	999	pfläumle	na	999	Pfläumle	na	999
4	na	III_6_0002	Pisdorf	7.06995, 48.9005	na	brümmel	999	na	prümel	999	na	Pfläumle	999
5	na	III_16_0089	Haltingen	7.61378, 47.61384	na	pflümli	999	na	pflümli	999	na	Pfläumle	999
6	na	III_11_0116	Altdorf	7.81401, 48.26606	na	pfliemli	999	na	pfliemli	999	na	Pfläumle	999
7	na	III_12_0041	Broggingen	7.82928, 48.21892	na	pflümli	999	na	pflümli	999	na	Pfläumle	999
