	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_maurer_align	item_DWA	item_DWA_align	Levenshtein_item
1428	Co n 12	III_13_0048, III_13_0050, III_13_0051	Bötzingen, Bötzingen	7.72593, 48.07743	flaede̍rmūs	f l a e d e ̍ r m ū s	flädermūs	f l ä d e r m ū s	3
1429	Co n 12	III_13_0048, III_13_0050, III_13_0051	Bötzingen, Bötzingen	7.72593, 48.07743	flaede̍rmūs	f l a e d e ̍ r m ū s	fläddermus	f l ä dd e r m u s	4
1430	Hag X 3/2, Hag X 3/1	III_7_0082	Schweighausen (Schweighouse-Sur-Moder), Schweighausen	7.73517, 48.82151	fladermǖß	f l a d e r m ǖ ß	fladdermüüs	f l a dd e r m ü ü s	4
1431	Hag X 3/2, Hag X 3/1	III_7_0082	Schweighausen (Schweighouse-Sur-Moder), Schweighausen	7.73517, 48.82151	fladdermǖs	f l a dd e r m ǖ s	fladdermüüs	f l a dd e r m ü ü s	2
1432	Stra o 11	III_9_0065, III_9_0060, III_9_0059, III_9_0057, III_9_0066, III_9_0071, III_9_0062, III_9_0072, III_9_0070, III_9_0074, III_9_0069, III_9_0067, III_9_0068, III_9_0061, III_9_0058, III_9_0064	Straßburg, Straßburg	7.73609, 48.58523	flädrmǖs	f l ä d r m ǖ s	fleddamüs	f l e dd a m ü s	4
1433	Stra o 11	III_9_0065, III_9_0060, III_9_0059, III_9_0057, III_9_0066, III_9_0071, III_9_0062, III_9_0072, III_9_0070, III_9_0074, III_9_0069, III_9_0067, III_9_0068, III_9_0061, III_9_0058, III_9_0064	Straßburg, Straßburg	7.73609, 48.58523	flädrmǖs	f l ä d r m ǖ s	fleddermüs	f l e dd e r m ü s	4
1434	Stra o 11	III_9_0065, III_9_0060, III_9_0059, III_9_0057, III_9_0066, III_9_0071, III_9_0062, III_9_0072, III_9_0070, III_9_0074, III_9_0069, III_9_0067, III_9_0068, III_9_0061, III_9_0058, III_9_0064	Straßburg, Straßburg	7.73609, 48.58523	flädrmǖs	f l ä d r m ǖ s	flettermüs	f l e tt e r m ü s	5
1435	Stra o 11	III_9_0065, III_9_0060, III_9_0059, III_9_0057, III_9_0066, III_9_0071, III_9_0062, III_9_0072, III_9_0070, III_9_0074, III_9_0069, III_9_0067, III_9_0068, III_9_0061, III_9_0058, III_9_0064	Straßburg, Straßburg	7.73609, 48.58523	flädrmǖs	f l ä d r m ǖ s	fläddermüs	f l ä dd e r m ü s	3
1436	Stra o 11	III_9_0065, III_9_0060, III_9_0059, III_9_0057, III_9_0066, III_9_0071, III_9_0062, III_9_0072, III_9_0070, III_9_0074, III_9_0069, III_9_0067, III_9_0068, III_9_0061, III_9_0058, III_9_0064	Straßburg, Straßburg	7.73609, 48.58523	flädrmǖs	f l ä d r m ǖ s	flädermüß	f l ä d e r m ü ß	3
1437	Stra o 11	III_9_0065, III_9_0060, III_9_0059, III_9_0057, III_9_0066, III_9_0071, III_9_0062, III_9_0072, III_9_0070, III_9_0074, III_9_0069, III_9_0067, III_9_0068, III_9_0061, III_9_0058, III_9_0064	Straßburg, Straßburg	7.73609, 48.58523	flädrmǖs	f l ä d r m ǖ s	fladdermüs	f l a dd e r m ü s	4
