	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_DWA	Levenshtein_item	phontype_maurer	phontype_DWA	Levenshtein_phontype	lextype_maurer	lextype_DWA	Levenshtein_lextype
70	na	III_8_0045	Singrist	7.38757, 48.6705	na	begrabnis	999	na	begrabnis	999	na	Begräbnis	999
71	na	III_11_0094	Kinzheim	7.39476, 48.25441	na	begräbnis	999	na	begräbnis	999	na	Begräbnis	999
72	na	III_10_0021	Rosenweiler	7.4409, 48.50587	na	begräbnis	999	na	begräbnis	999	na	Begräbnis	999
73	na	III_7_0052	Riedheim	7.47956, 48.81064	na	begrabnis, begräbnis	999	na	begräbnis	999	na	Begräbnis	999
74	na	III_8_0033	Lupstein	7.48491, 48.73763	na	begrabnis	999	na	begrabnis	999	na	Begräbnis	999
75	na	III_17_0027	Buschweiler	7.50989, 47.55993	na	begräbnis	999	na	begräbnis	999	na	Begräbnis	999
76	na	III_8_0061	Willgottheim	7.51166, 48.67082	na	begräbnis	999	na	begräbnis	999	na	Begräbnis	999
77	na	III_17_0035	Hegenheim	7.52344, 47.56115	na	begräbnis	999	na	begräbnis	999	na	Begräbnis	999
78	na	III_14_0134	Neuenburg	7.56012, 47.81393	na	begräbnis	999	na	begräbnis	999	na	Begräbnis	999
79	na	III_9_0036	Quatzenheim	7.57372, 48.62636	na	begrabnis	999	na	begrabnis	999	na	Begräbnis	999
80	na	III_11_0101	Bindernheim	7.60713, 48.28366	na	begräbnis	999	na	begräbnis	999	na	Begräbnis	999
81	na	III_9_0029	Truchtersheim	7.60723, 48.66319	na	begrabnis	999	na	begrabnis	999	na	Begräbnis	999
82	na	III_4_0080	Obersteinbach	7.69364, 49.03549	na	begräbnis	999	na	begräbnis	999	na	Begräbnis	999
83	na	III_5_0076	Görsdorf	7.76782, 48.95111	na	begräbnis	999	na	begräbnis	999	na	Begräbnis	999
84	na	III_12_0118	Nimburg	7.77794, 48.10762	na	begräbnis	999	na	begräbnis	999	na	Begräbnis	999
85	na	III_12_0042	Bleichheim	7.8306, 48.20842	na	begrabnis	999	na	begrabnis	999	na	Begräbnis	999
86	na	III_10_0051	Odelshofen	7.88021, 48.56001	na	begräbnis	999	na	begräbnis	999	na	Begräbnis	999
87	na	III_12_0139	Waldkirch	7.96049, 48.09361	na	begräbnis	999	na	begräbnis	999	na	Begräbnis	999
88	na	III_11_0071	Fußbach	8.01836, 48.36476	na	begräbnis	999	na	begräbnis	999	na	Begräbnis	999
89	na	III_11_0126	Schönberg	8.0327, 48.36461	na	begräbnis	999	na	begräbnis	999	na	Begräbnis	999
90	na	III_6_0087	Niederrödern	8.04105, 48.90576	na	begräbnis	999	na	begräbnis	999	na	Begräbnis	999
91	na	III_5_0125	Siegen	8.04269, 48.9581	na	begräbnis	999	na	begräbnis	999	na	Begräbnis	999
92	na	III_16_0132	Rüßwihl	8.07093, 47.63063	na	begräbnis	999	na	begräbnis	999	na	Begräbnis	999
93	na	III_6_0095	Beinheim	8.08253, 48.86153	na	begräbnis	999	na	begräbnis	999	na	Begräbnis	999
94	na	III_9_0100	Obersasbach	8.10713, 48.63223	na	begräbnis	999	na	begräbnis	999	na	Begräbnis	999
95	na	III_11_0077	Oberharmersbach	8.12723, 48.37386	na	begräbnis	999	na	begräbnis	999	na	Begräbnis	999
96	na	III_11_0151	Halbmeil	8.27063, 48.29042	na	begräbnis	999	na	begräbnis	999	na	Begräbnis	999
97	na	III_38_0008	Küssnach	8.36574, 47.59396	na	begräbnis	999	na	begräbnis	999	na	Begräbnis	999
98	na	III_35_0005	Unadingen	8.40711, 47.88128	na	begräbnis	999	na	begräbnis	999	na	Begräbnis	999
99	na	III_24_0025	Steinegg	8.79091, 48.81349	na	begräbnis	999	na	begräbnis	999	na	Begräbnis	999
100	na	II_59_0095	Rockenau	8.99904, 49.44673	na	begräbnis	999	na	begräbnis	999	na	Begräbnis	999
101	na	III_37_0032	Allensbach	9.06699, 47.71535	na	begräbnis	999	na	begräbnis	999	na	Begräbnis	999
102	na	III_20_0066	Schluchtern	9.1026, 49.14843	na	begräbnis	999	na	begräbnis	999	na	Begräbnis	999
103	na	III_35_0061	Sentenhart	9.12618, 47.91369	na	begräbnis	999	na	begräbnis	999	na	Begräbnis	999
104	na	II_60_0083	Neckarburken	9.165, 49.37662	na	begräbnis	999	na	begräbnis	999	na	Begräbnis	999
105	na	II_89_0005	Ebenheid	9.36095, 49.7158	na	begräbnis	999	na	begräbnis	999	na	Begräbnis	999
106	na	III_37_0054	Markdorf	9.38933, 47.72088	na	begräbnis	999	na	begräbnis	999	na	Begräbnis	999
107	na	II_89_0012	Sonderriet	9.43938, 49.71753	na	begräbnis	999	na	begräbnis	999	na	Begräbnis	999
108	na	II_88_0014	Grünenwört	9.47135, 49.77438	na	begräbnis	999	na	begräbnis	999	na	Begräbnis	999
109	na	II_91_0008	Pülfringen	9.52624, 49.58149	na	begräbnis	999	na	begräbnis	999	na	Begräbnis	999
110	na	II_91_0010	Buch	9.55592, 49.53858	na	begräbnis	999	na	begräbnis	999	na	Begräbnis	999
111	na	II_89_0035	Werbachhausen	9.67954, 49.67946	na	begräbnis	999	na	begräbnis	999	na	Begräbnis	999
112	na	II_92_0027	Dainbach	9.71553, 49.49662	na	begräbnis	999	na	begräbnis	999	na	Begräbnis	999
