lfd	Fragebogen	Ort	GID	LONG	LAT	org	item	phontype	lextype	belegnr.	erhebung	korrektur
na	III_11_0144	Einbach-Hauserbach	544454	8.16759	48.2974	Gugummer (w)	gugummer	gugummer	Gugummer	1	DWA	na
na	III_11_0145	Einbach	544454	8.16759	48.2974	na	na	na	na	1	DWA	na
na	III_11_0146	Einbach	544454	8.16759	48.2974	Gugumer	gugumer	gügümmer	Gugummer	1	DWA	Gugumer
na	III_11_0147	Oberwolfach	128802, 128802	8.21698	48.3174	Gugumere	gugumere	gugummere	Gugummer	1	DWA	na
na	III_11_0148	Langenbach	544455	8.25164	48.3205	Gugummere (w)	gugummere	gugummere	Gugummer	1	DWA	na
na	III_11_0149	St. Roman	128812	8.2924	48.33187	Gurke	gurke	gurke	Gurke	1	DWA	na
na	III_11_0150	Wolfach	128818, 128818	8.22076	48.30289	Gugummere (große Gurken)	gugummere  	gugummere	Gugummer	1	DWA	na
na	III_11_0151	Halbmeil	134119	8.27063	48.29042	Gurke	gurke	gurke	Gurke	1	DWA	na
na	III_11_0152	Vorderlehengericht	132659	8.30807	48.2924	Gugumara	gugumara	gugummere	Gugummer	1	DWA	na
na	III_11_0153	Hinterlehengericht	132659	8.30807	48.2924	Gurge	gurge	gurke	Gurke	1	DWA	na
na	III_11_0154	Kirnbach	127613	8.24598	48.26194	Guckummere	guckummere	gugummere	Gugummer	1	DWA	na
na	III_12_0002	Markirch	28052, 28052, 28052	7.17972	48.24483	Gugummer (w)	gugummer	gugummer	Gugummer	1	DWA	na
na	III_12_0003	Tannenkirch	24657, 24657	7.30397	48.22949	Gugumer (w)	gugumer	gugummer	Gugummer	1	DWA	na
na	III_12_0005	Rappoltsweiler	27434	7.32486	48.19355	Kakumer (w)	kakumer	gagummer	Gugummer	1	DWA	na
na	III_12_0006	Hunaweier	32145	7.31671	48.18091	Rugumer	rugumer	rugummer	Gugummer	1	DWA	ok
na	III_12_0007	Zellenberg	32066	7.31874	48.17063	Gugummer	gugummer	gugummer	Gugummer	1	DWA	na
na	III_12_0008	Orschweiler	31120, 31119	7.38445	48.24184	Gagummer	gagummer	gagummer	Gugummer	1	DWA	na
na	III_12_0009	St. Pilt	31120, 31120	7.38445	48.24184	na	na	na	na	1	DWA	na
na	III_12_0010	Rohrschweier	33090	7.36295	48.21541	Gugummere (w)	gugummere	gugummere	Gugummer	1	DWA	na
na	III_12_0011	Rodern	26039	7.35716	48.22457	Gugummra	gugummra	gugummere	Gugummer	1	DWA	na
na	III_12_0012	Rohrschweier	33090	7.36295	48.21541	Gugummere (w)	gugummere	gugummere	Gugummer	1	DWA	na
na	III_12_0013	Bergheim	33326	7.35777	48.20604	Gogummer	gogummer	gagummer	Gugummer	1	DWA	na
na	III_12_0014	Gemar	24112	7.39289	48.18656	Gagummer	gagummer	gagummer	Gugummer	1	DWA	na
na	III_12_0015	Illhäusern	25164	7.43355	48.18466	Gôgommer	gôgommer	gagommer	Gugummer	1	DWA	na
na	III_12_0016	Illhäusern	25164	7.43355	48.18466	Gâgummer	gâgummer	gagummer	Gugummer	1	DWA	na
