	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_DWA	Levenshtein_item	phontype_maurer	phontype_DWA	Levenshtein_phontype	lextype_maurer	lextype_DWA	Levenshtein_lextype
1090	Stra p 7	III_9_0086	Wagshurst, Wagshurst	7.99491, 48.62035	omais	omeis, ameise	1	ameise	ameise	0	Ameise	Ameise	0
1091	Stra h 5	III_8_0096	Scherzheim, Scherzheim	7.99655, 48.7137	åmeis	ameis	1	ameise	ameise	0	Ameise	Ameise	0
1092	TUTT p5	III_13_0152	Falkensteig, Falkensteig	7.99689, 47.94697	ammaisä	omeise	4	ameise	ameise	0	Ameise	Ameise	0
1093	KST S1	III_7_0124	Stattmatten, Stattmatten	7.9997, 48.79553	ämǟs	ämäs	1	emese	emese	0	Ameise	Ameise	0
1094	TUTT a3	III_12_0151	Bleibach, Bleibach	8.00281, 48.12764	umbaisse	umbeisse	1	umbeise	umbeise	0	Ameise	Ameise	0
1095	TUTT D5	III_15_0073, III_14_0176	Todtmoos (-Rütte), Todtmoos	8.00438, 47.74133	omeise	ameise, omeise	0	ameise	ameise	0	Ameise	Ameise	0
1096	TÜB L1	III_11_0125, III_11_0124	Prinzbach, Prinzbach	8.0046, 48.32294	ameise	umaise, umeise	1	ameise	umeise	1	Ameise	Ameise	0
1097	TÜB p11	III_10_0065	Nesselried, Nesselried	8.00608, 48.52212	åmäjs	ameise	4	ameise	ameise	0	Ameise	Ameise	0
1098	TUTT p3	III_13_0153	Unteribental, Unteribental	8.00642, 47.97982	omeise	omeise	0	ameise	ameise	0	Ameise	Ameise	0
1099	KST L1	III_5_0111	Bühl (Buhl), Bühl	8.00666, 48.91753	emeis	emeis	0	emeise	emeise	0	Ameise	Ameise	0
1100	TÜB a1	III_8_0098	Lichtenau, Lichtenau	8.00691, 48.72636	ameis	ameis	0	ameise	ameise	0	Ameise	Ameise	0
1101	KST S9	III_7_0118	Greffern, Greffern	8.00704, 48.7525	ämeise	ämeise	0	emeise	emeise	0	Ameise	Ameise	0
1102	KST S3	III_7_0107	Runzenheim (Rountzenheim), Runzenheim	8.00708, 48.82172	ämeis	ämeis	0	emeise	ameise	1	Ameise	Ameise	0
1103	TUTT p4	III_13_0155	Buchenbach, Buchenbach	8.00773, 47.96134	umaise	omeise	2	umeise	ameise	1	Ameise	Ameise	0
1104	KST S2	III_7_0108	Auenheim, Auenheim	8.00818, 48.81256	emeis	amäs	3	emeise	amese	2	Ameise	Ameise	0
1105	TÜB h8	III_9_0097	Renchen, Renchen	8.01285, 48.58724	omeise	omais	2	ameise	ameise	0	Ameise	Ameise	0
1106	TÜB D8	III_11_0070	Strohbach, Strohbach	8.01398, 48.38754	umbeis	umbeis	0	umbeise	umbeise	0	Ameise	Ameise	0
1107	TÜB a2	na	Ulm (bei Bühl)	8.01434, 48.727	omeis	na	999	ameise	na	999	Ameise	na	999
1108	TUTT D2/1	na	Bernau(-Hof)	8.01571, 47.82095	amaise	na	999	ameise	na	999	Ameise	na	999
1109	TÜB D9	III_11_0065	Gengenbach, Gengenbach	8.01593, 48.40299	umbeis	umbeise	1	umbeise	umbeise	0	Ameise	Ameise	0
1110	TÜB p13	III_10_0069	Zusenhofen, Zusenhofen	8.01675, 48.54725	omeis	ameise	2	ameise	ameise	0	Ameise	Ameise	0
1111	TÜB w1/1, TÜB w1/2	na	Durbach	8.01775, 48.49407	omeis, åmeis	na	999	ameise	na	999	Ameise	na	999
1112	KST D11	III_5_0110, III_5_0112	Trimbach, Trimbach	8.0182, 48.94347	umāse	omas	3	umase	amase	1	Ameise	Ameise	0
1113	TÜB D7	III_11_0071	Fußbach, Fußbach	8.01836, 48.36476	omeise	umbeise	2	ameise	umbeise	2	Ameise	Ameise	0
1114	TÜB h1/1, TÜB h1/2	III_9_0103	Gamshurst, Gamshurst	8.0187, 48.66413	åmeis, åmäis	ameis	1	ameise	ameise	0	Ameise	Ameise	0
1115	TÜB L10	na	Welschensteinach	8.01871, 48.27471	umbais	na	999	umbeise	na	999	Ameise	na	999
1116	TÜB w6	III_10_0139	Reichenbach, Reichenbach	8.01986, 48.42981	umbeiß	umbeiß	0	umbeise	umbeise	0	Ameise	Ameise	0
1117	TÜB p12	III_10_0068	Nussbach, Nussbach	8.02103, 48.53543	omeise	omeise	0	ameise	ameise	0	Ameise	Ameise	0
