	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_DWA	Levenshtein_item	phontype_maurer	phontype_DWA	Levenshtein_phontype	lextype_maurer	lextype_DWA	Levenshtein_lextype
36	TUTT S2	III_16_0126	Segeten, Segeten	8.02357, 47.65954	bäramsla	baramsele, barhamsele	3	bäramsla	barhamsle, baramsle	2	Bärams(e)le	Bärams(e)le	0
37	TUTT S20	III_16_0138	Hänner, Hänner	8.03004, 47.59489	bäramsele	bäramsel	1	bäramsle	bäramsel	2	Bärams(e)le	Bärams(e)le	0
38	TUTT Sa5	III_16_0137	Oberhof, Oberhof	8.0324, 47.58493	bäramsle	bäramsel	2	bäramsle	bäramsel	2	Bärams(e)le	Bärams(e)le	0
39	TUTT Sa4	III_17_0059	Niederhof, Niederhof	8.03951, 47.56938	beeramsle	bäramsele	3	bäramsle	bäramsle	0	Bärams(e)le	Bärams(e)le	0
40	TUTT S6	III_16_0129, III_16_0130	Oberwihl, Oberwihl	8.04597, 47.62098	bärhamsle	bäramsle	1	bärhamsle	bäramsle	1	Bärams(e)le	Bärams(e)le	0
41	TUTT L/S7, TUTT S1	III_15_0095, III_15_0093	Strittmatt, Strittmatt und Engelschwand, Engelschwand, Strittmatt	8.04718, 47.66382	bäramsele	bäramsela, bäramsele	0	bäramsle	bäramsle, bäramsla	0	Bärams(e)le	Bärams(e)le	0
42	TUTT Sa6	III_17_0062	Binzgen, Binzgen	8.06143, 47.57622	beramsle	bäramsel	3	bäramsle	bäramsel	2	Bärams(e)le	Bärams(e)le	0
43	TUTT S19	III_16_0139	Rotzel, Rotzel	8.06151, 47.59473	bārammsle	bäramsel	4	baramsle	bäramsel	3	Bärams(e)le	Bärams(e)le	0
44	TUTT L8	III_15_0097	Hartschwand, Hartschwand	8.0655, 47.67119	bäramsle, bärhamsla	bäramsel	2	bäramsle, bärhamsla	bäramsel	2	Bärams(e)le	Bärams(e)le	0
45	TUTT L3	III_15_0109	Ibach, Ibach	8.07077, 47.73259	bäramsel	bäramsel	0	bäramsel	bäramsel	0	Bärams(e)le	Bärams(e)le	0
46	TUTT S7	III_16_0131	Niederwihl, Niederwihl	8.07095, 47.61851	bäromsle, bärhamsle	bäramsle	1	bäramsle, bärhamsle	bäramsle	0	Bärams(e)le	Bärams(e)le	0
47	TUTT S10	III_15_0096	Rotzingen, Rotzingen	8.0762, 47.66588	bäromsla	bãramsel	4	bäramsla	baramsel	3	Bärams(e)le	Bärams(e)le	0
