	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_maurer_align	item_DWA	item_DWA_align	Levenshtein_item
689	TUTT S10	III_15_0096	Rotzingen, Rotzingen	8.0762, 47.66588	pflůma	p f l ů m a	pflŭme	p f l ŭ m e	2
690	TÜB p9	III_10_0075	Oberkirch, Oberkirch	8.07823, 48.5312	pflumme	p f l u mm e	pflume	p f l u m e	1
691	TUTT S18	III_16_0140	Hochsal, Hochsal	8.08003, 47.5887	pfluma	p f l u m a	pflume	p f l u m e	1
692	TÜB D1/1, TÜB D1/2	III_11_0069, III_11_0068	Nordrach, Nordrach	8.08082, 48.39898	pflume	p f l u m e	pflumme	p f l u mm e	1
693	KST L12	III_6_0095	Beinheim (Weissenburg), Beinheim	8.08253, 48.86153	pflǖme	p f l ǖ m e	pflüme	p f l ü m e	1
694	TÜB L7	III_11_0138, III_11_0140, III_11_0139	Haslach im Kinzigtal, Haslach i. K.	8.08413, 48.28008	pflumme	p f l u mm e	pflume	p f l u m e	1
695	TÜB w2	III_10_0066, III_10_0067	Ödsbach, Oedsbach	8.08784, 48.49713	pflumme	p f l u mm e	pflume	p f l u m e	1
696	TÜB p4	III_10_0074	Ringelbach, Ringelbach	8.08834, 48.55764	pflumme	p f l u mm e	pflume	p f l u m e	1
697	TÜB D4/2, TÜB D4/1	III_11_0075, III_11_0073, III_11_0074	Unterharmersbach, Zell am Harmersbach, Unterharmersbach	8.08843, 48.35461	pflume	p f l u m e	pflumm	p f l u mm	1
698	TUTT L/8,9	III_15_0098, III_15_0099	Hierbach - Wilfingen, Hierbach, Wilfingen	8.09123, 47.686	pflūme	p f l ū m e	pfluma	p f l u m a	2
699	TUTT h3, TUTT p1	III_13_0081, III_13_0078, III_13_0080	St. Märgen-Schweighöfe, St. Märgen, St. Märgen	8.09239, 48.00756	pflueme	p f l u e m e	pflume	p f l u m e	1
700	TUTT S21	III_16_0141	Schachen, Schachen	8.09406, 47.60368	pflūmä	p f l ū m ä	pflume	p f l u m e	2
701	TUTT w3	III_14_0072	Bärental, Bärental	8.0952, 47.86975	pflume	p f l u m e	pflumme	p f l u mm e	1
702	KST S10	III_7_0120	Leiberstung, Lieberstung	8.09585, 48.75131	pflumme	p f l u mm e	pflumm	p f l u mm	1
703	TUTT S5, TUTT Sa8	III_17_0060	Luttingen, Luttingen und Grunholz, Luttingen	8.09878, 47.57252	pflume	p f l u m e	pfluhme	p f l u h m e	1
704	TUTT L2	III_15_0110	Wittenschwand, Wittenschwand	8.10083, 47.72846	pfŭme	p f ŭ m e	pflume	p f l u m e	2
705	KST D3/1, KST D3/3, KST D3/2	III_5_0121	Niederlauterbach, Niederlauterbach	8.10398, 48.97233	plaume	p l a u m e	pflaume	p f l a u m e	1
706	TÜB h11	III_9_0100	Obersasbach, Obersasbach	8.10713, 48.63223	pflǖme	p f l ǖ m e	pflumme	p f l u mm e	2
707	TUTT L10	III_15_0100	Wolpadingen, Wolpadingen	8.10774, 47.69861	pflūme	p f l ū m e	pflaume	p f l a u m e	2
708	TUTT w6	III_14_0074	Altglashütten, Altglashütten	8.11016, 47.85701	pflumm	p f l u mm	pflumme	p f l u mm e	1
709	TÜB a13	III_8_0108	Ottersweier, Ottersweier	8.11279, 48.66967	pflumme	p f l u mm e	pflum	p f l u m	2
710	TUTT S15	III_16_0142	Buch über Waldshut, Buch	8.11336, 47.61399	pflumeä	p f l u m e ä	pflume	p f l u m e	1
711	TÜB p8	III_10_0076	Lautenbach, Lautenbach	8.11439, 48.52093	pflumme	p f l u mm e	pflum	p f l u m	2
712	TÜB a8	III_8_0106	Vimbuch, Vimbuch	8.11501, 48.71676	pflumme	p f l u mm e	pflumm	p f l u mm	1
713	TUTT h5	III_13_0077	Wildgutach, Wildgutach	8.11606, 48.0323	pflume	p f l u m e	pflum	p f l u m	1
714	TÜB h15	III_9_0101, III_9_0102	Kappelrodeck, Kappelrodeck	8.11791, 48.59087	pflume	p f l u m e	pflumme	p f l u mm e	1
715	TUTT L1	III_15_0112, III_15_0111	Urberg, Urberg	8.12409, 47.73478	pfluumä	p f l uu m ä	pflume	p f l u m e	2
716	TÜB h12	III_9_0093, III_9_0094	Lauf, Lauf	8.12648, 48.65317	pflumme	p f l u mm e	pflume	p f l u m e	1
717	TÜB D2/2, TÜB D3, TÜB D2/1, TÜB E1	III_11_0077, III_11_0076	Oberharmersbach, Oberharmersbach	8.12723, 48.37386	pflūm	p f l ū m	pflume	p f l u m e	2
718	TUTT S12	III_16_0135	Unteralpfen, Unteralpfen	8.13573, 47.64543	pflūme	p f l ū m e	pflume	p f l u m e	1
719	TÜB a11	III_8_0107	Bühl, Bühl	8.13592, 48.69536	pflumm	p f l u mm	pflumme	p f l u mm e	1
720	TUTT h6	III_13_0076	Gütenbach, Gütenbach	8.13807, 48.04398	pflummĕ	p f l u mm ĕ	pflumm	p f l u mm	1
721	TÜB w3	III_10_0078	Ramsbach, Ramsbach	8.14144, 48.49573	pflume	p f l u m e	pflum	p f l u m	1
722	TUTT L15	III_15_0108	Tiefenhäusern, Tiefenhäusern	8.14547, 47.70277	pflumen	p f l u m e n	pflume	p f l u m e	1
723	TUTT w5	III_14_0073	Raitenbuch, Raitenbuch	8.14698, 47.86647	bflumme	b f l u mm e	pfluma	p f l u m a	3
724	KST D6	III_5_0117	Motern (Mothern), Motern	8.15128, 48.93354	pflaume	p f l a u m e	pflaum	p f l a u m	1
725	TUTT S11	III_16_0136	Oberalpfen, Oberalpfen	8.15262, 47.65791	pflūme	p f l ū m e	pflume	p f l u m e	1
726	KST L5	III_6_0090	Plittersdorf bei Rastatt, Plittersdorf	8.15649, 48.88249	pflūme	p f l ū m e	pfluum	p f l uu m	3
727	TÜB a10	III_8_0100	Steinbach, Steinbach	8.16038, 48.72843	pflumm	p f l u mm	pfluum	p f l uu m	1
728	TÜB w4	III_10_0138	Ibach, Ibach	8.16274, 48.45618	pflumä	p f l u m ä	pflume	p f l u m e	1
729	TÜB b5	III_8_0102, III_8_0101	Eisental, Eisental	8.16417, 48.71189	pflumme	p f l u mm e	pflumen	p f l u m e n	2
730	TÜB x2	III_10_0137	Oppenau, Oppenau	8.16423, 48.47333	pflum	p f l u m	pflume	p f l u m e	1
731	TUTT M2	III_15_0113, III_15_0129	Höchenschwand, Höchenschwand	8.16491, 47.73427	pflūme	p f l ū m e	pflume	p f l u m e	1
732	KST S12	III_7_0123, III_7_0136	Sinzheim bei Winden, Sinzheim	8.16564, 48.76405	pflum	p f l u m	pflume	p f l u m e	1
733	TUTT M1	III_15_0120	Attlisberg, Attlisberg	8.16607, 47.72173	pflūme	p f l ū m e	pflume	p f l u m e	1
734	TUTT L14, TUTT L13	III_15_0123	Bannholz, Remetschwiel und Bannholz, Bannholz	8.167, 47.67614	pflumä	p f l u m ä	pflume	p f l u m e	1
735	TÜB M5	III_11_0146, III_11_0144, III_11_0145	Hausach und Einbach, Einbach, Einbach-Hauserbach	8.16759, 48.2974	pflumme	p f l u mm e	pflum	p f l u m	2
736	TUTT T4	III_16_0147	Waldkirch, Waldkirch	8.17132, 47.65851	pflumme	p f l u mm e	pfluhmə	p f l u h m ə	2
737	TÜB M6	III_11_0142, III_11_0141	Hausach, Hausach	8.17189, 48.28424	pflumme	p f l u mm e	pflumm	p f l u mm	1
738	TUTT T6	III_16_0157	Dogern, Dogern	8.17239, 47.60884	pflūme	p f l ū m e	pfluuma	p f l uu m a	3
739	TUTT i5	III_13_0093	Neukirch, Neukirch	8.17383, 48.02447	pflum	p f l u m	pflumme	p f l u mm e	2
740	TÜB x8	III_10_0148	Löcherberg, Löcherberg	8.17462, 48.43425	pflūme	p f l ū m e	pflum	p f l u m	2
741	TUTT D3	III_14_0175	Blasiwald (Am Schluchsee), Blasiwald	8.17706, 47.7987	pflume	p f l u m e	pflaume	p f l a u m e	1
742	TUTT E2	III_14_0177	Schluchsee, Schluchsee	8.17828, 47.81706	pflumma	p f l u mm a	pflume	p f l u m e	2
743	TUTT T5	III_16_0158	Eschbach, Eschbach	8.18086, 47.6336	pflūme	p f l ū m e	pfluume̍	p f l uu m e ̍	3
744	TÜB b4	III_8_0110, III_8_0111	Neuweier, Neuweier	8.18377, 48.72012	pflumma	p f l u mm a	pflumme	p f l u mm e	1
745	TUTT M3	III_15_0121	Amrigschwand, Amrigschwand	8.1855, 47.71974	pflūme	p f l ū m e	pflume	p f l u m e	1
746	TÜB T5	III_12_0069	Rensberg, Rensberg	8.1889, 48.17741	pflumme	p f l u mm e	pflume	p f l u m e	1
747	TÜB b9, TÜB b8, TÜB b7	III_8_0112	Bühlertal-Untertal, Bühlertal-Obertal, Bühlertal-Hof, Bühlertal	8.19194, 48.68215	pflume	p f l u m e	pflumme	p f l u mm e	1
748	TUTT T3	III_16_0159	Schmitzingen, Schmitzingen	8.19315, 47.65491	pflumme	p f l u mm e	pfluhmə	p f l u h m ə	2
749	KST M1	III_6_0097	Steinmauern, Steinmauern	8.19956, 48.90045	pfraume	p f r a u m e	pflaum	p f l a u m	2
750	TUTT b3	III_12_0161	Schonach, Schonach	8.20179, 48.14296	pflomm	p f l o mm	pflumme	p f l u mm e	2
751	TÜB E2, TÜB q1	III_11_0080, ungeodnet	Seebach, Seebach	8.20278, 48.57466	pfluum	p f l uu m	pflumm	p f l u mm	1
752	TUTT b8	III_12_0168, III_12_0166, III_12_0167	Schönwald, Schönwald	8.20401, 48.10371	pflumme	p f l u mm e	pflúmme	p f l ú mm e	1
753	TUTT i6	III_13_0091, III_13_0092	Furtwangen (und Furtwangen-Katzensteig), Furtwangen	8.20648, 48.05227	pflum	p f l u m	pflume	p f l u m e	1
754	TÜB x7	III_10_0146	Bad Peterstal, Bad Peterstal	8.20916, 48.43032	pflumm	p f l u mm	pflume	p f l u m e	1
755	TUTT E5	III_14_0178	Staufen, Staufen	8.21221, 47.75633	pflume	p f l u m e	pflumme	p f l u mm e	1
756	KST E7	III_5_0130	Elchesheim, Elchesheim	8.2136, 48.93047	pfraume	p f r a u m e	pflaume	p f l a u m e	1
757	TUTT T7	III_16_0152	Waldshut, Waldshut	8.21445, 47.6237	pflume	p f l u m e	pfluume	p f l uu m e	1
758	TÜB E4, TÜB M4	III_11_0147, III_11_0079	Oberwolfach, Oberwolfach, Oberwolfach-Walke	8.21698, 48.3174	pflume	p f l u m e	pflumen	p f l u m e n	1
759	KST M9	III_6_0108	Niederbühl, Niederbühl	8.21769, 48.84547	pflumme	p f l u mm e	pflaume	p f l a u m e	2
760	TÜB T4	III_12_0068, III_12_0067	Niederwasser, Niederwasser	8.22818, 48.18982	pflumme	p f l u mm e	pflume	p f l u m e	1
761	TÜB T2	III_12_0072, III_12_0073	Reichenbach, Reichenbach	8.22958, 48.21343	pflomme	p f l o mm e	pflomm	p f l o mm	1
762	KST M3	III_6_0098, III_6_0099	Ötigheim, Oetigheim	8.23212, 48.89333	pfraume	p f r a u m e	pfromme	p f r o mm e	2
763	TUTT i7	III_13_0090	Schönenbach, Schönenbach	8.23618, 48.04705	pflumme	p f l u mm e	pflume	p f l u m e	1
764	KST E9	III_5_0131	Au am Rhein, Au am Rhein	8.23933, 48.95136	pfroume	p f r o u m e	pfraume	p f r a u m e	1
765	TÜB x9	III_10_0142	Bad Griesbach, Bad Griesbach	8.23935, 48.45251	pflumm	p f l u mm	pflumme	p f l u mm e	1
766	TUTT T1	III_16_0161	Weilheim, Weilheim	8.24051, 47.65862	pflume	p f l u m e	pfluume	p f l uu m e	1
767	KST T14/3, KST T14/2, KST T14/4, KST T14/1	III_7_0131	Baden-Baden-West, Baden-Baden , Baden-Baden, Baden-Baden Weststadt	8.24094, 48.76273	pflaum	p f l a u m	pflumm	p f l u mm	2
