Ort	Longitude	Latitude	Levenshtein Item Min	z_score	morans_i
Berg	7.1532	48.89487	2	0.3426621297614917	-0.08898935237194101
Güngweiler (Gungwiller)	7.15771	48.88171	2	0.3426621297614917	-0.07137763002365224
Eyweiler (Eywiller)	7.13172	48.8709	1	-0.2786691101280208	0.09439035834447007
Eschweiler (Eschwiller)	7.11652	48.8596	1	-0.2786691101280208	0.07628362296459068
Weyer	7.15976	48.85488	2	0.3426621297614917	-0.06151174103999604
Bärendorf (Baerendorf)	7.08463	48.83742	1	-0.2786691101280208	0.051678763435568674
Wolfskirchen, Wolfskirchen	7.07612	48.87884	0	-0.9000003500175333	0.29872554769623455
Diedendorf	7.04974	48.87869	1	-0.2786691101280208	0.09442963073473866
Puberg	7.31461	48.91322	0	-0.9000003500175333	0.06214202482127808
Hinsburg (Hinsbourg)	7.28852	48.90706	3	0.9639933696510041	-0.1178808976283359
Frohmühl (Frohmuhl)	7.28007	48.90754	1	-0.2786691101280208	0.007054992001366703
Weislingen	7.25159	48.91879	2	0.3426621297614917	-0.0213013161720464
Tieffenbach	7.24987	48.90483	1	-0.2786691101280208	0.011432112007859546
Strut (Struth)	7.25475	48.89009	4	1.5853246095405167	-0.13134991814217972
Petersbach	7.26874	48.86912	1	-0.2786691101280208	0.01609450510143904
Lützelstein (La Petite-Pierre)	7.32076	48.85864	1	-0.2786691101280208	0.037914059968607354
Adamsweiler (Adamswiller)	7.20348	48.90463	4	1.5853246095405167	-0.20366952715737444
Dürstel (Durstel)	7.19745	48.89156	1	-0.2786691101280208	0.017616791858251848
Bettweiler (Bettwiller)	7.17993	48.88617	1	-0.2786691101280208	0.015319048063679981
Aßweiler (Aswiller)	7.2198	48.88035	1	-0.2786691101280208	0.022640639255488714
Drulingen	7.18979	48.8662	3	0.9639933696510041	-0.0882186790904006
Ottweiler (Ottwiller)	7.23096	48.86516	0	-0.9000003500175333	0.01824861674943599
Lohr	7.24351	48.85748	1	-0.2786691101280208	0.0007461253024012571
Sieweiler (Siewiller)	7.20676	48.84318	0	-0.9000003500175333	-0.03447123916608581
Berg, Rexingen	7.17654	48.90012	2	0.3426621297614917	-0.034628924663529764
Lichtenberg	7.48181	48.9216	2	0.3426621297614917	-0.01578334621190398
Wimmenau	7.41957	48.91035	1	-0.2786691101280208	0.010327571335262999
Zittersheim	7.34551	48.89955	1	-0.2786691101280208	0.009615768471664048
