Ort	Longitude	Latitude	Levenshtein Item Min	z_score	morans_i
Oberwolfach, Oberwolfach	8.21698	48.3174	1	-0.13605710141810876	0.0017298463301683765
Kaltbrunn	8.35246	48.34621	0	-0.6063015950399561	0.08292993261353727
Prinzbach	8.0046	48.32294	2	0.3341873922037386	-0.009106735715602741
Unterentersbach	8.05965	48.32962	1	-0.13605710141810876	0.0025591631006304646
Oberentersbach	8.09119	48.32718	1	-0.13605710141810876	0.0037518146419499338
Fischerbach	8.11097	48.28707	1	-0.13605710141810876	-0.009582844002551527
Steinach	8.05831	48.30508	0	-0.6063015950399561	0.01163806394908956
Bollenbach	8.07369	48.29315	6	2.215165366691128	-0.2179924994921091
Haslach im Kinzigtal	8.08413	48.28008	0	-0.6063015950399561	-0.07347990431442461
Hofstetten	8.0713	48.26094	2	0.3341873922037386	-0.007412170573629933
Sankt Roman	8.2924	48.33187	2	0.3341873922037386	-0.10644261058256534
Langenbach	8.25164	48.3205	2	0.3341873922037386	-0.013456388029982766
Wolfach, Wolfach	8.22076	48.30289	1	-0.13605710141810876	-0.0022303640360386715
Hausach und Einbach	8.16759	48.2974	2	0.3341873922037386	0.006110342423731336
Hausach	8.17189	48.28424	0	-0.6063015950399561	-0.015777311809186678
Gutach	8.21021	48.25051	1	-0.13605710141810876	0.011605019688801854
Kirnbach	8.24598	48.26194	1	-0.13605710141810876	0.01009717653179543
Halbmeil	8.27063	48.29042	2	0.3341873922037386	-0.036741989615001094
Lehengericht	8.30807	48.2924	0	-0.6063015950399561	0.07215516348663846
Schenkenzell	8.37253	48.31105	0	-0.6063015950399561	0.059898537207772946
Schiltach	8.34259	48.29033	1	-0.13605710141810876	0.022824775878839704
Biederbach, Ober- und Unterbiederbach	8.02694	48.2183	1	-0.13605710141810876	0.0041750447356412555
Katzenmoos	8.03332	48.167	2	0.3341873922037386	-0.05362743039820513
Elzach	8.07142	48.17331	1	-0.13605710141810876	0.008926273512878393
Unterprechtal, Oberprechtal	8.12114	48.20548	1	-0.13605710141810876	-0.004024969463702052
Hornberg	8.23036	48.21193	2	0.3341873922037386	-0.04223258194279809
Reichenbach	8.22958	48.21343	2	0.3341873922037386	-0.04223258194279809
Schwanenbach (Reichenbach)	8.26562	48.1922	1	-0.13605710141810876	0.021990924268661484
Niederwasser	8.22818	48.18982	0	-0.6063015950399561	0.04547328425018725
Rensberg	8.1889	48.17741	0	-0.6063015950399561	0.08198654855796947
Weiler/Villingen	8.46043	48.17227	0	-0.6063015950399561	-0.20870154158956658
Oberwinden	8.04318	48.15444	2	0.3341873922037386	-0.06143781589006729
Niederwinden	8.02152	48.14244	2	0.3341873922037386	-0.06511432833259845
Bleibach	8.00281	48.12764	0	-0.6063015950399561	0.09432975703664745
Simonswald	8.04838	48.10278	0	-0.6063015950399561	0.09216694589934038
Rohrhardsberg	8.16036	48.1327	2	0.3341873922037386	-0.041394177845413146
Yach	8.0932	48.15752	1	-0.13605710141810876	0.008405490802143888
Gremmelsbach	8.25756	48.15793	1	-0.13605710141810876	0.008106903586467764
Schonach	8.20179	48.14296	1	-0.13605710141810876	0.00995898566823569
Triberg	8.2316	48.13032	1	-0.13605710141810876	0.0012729345566046696
Nussbach	8.25836	48.13097	0	-0.6063015950399561	0.03204343343059845
Brigach (und Sommerau)	8.3086	48.11587	3	0.8044318858255859	0.25378315719573136
Oberkirnach	8.31901	48.09369	2	0.3341873922037386	0.10823877439659253
Schönwald	8.20401	48.10371	0	-0.6063015950399561	0.0828087457675788
Buchenberg	8.37655	48.16035	8	3.1556543539348225	-0.044749268399963064
Peterzell	8.37425	48.13255	2	0.3341873922037386	0.09581095864234677
St. Georgen	8.33183	48.12564	0	-0.6063015950399561	-0.24526855123169147
Neuhausen	8.45905	48.13221	2	0.3341873922037386	0.07757543290218767
Obereschach	8.46928	48.10596	2	0.3341873922037386	0.0989968125347477
Mönchweiler	8.42939	48.09993	1	-0.13605710141810876	-0.043016245102313964
Kappel	8.50341	48.11215	1	-0.13605710141810876	0.00888968377752112
Weilersbach	8.50084	48.09608	2	0.3341873922037386	-0.03069012666293876
Dauchingen	8.55237	48.09031	0	-0.6063015950399561	0.01779838162833063
Hartheim	8.93612	48.15571	2	0.3341873922037386	-0.01846654818424539
Heinstetten	8.96312	48.13491	1	-0.13605710141810876	-0.0016016481994422516
Schwenningen	8.99619	48.10638	2	0.3341873922037386	-0.05772566823016981
Glashütte (Heuberg), Glashütte (Heuberg)	9.03485	48.1237	0	-0.6063015950399561	0.03567663579089073
