Ort	Longitude	Latitude	Levenshtein Item Min	z_score	morans_i
Andlau	7.41747	48.38635	1	-0.31610137989859083	0.12087577572667733
Reichsfeld	7.38628	48.36613	1	-0.31610137989859083	0.16980963880691038
Stotzheim	7.48841	48.37831	0	-0.7988067812025565	0.270982460101447
St. Peter (Saint-Pierre)	7.47022	48.38171	0	-0.7988067812025565	0.24937997319552652
Epfig, Epfig	7.4655	48.35803	0	-0.7988067812025565	0.2800499909232464
Ittersweiler (Itterswiller)	7.4322	48.36386	3	0.6493094227093406	-0.26296881943293354
Nothalten	7.41957	48.3503	0	-0.7988067812025565	0.30374010845064225
Blienschweiler (Blienschwiller)	7.41844	48.34128	1	-0.31610137989859083	0.12973071565353897
Uttenheim	7.5965	48.41075	0	-0.7988067812025565	0.1746406435608281
Westhausen (Westhouse)	7.58855	48.39622	2	0.16660402140537486	-0.03624384072486064
Kerzfeld (Kertzfeld)	7.57276	48.37779	1	-0.31610137989859083	0.08696255869198526
Benfeld, Benfeld, Benfeld	7.59385	48.37263	1	-0.31610137989859083	0.058950648182185025
Sand	7.61417	48.38275	0	-0.7988067812025565	0.1631347750673991
Matzenheim	7.62677	48.39642	0	-0.7988067812025565	0.12306753020654866
Osthausen (Osthouse)	7.63886	48.40167	0	-0.7988067812025565	0.13899364278481943
Herbsheim	7.6323	48.3467	1	-0.31610137989859083	0.006612971227272825
Roßfeld (Rossfeld)	7.61683	48.33696	3	0.6493094227093406	-0.09452688658105059
Hüttenheim (Huttenheim)	7.57814	48.35799	0	-0.7988067812025565	0.14378776596255619
Sermersheim	7.55199	48.34632	1	-0.31610137989859083	0.09406361423038276
Kogenheim	7.5423	48.33798	1	-0.31610137989859083	0.11992575413715713
Meissenheim	7.77738	48.40898	3	0.6493094227093406	0.23270903251400044
Ottenheim	7.75477	48.38593	9	3.5455418305331348	1.557971097448457
Kürzell	7.81571	48.38829	4	1.1320148240133063	0.7941470657397763
Allmannsweier	7.78326	48.36703	2	0.16660402140537486	0.1124431266742853
Nonnenweier	7.76001	48.34931	6	2.097425626621238	1.5049234737852502
Daubensand	7.71659	48.34964	2	0.16660402140537486	0.10180847521304393
Obenheim	7.68912	48.35924	0	-0.7988067812025565	-0.2610368812165608
Gerstheim	7.69824	48.38295	2	0.16660402140537486	0.030341999524553142
