Ort	Longitude	Latitude	Levenshtein Item Min	z_score	morans_i
Burbach	7.11226	48.90144	1	-0.10204971481737883	-0.001311613942425717
Berg	7.1532	48.89487	1	-0.10204971481737883	0.018660302318992187
Güngweiler (Gungwiller)	7.15771	48.88171	1	-0.10204971481737883	0.02124659898921184
Eyweiler (Eywiller)	7.13172	48.8709	0	-0.7832733848769967	0.03715183396074351
Eschweiler (Eschwiller)	7.11652	48.8596	0	-0.7832733848769967	-0.061772125252347876
Weyer	7.15976	48.85488	3	1.260397625301857	-0.3943723247655496
Bärendorf (Baerendorf)	7.08463	48.83742	1	-0.10204971481737883	-0.009846885767673756
Wolfskirchen, Wolfskirchen	7.07612	48.87884	0	-0.7832733848769967	0.01880912334841636
Diedendorf	7.04974	48.87869	6	3.3040686354807103	-0.7710575810513551
Puberg	7.31461	48.91322	0	-0.7832733848769967	0.17375265294727016
Hinsburg (Hinsbourg)	7.28852	48.90706	3	1.260397625301857	-0.3630551082356821
Frohmühl (Frohmuhl)	7.28007	48.90754	0	-0.7832733848769967	0.14303631796887395
Weislingen	7.25159	48.91879	0	-0.7832733848769967	0.14627923273731241
Tieffenbach	7.24987	48.90483	3	1.260397625301857	-0.370578053531686
Strut (Struth)	7.25475	48.89009	0	-0.7832733848769967	0.1921150629927656
Petersbach	7.26874	48.86912	1	-0.10204971481737883	0.04521718642323964
Lützelstein (La Petite-Pierre)	7.32076	48.85864	0	-0.7832733848769967	0.15579496049357003
Adamsweiler (Adamswiller)	7.20348	48.90463	0	-0.7832733848769967	0.12039601315375177
Dürstel (Durstel)	7.19745	48.89156	0	-0.7832733848769967	0.08764503595041849
Bettweiler (Bettwiller)	7.17993	48.88617	0	-0.7832733848769967	0.1590013158165275
Aßweiler (Asswiller)	7.2198	48.88035	0	-0.7832733848769967	0.1339471055677372
Drulingen	7.18979	48.8662	1	-0.10204971481737883	0.021012421152165867
Ottweiler (Ottwiller)	7.23096	48.86516	0	-0.7832733848769967	0.2471541487801317
Lohr	7.24351	48.85748	0	-0.7832733848769967	0.21336088311720777
Sieweiler (Siewiller)	7.20676	48.84318	2	0.579173955242239	-0.09989521081904751
Berg, Rexingen	7.17654	48.90012	0	-0.7832733848769967	0.10738796445271259
Lichtenberg	7.48181	48.9216	3	1.260397625301857	-0.13514816493313936
Wimmenau	7.41957	48.91035	1	-0.10204971481737883	0.010538919446382826
Zittersheim	7.34551	48.89955	0	-0.7832733848769967	0.0833051870572854
Erkartsweiler (Erckartswiller)	7.3596	48.87532	0	-0.7832733848769967	0.08162058261981452
Sparsbach	7.41533	48.87754	3	1.260397625301857	-0.00627621701688337
Weinburg (Weinbourg)	7.44029	48.87157	1	-0.10204971481737883	0.0017006820791277547
Ingweiler (Ingwiller)	7.48031	48.87322	2	0.579173955242239	0.003552526107002748
Menchhofen (Menchhoffen)	7.49498	48.85955	0	-0.7832733848769967	-0.046900276525645906
Uttweiler (Uttwiller)	7.48667	48.84591	0	-0.7832733848769967	-0.06449247266371347
Niedersulzbach (Niedersoultzbach)	7.4662	48.84923	0	-0.7832733848769967	-0.03827228536923261
Obersulzbach (Obersoultzbach)	7.45013	48.85174	1	-0.10204971481737883	0.0028692356522923746
Weitersweiler (Weiterswiller), Weitersweiler (Weiterswiller)	7.41341	48.85298	1	-0.10204971481737883	-0.0031409755948100158
Zinsweiler	7.59018	48.9196	0	-0.7832733848769967	0.0899277243458513
Offweiler	7.54296	48.91021	1	-0.10204971481737883	0.0021279529848471593
Rotbach	7.52883	48.90568	1	-0.10204971481737883	0.00835644518649022
Bischholz	7.53995	48.89301	0	-0.7832733848769967	0.033757700811059416
Mühlhausen	7.5527	48.88226	2	0.579173955242239	-0.042756908846968575
Uhrweiler (Uhrwiller)	7.57892	48.8784	0	-0.7832733848769967	0.07229484006573536
Engweiler	7.61501	48.88508	2	0.579173955242239	-0.1258331635064265
Gumbrechtshofen	7.6319	48.90544	1	-0.10204971481737883	-0.007009950438304199
Gundershofen	7.6592	48.90652	0	-0.7832733848769967	-0.11316339150687361
Mietesheim	7.63837	48.87814	3	1.260397625301857	-0.1643510873505598
Bitschhofen	7.61913	48.85878	0	-0.7832733848769967	0.1959885514609476
Überach (Uberach)	7.62806	48.84844	0	-0.7832733848769967	0.13208899364759008
Pfaffenhofen, Pfaffenhofen -Volksberg	7.60881	48.84422	1	-0.10204971481737883	0.03791296695941801
Kindweiler	7.59731	48.86227	3	1.260397625301857	-0.42292348880888964
Zutzendorf	7.54972	48.85428	0	-0.7832733848769967	0.07523314770083483
Schillersdorf	7.52526	48.87312	1	-0.10204971481737883	0.003306978670367939
Obermodern	7.53932	48.84466	0	-0.7832733848769967	0.06133837798968682
Eberbach 	7.71711	48.91154	3	1.260397625301857	-0.14734672479291588
Forstheim	7.71468	48.89506	6	3.3040686354807103	-0.6663511453864411
Morsbronn (Morsbronn-Les-Bains)	7.74283	48.90037	3	1.260397625301857	-0.164565821383569
Hagenheim (Hegeney)	7.74557	48.89153	1	-0.10204971481737883	0.010830448112975215
Biblisheim	7.79196	48.89991	0	-0.7832733848769967	-0.004025664311081151
Walburg (Walbourg)	7.78939	48.88652	0	-0.7832733848769967	0.02883891552464094
Eschbach	7.73641	48.87453	1	-0.10204971481737883	0.016268322062906678
Laubach	7.72032	48.88168	1	-0.10204971481737883	0.012778439670719142
Merzweiler (Mertzwiller)	7.67936	48.86259	0	-0.7832733848769967	0.05752614499188747
Griesbach	7.67856	48.89026	1	-0.10204971481737883	0.004896276797688243
Reimersweiler	7.88417	48.9137	2	0.579173955242239	-0.27217154542912536
Surburg, Surburg	7.84913	48.90982	1	-0.10204971481737883	0.0465086963565884
Schwabweiler	7.87665	48.90207	1	-0.10204971481737883	0.04200398318102034
Oberbetschdorf	7.89812	48.8986	1	-0.10204971481737883	0.03352428742432828
Niederbetschdorf	7.91693	48.8985	0	-0.7832733848769967	0.2870724337258648
Rittershofen	7.95587	48.90241	0	-0.7832733848769967	0.3899950773918318
Hatten	7.97777	48.90173	0	-0.7832733848769967	0.37814623450861745
Hirschland	7.11324	48.83701	2	0.579173955242239	0.023481200659711696
Kirberg (Kirrberg)	7.06204	48.8233	2	0.579173955242239	0.05039726987277847
Rauweiler	7.10907	48.81139	2	0.579173955242239	0.0020515245203117493
Goerlingen	7.08247	48.79646	0	-0.7832733848769967	-0.14861908734596133
Etschburg (Eschbourg)	7.29591	48.81267	1	-0.10204971481737883	0.02538562203696534
Graufthal	7.28092	48.81935	1	-0.10204971481737883	0.032142809860317416
Schönburg (Schoenbourg)	7.26823	48.83392	1	-0.10204971481737883	0.03520813823394569
Pfalzweier (-weyer)	7.25813	48.80543	0	-0.7832733848769967	0.10668722438264738
Buchsweiler (Bouxwiller), Buchsweiler (Bouxwiller)	7.47851	48.82528	0	-0.7832733848769967	0.006908075102758848
Riedheim	7.47956	48.81064	4	1.9416212953614747	-0.2735904185630213
Imbsheim	7.45399	48.80165	1	-0.10204971481737883	0.013972389557839974
Neuweiler (Neuwiller-Lès-Saverne)	7.4034	48.82391	0	-0.7832733848769967	0.009798658309495651
Dossenheim (Dossenheim-Sur-Zinsel)	7.40138	48.80593	5	2.6228449654210926	-0.35469761247066794
Hattmatt	7.42386	48.79158	0	-0.7832733848769967	-0.019866966807907376
Ernolsheim (Ernoldsheim-Lès-Saverne)	7.38025	48.78942	0	-0.7832733848769967	0.002190835209155505
St. Johann (Saint-Jean-Saverne)	7.36064	48.76931	0	-0.7832733848769967	0.1313971052455601
Eckartsweiler	7.357	48.76744	1	-0.10204971481737883	0.021803935186029976
Steinburg (Steinbourg)	7.41332	48.7697	4	1.9416212953614747	-0.442116640564826
Rosenweiler-Dettweiler	7.45083	48.76772	0	-0.7832733848769967	0.2212804242546438
Dettweiler	7.46685	48.75406	0	-0.7832733848769967	0.13880899340367722
Gottesheim	7.47938	48.77591	0	-0.7832733848769967	0.13242167296322577
Gottesheim-Prinzheim	7.47921	48.79113	8	4.666515975599946	-0.8591892910424676
Dauendorf	7.65509	48.82974	0	-0.7832733848769967	0.10336256886393422
Morschweiler	7.62689	48.81972	0	-0.7832733848769967	0.20592904690537073
Ettendorf	7.58414	48.81374	0	-0.7832733848769967	0.25106851856405416
Büsweiler (Buswiller)	7.55923	48.82025	1	-0.10204971481737883	0.02755191343926102
Schalkendorf	7.55965	48.83213	2	0.579173955242239	-0.12020790273168705
Kirrweiler	7.53026	48.81331	0	-0.7832733848769967	0.16074300749322243
Ringendorf	7.55409	48.80777	0	-0.7832733848769967	0.16118138705012877
Hüttendorf	7.64259	48.80222	0	-0.7832733848769967	0.15466325774320935
Minversheim	7.61936	48.78575	0	-0.7832733848769967	0.30954850610651796
Alteckendorf	7.59484	48.79272	0	-0.7832733848769967	0.25972195120936953
Lixhausen	7.5473	48.79426	0	-0.7832733848769967	0.18184892752364487
Zöbersdorf, Zöbersdorf	7.52538	48.79381	0	-0.7832733848769967	0.15011465393965365
Bosselshausen, Bosselshausen	7.50884	48.80522	3	1.260397625301857	-0.2003992811884388
Wickersheim	7.53159	48.78313	0	-0.7832733848769967	0.1908263137146424
Bossendorf	7.55983	48.78146	0	-0.7832733848769967	0.2041997459021009
Melsheim, Melsheim	7.51974	48.75911	1	-0.10204971481737883	0.03177466598815057
Hochfelden	7.57004	48.75735	2	0.579173955242239	-0.1830692576933707
Schwindratzheim	7.59981	48.7561	0	-0.7832733848769967	0.3470193681116663
Wittersheim	7.66007	48.78303	1	-0.10204971481737883	0.035053951192202164
Uhlweiler	7.67396	48.82047	1	-0.10204971481737883	0.01889302504488603
Ohlungen	7.70034	48.81187	0	-0.7832733848769967	0.17461894113668416
Schweighausen (Schweighouse-Sur-Moder), Schweighausen (Schweighouse-Sur-Moder)	7.73517	48.82151	0	-0.7832733848769967	0.15276961730914623
Hagenau	7.78868	48.81435	0	-0.7832733848769967	0.13852030395233633
Gries 	7.81383	48.75262	0	-0.7832733848769967	0.14374932305412608
