	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_maurer_align	item_DWA	item_DWA_align	Levenshtein_item
40	KST u4	III_20_0041	Rohrbach (am Giesshübel), Rohrbach	8.85649, 49.14055	wihler	w i h l e r	wiehler	w ie h l e r	1
41	KST u5	III_20_0163, III_20_0045, III_20_0044, III_20_0042, III_20_0043	Sulzfeld, Sulzfeld	8.85671, 49.10336	wihler	w i h l e r	wühler	w ü h l e r	1
42	KST f1	III_18_0041, III_18_0037, III_18_0039, III_18_0040, III_18_0038	Eschelbronn, Eschelbronn	8.86825, 49.3202	wieler	w ie l e r	wihler	w i h l e r	1
43	KST f8	III_18_0048, III_18_0047	Sinsheim, Sinsheim	8.87357, 49.25387	wiehler	w ie h l e r	wieler	w ie l e r	1
44	KST n13	III_19_0037	Weiler, Weiler	8.87587, 49.20862	wihler	w i h l e r	wühler	w ü h l e r	1
45	KST f2	III_18_0042	Neidenstein, Neidenstein	8.88423, 49.31637	wīler	w ī l e r	wiela	w ie l a	4
46	MH S3	II_60_0054	Waldwimmersbach, Waldwimmersbach	8.89219, 49.37538	wihler	w i h l e r	wühler	w ü h l e r	1
47	MH S14	II_60_0058	Epfenbach, Epfenbach	8.91088, 49.33719	wiela	w ie l a	wielä	w ie l ä	1
48	KST n3	III_19_0045	Reihen, Reihen	8.91628, 49.21715	wiela	w ie l a	wīla	w ī l a	2
49	MH S13	II_60_0062	Schönbrunn, Schönbrunn	8.92851, 49.41228	wiehla	w ie h l a	wühler	w ü h l e r	4
50	MH S11	II_60_0067	Haag, Haag	8.92912, 49.39429	wühler	w ü h l e r	wühlă	w ü h l ă	2
51	KST n9	III_19_0046	Ittlingen, Ittlingen	8.93691, 49.19224	wihla	w i h l a	wühler	w ü h l e r	3
52	KST n8	III_19_0047	Richen, Richen	8.94083, 49.17134	wīler	w ī l e r	wila	w i l a	3
53	MH S7	II_60_0060, II_60_0059	Reichartshausen, Reichartshausen	8.94509, 49.35547	wihler	w i h l e r	wühler	w ü h l e r	1
54	MH K5	II_59_0094	Pleutersbach, Pleutersbach	8.95293, 49.45367	wihla	w i h l a	wiehler	w ie h l e r	3
55	KST f7	III_18_0052	Adersbach, Adersbach	8.95454, 49.2632	wihler	w i h l e r	wiehler	w ie h l e r	1
56	MH K6/2, MH K6/1	II_59_0096	Allemühl, Allemühl	8.95618, 49.42613	wihler	w i h l e r	wiehler	w ie h l e r	1
57	KST u2	III_20_0057	Stebbach, Stebbach	8.96448, 49.14676	wüla	w ü l a	wiehler	w ie h l e r	5
