	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_maurer_align	item_DWA	item_DWA_align	Levenshtein_item
367	TUTT B9	III_35_0049	Homberg Münchhof, Münchhöf	8.95295, 47.88032	scheermūs	sch ee r m ū s	scheermus	sch ee r m u s	1
368	TUTT B8	III_35_0051	Nenzingen, Nenzingen	8.95914, 47.84256	schärmūs	sch ä r m ū s	schermus	sch e r m u s	2
369	TUTT J10	III_36_0048	Wahlwies, Wahlwies	8.96632, 47.81985	schärmūs	sch ä r m ū s	schärrmus	sch ä rr m u s	2
370	TUTT Q6/2, TUTT Q6/1, TUTT Q6/3	III_37_0023	Radolfzell, Radolfzell	8.97017, 47.74493	schermus	sch e r m u s	schermaus	sch e r m a u s	1
371	TUTT J9	III_36_0049	Stahringen, Stahringen	8.97547, 47.78849	schērmūs	sch ē r m ū s	schermuus	sch e r m uu s	3
372	TUTT C4, TUTT B11	III_35_0050	Mahlspüren, Mahlspüren	8.97748, 47.87563	schermus	sch e r m u s	scherrmus	sch e rr m u s	1
373	TUTT Q10	III_37_0026	Gaienhofen, Gaienhofen	8.9829, 47.68263	schärmus	sch ä r m u s	schermus	sch e r m u s	1
374	TUTT Q9	III_37_0027	Horn, Horn	8.99438, 47.69562	schärmus	sch ä r m u s	schermūs	sch e r m ū s	2
375	TUTT J11	III_36_0051, III_36_0050	Güttingen, Güttingen	8.998, 47.77415	scherrmus	sch e rr m u s	schermus	sch e r m u s	1
376	TUTT K8	III_36_0045	Möggingen, Möggingen	9.00337, 47.76589	scherrmus	sch e rr m u s	schermus	sch e r m u s	1
377	TUTT R3	III_37_0030	Markelfingen, Markelfingen	9.00452, 47.74143	schērmūs	sch ē r m ū s	schermus	sch e r m u s	2
378	TUTT C7	III_35_0039	Hindelwangen, Hindelwangen	9.00909, 47.86237	schermuus	sch e r m uu s	schermaus	sch e r m a u s	1
379	TUTT K5	III_36_0053	Espasingen, Espasingen	9.01058, 47.82135	scherrmus	sch e rr m u s	scherrmuhs	sch e rr m u h s	1
380	TUTT C6	III_35_0056	Stockach, Stockach	9.01468, 47.85384	schärrmus	sch ä rr m u s	scheermus	sch ee r m u s	2
381	TUTT K7	III_36_0055, III_36_0056	Liggeringen, Liggeringen	9.02698, 47.77495	schärmus	sch ä r m u s	scherrmuus	sch e rr m u u s	3
382	TUTT K6	III_36_0054	Bodman, Bodman	9.02835, 47.80402	scherrmus	sch e rr m u s	schärmus	sch ä r m u s	2
