	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_maurer_align	item_DWA	item_DWA_align	Levenshtein_item
100	Co Vd 2/2, Co Vd 2/1	III_17_0072	Oltingen (Oltingue), Oltingen	7.39411, 47.48862	schår	sch å r	schaar	sch aa r	2
101	Co Vd 2/2, Co Vd 2/1	III_17_0072	Oltingen (Oltingue), Oltingen	7.39411, 47.48862	schār	sch ā r	schaar	sch aa r	2
102	Co P6	III_15_0057	Tannenkirch, Tannenkirch	7.6103, 47.71116	schäre	sch ä r e	schar	sch a r	2
103	Co P6	III_15_0057	Tannenkirch, Tannenkirch	7.6103, 47.71116	schär	sch ä r	schar	sch a r	1
104	Co J7, Co Q1	III_14_0147, III_15_0061	Malsburg, Malsburg	7.70866, 47.73257	schǟr	sch ǟ r	schar	sch a r	1
105	Co J7, Co Q1	III_14_0147, III_15_0061	Malsburg, Malsburg	7.70866, 47.73257	schǟr	sch ǟ r	schär	sch ä r	1
106	Co J7, Co Q1	III_14_0147, III_15_0061	Malsburg, Malsburg	7.70866, 47.73257	schär	sch ä r	schar	sch a r	1
107	Co g 13	III_12_0126, III_12_0127	Freiamt-Reichenbach, Freiamt-Reichenbach	7.92477, 48.15747	schǟr	sch ǟ r	scheer	sch ee r	2
108	Co g 13	III_12_0126, III_12_0127	Freiamt-Reichenbach, Freiamt-Reichenbach	7.92477, 48.15747	schǟr	sch ǟ r	schäär	sch ää r	2
109	TUTT L/S7, TUTT S1	III_15_0095	Strittmatt, Strittmatt und Engelschwand, Strittmatt	8.04718, 47.66382	schǟr	sch ǟ r	schär	sch ä r	1
110	TUTT L/S7, TUTT S1	III_15_0095	Strittmatt, Strittmatt und Engelschwand, Strittmatt	8.04718, 47.66382	schǟr	sch ǟ r	schär	sch ä r	1
111	TÜB S5	III_12_0062, III_12_0061, III_12_0064	Unterprechtal, Unterprechtal, Oberprechtal	8.12114, 48.20548	scheer	sch ee r	schēr	sch ē r	2
112	TÜB S5	III_12_0062, III_12_0061, III_12_0064	Unterprechtal, Unterprechtal, Oberprechtal	8.12114, 48.20548	scheer	sch ee r	schär	sch ä r	2
113	TUTT M1	III_15_0120	Attlisberg, Attlisberg	8.16607, 47.72173	schǟr	sch ǟ r	scheer	sch ee r	2
114	TUTT M1	III_15_0120	Attlisberg, Attlisberg	8.16607, 47.72173	schǟr	sch ǟ r	schär	sch ä r	1
115	TÜB T3	III_12_0070, III_12_0071	Schwanenbach (Reichenbach), Schwanenbach	8.26562, 48.1922	schär	sch ä r	scher	sch e r	1
116	TÜB T3	III_12_0070, III_12_0071	Schwanenbach (Reichenbach), Schwanenbach	8.26562, 48.1922	schär	sch ä r	scheer	sch ee r	2
