	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_maurer_align	item_DWA	item_DWA_align	Levenshtein_item
65	MH W9	II_93_0015	Winzenhofen, Winzenhofen	9.57229, 49.35628	maulwurf	m a u l w u r f	maulaff	m a u l a ff	3
66	MH W8	II_93_0018	Gommersdorf, Gommersdorf	9.61253, 49.36877	maulwurf	m a u l w u r f	maulworf	m a u l w o r f	1
67	MH W7	II_93_0022	Krautheim, Krautheim	9.63369, 49.39159	maulwŏrf	m a u l w ŏ r f	maulwurf	m a u l w u r f	1
68	Co F7/2	III_14_0116, III_14_0108, III_14_0109, III_14_0112	Mülhausen, Mülhausen	7.34375, 47.7517	mülwurf	m ü l w u r f	mulwurf	m u l w u r f	1
69	Co l 1/3, Co l 1/2, Co l 1/1	III_13_0030	Kolmar (/Hausen an der Möhlin), Kolmar, Kolmar	7.36359, 48.08198	mülwurf	m ü l w u r f	mulwurf	m u l w u r f	1
70	Co l 1/3, Co l 1/2, Co l 1/1	III_13_0030	Kolmar (/Hausen an der Möhlin), Kolmar, Kolmar	7.36359, 48.08198	mülworf	m ü l w o r f	mulwurf	m u l w u r f	2
71	KST F14/2, KST F14/1	III_22_0004, III_22_0006	Ettlingen , Ettlingen, Ettlingen	8.40245, 48.94247	maulwurf	m a u l w u r f	maulworf	m a u l w o r f	1
72	KST k2	III_19_0007, III_19_0004, III_19_0005	Philippsburg, Philippsburg	8.45298, 49.235	maulwurf	m a u l w u r f	maulworf	m a u l w o r f	1
73	KST c1	III_18_0010	Rheinhausen, Rheinhausen	8.47341, 49.28141	maulwourf	m a u l w o u r f	maulworf	m a u l w o r f	1
74	Ma h2/3, Ma h2/1	II_59_0064	Neckarau, Mannheim-Neckarau, Mannheim	8.49104, 49.45335	maulwoaf	m a u l w o a f	maulwurf	m a u l w u r f	2
75	KST s7	III_20_0015, III_20_0014, III_20_0013	Staffort, Staffort	8.51034, 49.09079	maulworf	m a u l w o r f	maulwurf	m a u l w u r f	1
76	MH H2	II_59_0067	Feudenheim, Feudenheim	8.53299, 49.4864	maulwōf	m a u l w ō f	maulwurf	m a u l w u r f	2
77	MH H2	II_59_0067	Feudenheim, Feudenheim	8.53299, 49.4864	maulwōrf	m a u l w ō r f	maulwurf	m a u l w u r f	1
78	MH Q1	II_60_0032	Brühl, Brühl	8.53485, 49.3951	maulwurf	m a u l w u r f	maulwoaf	m a u l w o a f	2
79	MH Q1	II_60_0032	Brühl, Brühl	8.53485, 49.3951	maulworf	m a u l w o r f	maulwoaf	m a u l w o a f	1
80	KST s8	III_20_0022, III_20_0021, III_20_0023	Untergrombach, Untergrombach	8.55318, 49.0861	maulworf	m a u l w o r f	maulwurf	m a u l w u r f	1
81	MH A1	II_58_0073	Weinheim, Weinheim	8.67068, 49.55495	mulderuff	m u l d e r u ff	mulltruff	m u ll t r u f f	2
82	MH A1	II_58_0073	Weinheim, Weinheim	8.67068, 49.55495	mulderuff	m u l d e r u ff	maulworf	m a u l w o r f	5
83	MH J3/1, MH J3/2	II_59_0077	Handschuhsheim, Heidelberg-Handschuhsheim, Heidelberg-Handschuhsheim	8.68613, 49.42774	maulwurf	m a u l w u r f	maulworf	m a u l w o r f	1
84	MH J3/1, MH J3/2	II_59_0077	Handschuhsheim, Heidelberg-Handschuhsheim, Heidelberg-Handschuhsheim	8.68613, 49.42774	maulwůrf	m a u l w ů r f	maulworf	m a u l w o r f	1
85	MH R5, MH R4	II_60_0042	Leimen, Leimen	8.68891, 49.34902	maulwurf	m a u l w u r f	maulworf	m a u l w o r f	1
86	KST e2/1, KST e2/2	III_18_0036	Wiesloch, Wiesloch	8.70178, 49.29504	maulwurf	m a u l w u r f	maulwoof	m a u l w oo f	2
87	KST e2/1, KST e2/2	III_18_0036	Wiesloch, Wiesloch	8.70178, 49.29504	maūlwurf	m a ū l w u r f	maulwoof	m a u l w oo f	3
88	MH J12	II_59_0083	Altneudorf, Altneudorf	8.80481, 49.46366	mulberuf	m u l b e r u f	mulbruff	m u l b r u ff	2
89	MH J12	II_59_0083	Altneudorf, Altneudorf	8.80481, 49.46366	mulberuf	m u l b e r u f	mulbaruff	m u l b a r u ff	2
90	MH K1	II_59_0085	Brombach (bei Hirschhorn), Brombach	8.8675, 49.48863	mullbruff	m u ll b r u f f	mulberuf	m u l b e r u f	3
91	MH K1	II_59_0085	Brombach (bei Hirschhorn), Brombach	8.8675, 49.48863	mullberuff	m u ll b e r u f f	mulberuf	m u l b e r u f	2
